OmegaR^2t^2, transfer, transfer_std
5.616406239080677567e-04,-7.878650578100034052e-03,1.264129948594914891e-02
5.565406239954726400e-03,2.210053190886922606e-03,7.189928731743218913e-03
1.314605056661708078e-02,-3.268296166302287441e-03,6.512634597442600384e-03
2.529691873630837695e-02,3.354498565833330739e-03,6.262197828888162697e-03
4.610005095760603966e-02,6.308978699833763665e-03,1.116124629962811539e-02
1.053709839942381515e-01,1.628449855436076704e-02,7.188458398897961538e-03
1.435269773326662279e-01,2.816510609573971702e-02,8.045233935964016952e-03
1.922946819856783118e-01,3.514737851054016565e-02,7.286860738852429797e-03
3.111893003740330843e-01,5.278014421600759482e-02,6.414641894751819083e-03
3.813162141093755508e-01,6.478839310006814789e-02,3.955784540058762851e-03
7.244729531763955954e-01,1.277259135773097798e-01,6.287301624492593402e-03
9.233146312268234457e-01,1.625573656614741069e-01,1.082621344409864447e-02
1.146238907171453825e+00,2.001532704937608875e-01,1.283819670452054570e-02
1.664335252743323945e+00,2.923108369702920317e-01,1.192981721868197932e-02
2.206286144602164878e+00,3.629502758015646924e-01,5.810380402811616066e-03
2.824494708556595235e+00,4.416598166905487122e-01,1.266571857797148953e-02
3.453522319294479725e+00,5.273996397585400953e-01,1.163130626846728063e-02
5.256506856253625237e+00,6.837878151186234099e-01,6.099038716923201563e-03
7.400431331389333955e+00,7.969800687562403896e-01,1.828770131780887986e-02
1.170548860332103658e+01,8.348206047854751510e-01,9.732919836633567578e-03
1.644729081588350539e+01,7.024057362268849580e-01,1.168232088712146260e-02
2.230769486618390829e+01,4.661872543022785864e-01,1.856319370200198646e-02
2.905941512185320263e+01,2.262610726746723533e-01,1.205762334650141779e-02
3.639975224345869265e+01,7.690057619033972836e-02,1.204478591667236531e-02
4.456581026844417437e+01,7.198404335742254745e-02,1.544192749083947609e-02
