Omega^2(KHz^2),HFT_transfer,HFT_transfer_error
55.25250291893472,0.0640535795331785,0.0054109045690014
146.871020035578,0.1593165104538026,0.0026754176132913
263.3856118310662,0.2556993136006256,0.0024738627853979
400.89165391911905,0.3420275720577485,0.0153729733000385
564.3997501165614,0.4259440237119745,0.0028452152661297
892.728348776713,0.5439608578215345,0.0076922416394075
1254.3656458516637,0.650210130718957,0.0100088063390652
1701.31399702982,0.7072842119647758,0.0085373743828488
2216.2392837483817,0.7555833561230797,0.0095914193123987
2776.0559014140545,0.7799070896673564,0.0048761912969025
3398.846777020205,0.7969647029155178,0.002461691661552
