Omega^2(KHz^2),HFT_transfer,HFT_transfer_error
1.4989055515573513,0.0060940597509439,0.000722569206974
4.331302298817906,0.0006418717290657,0.0025384415148921
14.705410008186544,0.0169352128807619,0.0056221439874838
42.92683005344224,0.0311246474640494,0.0019542358772685
82.55328870716575,0.0596098869172107,0.0058253245093467
130.72795880558093,0.0875659394466134,0.0038553932122182
204.6298140408672,0.1379044343060882,0.0047292747594961
311.4611463462223,0.1906656834539698,0.0098964285448781
438.49402064202474,0.2422595838584437,0.0197081780783447
693.5794052271854,0.3459908029063576,0.0053302540778321
974.5430172340292,0.4013687101049974,0.0079750714378915
1321.7865790657954,0.4740978511248008,0.0116928524062844
1721.8428499214049,0.5002455996845994,0.0195555628038875
2156.7761386972124,0.5849645693210465,0.0007431697999532
2640.6354511921395,0.5428007749350962,0.015978528982365
