Run,trf_blackman,trf_dimer,ToTF_i,ToTF_f,ToTF_diff,ToTF,e_ToTF,EF,e_EF,barnu,e_barnu,ff,year,x_star,kF,C_theory,Ns_theory,EF_theory,ToTF_theory,C_theory_std,CS_theory,CS_theory_std,C,C_loss,C_HFT,C_HFT_std,C_loss_HFT,C_loss_HFT_std,transfer_c5,e_transfer_c5,SW_c5,e_SW_c5,FM_c5,e_FM_c5,transfer_c9,e_transfer_c9,SW_c9,e_SW_c9,FM_c9,e_FM_c9,transfer_ratio95,e_transfer_ratio95,SW_ratio95,e_SW_ratio95,FM_ratio95,e_FM_ratio95,dimer_transfer,e_dimer_transfer,SW_dimer,e_SW_dimer,FM_dimer,e_FM_dimer
2025-02-12_S_e.dat,200.0,10.0,0.397,0.419,0.021999999999999964,0.40800000000000003,0.002830194339616981,0.015449999999999998,3.687817782917155e-05,312,13,0.83,2025,257.60517799352755,11053252.46940711,1.4699338354248692,2.0238131750445714e-14,0.015450000000000018,0.40799999999999953,0.01,3.5984366646767643,0.02448026283874657,1.6510731045497582,0.8373881911024803,1.6518387843534008,0.012522730845670047,0.8154962433893391,0.10913781541079669,0.09556906627627575,0.0010115008094471023,0.019080584549213554,0.00020194847002543605,-4.908711935777296,0.051953694744990404,0.08752384549619456,0.0006719606845957621,0.017474337661045135,0.0001341585008177449,-4.495485430508493,0.034513902472510787,0.10366029455448093,0.010647153245927583,0.020696016940516586,0.002125728707342055,-5.324301523202033,0.5468695076422317,,,,,,
2025-02-12_W_e.dat,200.0,10.0,0.353,0.367,0.014000000000000012,0.36,0.002159282288168918,0.0148,3.905124837953327e-05,312,13,0.83,2025,268.9189189189189,10818242.337172039,1.6192770782266914,1.7789761009682085e-14,0.014799999999999999,0.36000000000000004,0.01,4.050145532380652,0.025012059929953815,1.9027117702618266,0.7723150451450939,1.9033022731087916,0.0181136253462308,0.7822776135860002,0.11201283757582126,0.10799571599811102,0.0011365499491726595,0.021561593833070075,0.00022691481924603344,-5.790599122182686,0.0609404278417034,0.09913158723626578,0.0009354056453563663,0.019791850077213277,0.0001867558949716815,-5.315315304182413,0.05015531457729346,0.11256007222261422,0.012474410830713226,0.022472878082751835,0.002490544899423542,-6.035334359156341,0.6688627575499166,,,,,,
2025-02-12_Z_e.dat,200.0,10.0,0.292,0.295,0.0030000000000000027,0.2935,0.0023345235059857505,0.01315,3.8616706229299255e-05,312,13,0.83,2025,302.6615969581749,10197382.843708014,1.832547961309826,1.2478495479903482e-14,0.01315,0.2935,0.01,4.862647539882818,0.026534899181613825,2.303037604417125,1.236561499790153,2.2948117338433693,0.03735906667782445,1.2431026652531898,0.1385694900796504,0.11396706061476439,0.0014967091339703666,0.022753786561009598,0.00029882143133788365,-6.877526649737259,0.09032133407898765,0.1220522782114599,0.0014275560882828448,0.02436801890588325,0.00028501486623802206,-7.365442185947854,0.08614818166055269,0.09887492756237859,0.011212158995189157,0.019740607381236515,0.002238533408587247,-5.966767464501968,0.6766158736967105,,,,,,
2025-02-12_ZC_e.dat,200.0,10.0,0.513,0.537,0.02400000000000002,0.525,0.006132087735836793,0.016399999999999998,9.433981132056603e-06,312,13,0.83,2025,242.68292682926833,11388008.223324863,1.1351021150318163,2.420563675494637e-14,0.016399999999999998,0.525,0.01,2.697076886217068,0.023760654222210402,1.1120564201387928,0.7934642303614043,1.1120920642673735,0.010914930948056536,0.792743634698938,0.05996561156279854,0.09522356726985383,0.0008915737361357553,0.014628812615846289,0.00013696887748574228,-3.5454354575734355,0.03319574374040127,0.09112419072496862,0.0007605969419578094,0.013999041929489045,0.0001168474408079544,-3.392804387630499,0.028319117254840064,0.10649062511127355,0.010040911399167053,0.01635972527349686,0.0015425447246107489,-3.964939027107809,0.37385076322624106,,,,,,
2025-02-12_ZF_e.dat,200.0,10.0,0.497,0.516,0.019000000000000017,0.5065,0.0033977934016064014,0.016050000000000002,4.939635614091387e-05,312,13,0.83,2025,247.9750778816199,11265834.485879391,1.184303863574059,2.2688724296148057e-14,0.016049999999999093,0.5065000000000286,0.01,2.8445000518034527,0.024018329579869477,1.2351818745720677,0.7891983731649945,1.2351427751912905,0.00846797885887975,0.7928105824064113,0.07828499437932888,0.09107704715923291,0.0009637756597659108,0.013991799453608716,0.00014806096783240974,-3.464997214221722,0.03666653762264672,0.08085022716607698,0.0006909903186939516,0.012420694341447776,0.00010615405599006438,-3.0759211089690064,0.026288506314249817,0.10428057848951043,0.01179857925507126,0.016020204723815747,0.001812568148875585,-3.9673213530062643,0.4488731851299563,,,,,,
2025-02-13_E_e.dat,200.0,10.0,0.258,0.288,0.02999999999999997,0.273,0.004440720662234904,0.010950000000000001,4.909175083453431e-05,312,13,0.83,2025,363.4703196347032,9305354.174970582,1.9001708554637315,7.20488950960589e-15,0.01095,0.273,0.01,5.525427837557395,0.029078584284511245,2.712247625328573,1.5361286194390948,2.716970875361236,0.07993351435983778,1.553231592363523,0.18707506141592636,0.10214158672736512,0.0009393308585651174,0.023079225236921342,0.000212244876464279,-8.37744260723209,0.07704198269247223,0.0893087232603095,0.0007589276034063333,0.020179597809149193,0.00017148217154961285,-7.324917571874466,0.0622456792016664,0.09006761731734358,0.005833490347645073,0.02035107240078639,0.001318096203166162,-7.387160499671761,0.47845086563694533,,,,,,
2025-02-18_H_e.dat,200.0,10.0,0.255,0.225,-0.03,0.24,0.002320021551624036,0.0125,3.0207614933986433e-05,312,13,0.83,2025,318.4,9942162.439553967,2.013297652101164,1.0718030944624243e-14,0.0125,0.24,0.01,5.479403702584629,0.027216063639999222,2.2006742232486047,1.0590817356352367,2.191933613316974,0.06374573046952836,1.0878820057366352,0.17088087222935255,0.10165883394444367,0.0010219716684089684,0.02297014566837564,0.00023091783745164576,-7.303955039047424,0.07342633028152462,0.10058723858066647,0.0008712981793027124,0.02272801519482555,0.00019687267030931425,-7.226963359589859,0.06260078421427459,0.0810031895971588,0.007039921508163295,0.01830293534221169,0.0015906932655239253,-5.8198941683751135,0.5058022817982365,,,,,,
2025-02-18_K_e.dat,200.0,10.0,0.451,0.451,0.0,0.451,0.002247220505424423,0.01815,4.261748467472007e-05,312,13,0.83,2025,219.28374655647383,11980202.60475346,1.341473584294481,3.281065162840418e-14,0.018149999999999993,0.4510000000000001,0.01,3.0298709331828504,0.022586139366854142,1.1524439488707157,0.6162295286153214,1.1526798676410597,0.0077408991579897965,0.6125287065500762,0.09213249571926665,0.07504329592913189,0.0007864686558589902,0.013852225544330674,0.00014517407677287422,-3.0335229130055765,0.03179192302750105,0.08845194653368954,0.0007635459531409178,0.016327325419939333,0.00014094278010333232,-3.5755493303930015,0.03086530402626534,0.07151464484948257,0.01091494246778896,0.013200872615100213,0.002014786837321085,-2.8908820045861643,0.44122166624243125,,,,,,
2025-02-18_O_e.dat,200.0,10.0,0.346,0.363,0.017000000000000015,0.3545,0.0032649655434629013,0.0162,3.9385911186615956e-05,312,13,0.83,2025,245.679012345679,11318356.143491998,1.6365920671976437,2.3330820436959444e-14,0.0162,0.3545,0.01,3.9125801997620635,0.02390687501291401,1.614499674265085,0.7479000138540894,1.6179598429911468,0.020458461986044077,0.7289402885548255,0.09617100002519263,0.10224271408825214,0.0009557436848703266,0.01887296017958053,0.0001764205172690716,-4.630515729986348,0.04328510061662839,0.0869391692687871,0.0004820963775810386,0.01604808219624679,8.899006465099701e-05,-3.9374266855198905,0.021833877158538174,0.11338142819624704,0.010711556593655166,0.0209290529749113,0.0019772438834016197,-5.134981904900005,0.48512044835533524,,,,,,
2025-02-18_R_e.dat,200.0,10.0,0.265,0.261,-0.0040000000000000036,0.263,0.0028293108701590215,0.0112,2.5811818998280616e-05,312,13,0.83,2025,355.35714285714283,9410980.193430014,1.9337387863113218,7.709727630832153e-15,0.0112,0.263,0.01,5.559927329509613,0.028752214977884268,2.313354688338319,0.690577232147332,2.3180891640282324,0.13441806984995378,0.6949109852855456,0.26555105545115115,0.07372144635268932,0.001045946919740629,0.021365447570695393,0.00030312921383200106,-7.582253969575278,0.10757568626946934,0.07178210470896293,0.0007921710591922401,0.020803400781590438,0.00022958162203198047,-7.382792597016753,0.08147482795451018,0.05776539770423711,0.008900907075542804,0.016741174205207706,0.002579600277297111,-5.941173670842783,0.9154586805511468,,,,,,
2025-02-26_I_e.dat,200.0,10.0,0.357,0.358,0.0010000000000000009,0.3575,0.002238861317723811,0.01555,3.521718330588067e-05,312,13,0.88,2025,255.9485530546624,11088965.817615736,1.6271291485037835,2.0633654187484502e-14,0.015549999999999998,0.35750000000000004,0.01,3.9704263712067087,0.02440142120776147,1.4237209291033093,0.0041767568288091205,1.42010860810445,0.02058731763167079,0.006816922544851331,0.12104519069172531,0.10274200134476226,0.0016013480459699588,0.02051267758279645,0.0003197128315088778,-5.243198687353129,0.08172106697095423,0.10738941360591261,0.0008757063887515439,0.021440544161795805,0.00017483680067101567,-5.48036854533054,0.04468963547441073,0.09467921657417078,0.012681577249883736,0.018902924003404487,0.002531906152920711,-4.831733249924882,0.6471747515121521,,,,,,
2025-02-27_M_e.dat,200.0,10.0,0.326,0.323,-0.0030000000000000027,0.3245,0.002350531854708632,0.013250000000000001,3.304920573932148e-05,312,13,0.88,2025,300.377358490566,10236082.727926068,1.732343339630255,1.2765346343543188e-14,0.013250000000000206,0.324499999999995,0.01,4.579376486147351,0.026434577842546825,1.7271460775469796,0.5559808877133191,1.7314087704405674,0.0461615632813212,0.6095912069921143,0.306476552662102,0.10748533139248814,0.001591446163806316,0.021459694369157227,0.000317735897892371,-6.437422430874667,0.09531357534738179,0.10030963935636537,0.0012073942592765873,0.02002705090062574,0.00024105904918818845,-6.00766182752583,0.0723122568157203,0.10117462585751005,0.01295932476323357,0.020199747451006462,0.002587359084693477,-6.05946688252947,0.776149143692919,,,,,,
2025-02-27_P_e.dat,200.0,10.0,0.53,0.563,0.03299999999999992,0.5465,0.006264982043070834,0.0171,5.569784555977009e-05,312,13,0.88,2025,232.7485380116959,11628505.516922003,,,,,0.01,,0.02326924343634257,0.9291712953489056,0.6157605849977758,0.9290106881507282,0.014834195122294516,0.6233680859824862,0.07589672536943316,0.0705777746964725,0.0077981203955856905,0.012780966470012875,0.001412165738204915,-2.970789908091242,0.32824182220134984,0.08910038001005738,0.01426070157882935,0.016135234842291873,0.002582477975562855,-3.7504513407986897,0.6002675561093388,,,,,,,0.055917016329946376,0.007421265795702091,0.010126041999620123,0.0013439209398119845,-2.353682990402934,0.3123790970450704
2025-03-05_K_e.dat,200.0,10.0,0.718,0.716,-0.0020000000000000018,0.717,0.0019300259065618782,0.017599999999999998,4.341082814229648e-05,312,13,0.88,2025,226.13636363636365,11797288.006828712,,,,,0.01,,0.0229363329535979,0.48155963896416876,0.8538898287910763,0.4808468535886072,0.0076110347241602865,0.8607853528710118,0.11514230915892582,0.03496718725608308,0.010341793824142895,0.0065805255924875645,0.0019462371518076003,-1.4861144927534298,0.4395289095050955,0.04240398000895313,0.020002536455256528,0.007980066387058449,0.0037643062936262486,-1.802180106172799,0.8501129673452427,,,,,,,0.029590395310506962,0.006541840198506609,0.005568659332149756,0.0012311183777227513,-1.2575994458804356,0.27802989863264926
