Run,trf_blackman,trf_dimer,ToTF_i,ToTF_f,ToTF_diff,ToTF,e_ToTF,EF,e_EF,barnu,e_barnu,ff,year,x_star,kF,C_theory,Ns_theory,EF_theory,ToTF_theory,C_theory_std,CS_theory,CS_theory_std,C,C_loss,C_HFT,C_HFT_std,C_loss_HFT,C_loss_HFT_std,transfer_c5,e_transfer_c5,SW_c5,e_SW_c5,FM_c5,e_FM_c5,transfer_c9,e_transfer_c9,SW_c9,e_SW_c9,FM_c9,e_FM_c9,transfer_ratio95,e_transfer_ratio95,SW_ratio95,e_SW_ratio95,FM_ratio95,e_FM_ratio95,dimer_transfer,e_dimer_transfer,SW_dimer,e_SW_dimer,FM_dimer,e_FM_dimer
2024-10-17_S_e.dat,200.0,10.0,0.332,0.322,-0.010000000000000009,0.327,0.001382931668593933,0.0182,6.878408246098801e-05,377,13,1.13,2024,218.68131868131866,11996692.912083708,1.7243160197209721,1.8751622999439603e-14,0.018199999999999997,0.32700000000000007,0.01,3.8892108380181023,0.022555093112499484,1.6309705481476,1.1502840535529477,1.6322909342961056,0.007405844379597002,1.149146779748876,0.08651652848210202,0.0811786641759406,0.000770349109247681,0.023114907496218647,0.00021935010363636915,-5.048067188198922,0.047903893237553716,0.08572994578814847,0.0011967275153877946,0.024410844729521937,0.0003407575881812412,-5.331087062990712,0.07441808712879017,0.07280894263581468,0.00781050054757271,0.02073170322533021,0.0022239710333865734,-4.527598945589017,0.4856932783737158,,,,,,
2024-10-18_H_e.dat,200.0,10.0,0.259,0.214,-0.04500000000000001,0.2365,0.003434020966738555,0.014249999999999999,0.0002706330541526663,377,13,1.13,2024,279.2982456140351,10615324.636152422,2.025751005851983,9.000555039913743e-15,0.014249999999999992,0.2365000000000001,0.01,5.163675585459999,0.025490179052327703,2.376181731620977,0.5989155774175398,2.374317921352032,0.03051491529593559,0.6240319247325565,0.20972085936702703,0.09868379788819953,0.0014912821165548225,0.02809933968139034,0.00042462940878431195,-7.837645293447185,0.11844031656807072,0.0773104520843039,0.0016210884418107775,0.02201346827469919,0.0004615906131989657,-6.140135603610318,0.12874976914259176,0.09671621398366952,0.0082308922929298,0.02753908754610405,0.0023436738691593136,-7.681376229438593,0.6537123177366695,,,,,,
2024-10-18_O_e.dat,200.0,10.0,0.397,0.388,-0.009000000000000008,0.3925,0.001735655495770978,0.017849999999999998,7.366138744281158e-05,377,13,1.13,2024,222.96918767507006,11880780.117296763,1.5176916159499565,1.769046955009103e-14,0.01785000000000128,0.39249999999997176,0.01,3.456565119042575,0.022775148012391406,1.516441756880742,1.2807413839566928,1.516504188069705,0.012489157870509268,1.2849290940565607,0.10704682304127204,0.08014846184052214,0.0010086545662034328,0.021228543636752605,0.00026715755962559897,-4.7270079771989195,0.05948857995763978,0.07481348608145978,0.0012257676098191698,0.019815493865097317,0.00032466326359875496,-4.412360978465121,0.07229350553646907,0.08787207968977395,0.009714351426790047,0.023274261730166425,0.002572994271264969,-5.182532666604629,0.5729344722687333,,,,,,
2024-11-04_M_e.dat,200.0,10.0,0.505,0.506,0.0010000000000000009,0.5055000000000001,0.004856439024635232,0.01675,5.7273466806192203e-05,377,13,1.13,2024,237.61194029850745,11508885.08613237,1.1870358381412185,1.4617366398677348e-14,0.01675000000000139,0.5054999999999581,0.01,2.790851597608819,0.02351109804720823,0.8591651417411406,1.2850123614490616,0.8587502280513608,0.011796166392034397,1.2878731796400344,0.05335668104798061,0.06406548176728193,0.0005576306051950576,0.014932859123808912,0.0001299766901113774,-3.543500606531544,0.030842886578250295,0.07640294478443835,0.0009257275982086118,0.017808566791935543,0.00021577547580592672,-4.225893159875002,0.05120255424989958,0.04758046407333689,0.014553039656745858,0.011090408554696108,0.0033921307546987698,-2.631704291483622,0.8049374394448487,,,,,,
2024-11-04_O_e.dat,200.0,10.0,0.428,0.39,-0.03799999999999998,0.40900000000000003,0.0054039337523696575,0.0156,4.7320714280323366e-05,377,13,1.13,2024,255.12820512820514,11106779.428806,1.4668829679286395,1.180860223871418e-14,0.01560000000000001,0.40899999999999975,0.01,3.5736620899566027,0.024362284981759044,1.3987286488293051,1.2112953419433328,1.3990181446822374,0.008284017904416118,1.2218915583490964,0.08770580569198462,0.0746875639832629,0.001012486757781698,0.019193128212685987,0.00026018773567317927,-4.890187609420712,0.06629283288334534,0.07072178647181704,0.001163730770455047,0.018174007060773406,0.0002990542560391561,-4.630527299003601,0.07619557381274589,0.07021628837354356,0.008639651790734632,0.018044104714331828,0.0022202082339931686,-4.597429680003514,0.5656834402341449,,,,,,
2024-11-04_R_e.dat,200.0,10.0,0.589,0.612,0.02300000000000002,0.6005,0.004038873605350878,0.018549999999999997,3.513189434118234e-05,377,13,1.13,2024,214.55525606469007,12111496.416963711,0.9492299963487703,1.98543850797079e-14,0.018549999999999997,0.6005,0.01,2.120702825935799,0.02234129593558062,0.6549731147931858,1.0342457289964657,0.655200434337521,0.00472094147331795,1.0407089698478718,0.04558869959510785,0.053177482435991304,0.000439283263552479,0.012395003235283895,0.00010239141124239919,-2.655871663573206,0.02193936076901157,0.0493945396325376,0.0004211104842805943,0.011513246782369025,9.815556464811482e-05,-2.4669381124464813,0.021031747860208224,0.04912820256623114,0.008362007468332187,0.011451166957463468,0.0019490789122671153,-2.4536362968102496,0.41762824542254,,,,,,
2024-11-05_E_e.dat,200.0,10.0,0.832,0.832,0.0,0.832,0.007071067811865475,0.0182,6.363961030678928e-05,377,13,1.13,2024,218.68131868131866,11996692.912083708,0.5457537851791038,1.8751622999439606e-14,0.0182,0.832,0.01,1.2309527441213728,0.022555093112499484,0.4800130228426978,0.85871808596261,0.479674540188643,0.006239095171155712,0.8667645794690215,0.05711249527461663,0.039097267711463685,0.00032828535480320406,0.008775589957146512,7.368539622641126e-05,-1.9165020550917742,0.016092161779182265,0.04117348905200481,0.00038146658066848173,0.00924160889430932,8.56222055977534e-05,-2.018275981989632,0.01869904288952697,0.03071487662325228,0.007112904740286333,0.006894117635513822,0.0015965293499702658,-1.5056071080152102,0.34866622018279253,,,,,,
2024-11-05_H_e.dat,200.0,10.0,0.988,1.1,0.1120000000000001,1.044,0.004263801121065568,0.01765,4.3854874301495836e-05,377,13,1.13,2024,225.4957507082153,11814033.633436231,0.3428297095095807,1.7102469640987333e-14,0.017650000000000002,1.0439999999999998,0.01,0.7852110707685567,0.02290382218891718,0.18409297527262206,1.0439568290189996,0.18384875276719603,0.007018190020581201,1.0451918823043662,0.08561195096692477,0.0369668042556494,0.0004851871237110943,0.005535626584426625,7.265477215348328e-05,-1.2465980161541381,0.016361525375549597,0.06511015517575278,0.0010816060205646916,0.009749977396327365,0.00016196604391083622,-2.195650717120818,0.0364740189650086,0.007234643122116629,0.0076875791816415125,0.001083357991095693,0.0011511832993049687,-0.24396730919025822,0.25924126117549384,,,,,,
2025-02-11_M_e.dat,200.0,10.0,0.311,0.315,0.0040000000000000036,0.313,0.0031976553910638967,0.01345,3.736642878306676e-05,312,13,0.83,2025,295.91078066914497,10313046.839636577,1.769516605594979,1.3352168998561325e-14,0.013450000000000788,0.3129999999999817,0.01,4.642734178132208,0.02623730211659214,2.1423354174651106,0.5548562616244402,2.1465803966806005,0.030615225836705007,0.5621864444718615,0.1834007680927218,0.094773954212854,0.0012182733740022237,0.020966026140184755,0.00026950813245436416,-6.1958114572039005,0.07964416164062177,0.0874220388955819,0.001200481909229994,0.01933962519487687,0.000265572279839742,-5.715182770414662,0.07848105135160029,0.09032117216730551,0.016651640661000732,0.019980975494794953,0.003683699137332759,-5.904712512948818,1.0885947183016011,,,,,,
2025-02-12_P_e.dat,200.0,10.0,0.29,0.297,0.007000000000000006,0.2935,0.0026832815729997475,0.013399999999999999,5.1002450921499844e-05,312,13,0.83,2025,297.01492537313436,10293859.7591302,1.8325479613098263,1.3203812929527889e-14,0.013399999999999999,0.2935,0.01,4.817073455291558,0.026286206729610077,2.337201210403296,0.9541938321888729,2.3327680230354035,0.034608760755171365,0.9412670387978507,0.09189417847886974,0.10842257420205534,0.0010467268552751155,0.023488299759333475,0.00022675936560063992,-6.9670854517479786,0.0672612276457362,0.10338217272198162,0.0010240332432902908,0.022396364230753165,0.0002218430982564594,-6.643196187162293,0.06580296736119032,0.1017181807767524,0.009654463735272109,0.022035882643829916,0.0020915103694834325,-6.536270354062008,0.6203825571332696,,,,,,
