Omega^2(KHz^2),saturating,linear
0.0,0.0,0.0
34.3487045455,0.0166547495,0.0169535977
68.6974090909,0.0327258089,0.0339071955
103.0461136364,0.0482336345,0.0508607932
137.3948181818,0.0631979656,0.0678143909
171.7435227273,0.0776378498,0.0847679886
206.0922272727,0.0915716671,0.1017215864
240.4409318182,0.1050171533,0.1186751841
274.7896363636,0.1179914228,0.1356287818
309.1383409091,0.13051099,0.1525823796
343.4870454545,0.1425917906,0.1695359773
377.83575,0.1542492019,0.186489575
412.1844545455,0.1654980621,0.2034431727
446.5331590909,0.1763526895,0.2203967705
480.8818636364,0.1868269005,0.2373503682
515.2305681818,0.1969340275,0.2543039659
549.5792727273,0.2066869354,0.2712575637
583.9279772727,0.2160980384,0.2882111614
618.2766818182,0.2251793155,0.3051647591
652.6253863636,0.2339423259,0.3221183568
686.9740909091,0.2423982238,0.3390719546
721.3227954545,0.2505577723,0.3560255523
755.6715,0.2584313575,0.37297915
790.0202045455,0.2660290014,0.3899327478
824.3689090909,0.2733603747,0.4068863455
858.7176136364,0.2804348093,0.4238399432
893.0663181818,0.2872613099,0.4407935409
927.4150227273,0.2938485659,0.4577471387
961.7637272727,0.3002049618,0.4747007364
996.1124318182,0.3063385885,0.4916543341
1030.4611363636,0.3122572532,0.5086079319
1064.8098409091,0.3179684897,0.5255615296
1099.1585454545,0.3234795675,0.5425151273000001
1133.50725,0.3287975015,0.559468725
1167.8559545455,0.3339290608,0.5764223228
1202.2046590909,0.338880777,0.5933759205
1236.5533636364,0.3436589531,0.6103295182
1270.9020681818,0.348269671,0.6272831160000001
1305.2507727273,0.3527187995,0.6442367137
1339.5994772727,0.3570120018,0.6611903114000001
1373.9481818182,0.3611547425,0.6781439091
1408.2968863636,0.3651522948,0.6950975069
1442.6455909091,0.369009747,0.7120511046
1476.9942954545,0.3727320092,0.7290047023
1511.343,0.3763238192,0.7459583
1545.6917045455,0.379789749,0.7629118978
1580.0404090909,0.3831342102,0.7798654955000001
1614.3891136364,0.3863614599,0.7968190932
1648.7378181818,0.3894756058,0.813772691
1683.0865227273,0.392480612,0.8307262887
1717.4352272727,0.3953803033,0.8476798864
1751.7839318182,0.3981783707,0.8646334841000001
1786.1326363636,0.4008783757,0.8815870819
1820.4813409091,0.403483755,0.8985406796000001
1854.8300454545,0.4059978251,0.9154942773
1889.17875,0.4084237858,0.9324478751
1923.5274545455,0.4107647252,0.9494014728
1957.8761590909,0.413023623,0.9663550705
1992.2248636364,0.4152033544,0.9833086682
2026.5735681818,0.4173066939,1.000262266
2060.9222727273,0.4193363188,1.0172158637
2095.2709772727,0.4212948125,1.0341694614
2129.6196818182,0.4231846679,1.0511230592
2163.9683863636,0.4250082906,1.0680766569
2198.3170909091,0.4267680017,1.0850302546
2232.6657954545,0.4284660412,1.1019838523
2267.0145,0.4301045704,1.1189374501
2301.3632045455,0.4316856749,1.1358910478
2335.7119090909,0.4332113674,1.1528446455
2370.0606136364,0.4346835897,1.1697982433
2404.4093181818,0.4361042158,1.186751841
2438.7580227273,0.4374750539,1.2037054387
2473.1067272727,0.4387978491,1.2206590364
2507.4554318182,0.440074285,1.2376126342
2541.8041363636,0.4413059862,1.2545662319
2576.1528409091,0.4424945208,1.2715198296
2610.5015454545,0.4436414013,1.2884734274
2644.85025,0.4447480878,1.3054270251
2679.1989545455,0.4458159888,1.3223806228
2713.5476590909,0.4468464637,1.3393342205
2747.8963636364,0.4478408241,1.3562878183
2782.2450681818,0.4488003356,1.373241416
2816.5937727273,0.4497262197,1.3901950137
2850.9424772727,0.4506196547,1.4071486115
2885.2911818182,0.4514817781,1.4241022092
2919.6398863636,0.4523136871,1.4410558069
2953.9885909091,0.4531164406,1.4580094046
2988.3372954545,0.4538910604,1.4749630024
3022.686,0.4546385326,1.4919166001
3057.0347045455,0.4553598085,1.5088701978
3091.3834090909,0.4560558062,1.5258237956
3125.7321136364,0.4567274116,1.5427773933
3160.0808181818,0.4573754797,1.559730991
3194.4295227273,0.4580008353,1.5766845887
3228.7782272727,0.4586042743,1.5936381865
3263.1269318182,0.459186565,1.6105917842
3297.4756363636,0.4597484484,1.6275453819
3331.8243409091,0.4602906398,1.6444989797
3366.1730454545,0.4608138293,1.6614525774
3400.52175,0.4613186829,1.6784061751
