OmegaR^2t^2, loss, loss_std
3.546632859703348073e-01,5.337308574528631250e-02,1.180508097535322570e-01
4.105188475273366389e-01,4.690102506019962897e-02,5.037274215800332383e-02
5.222299706413409126e-01,4.032426927579538245e-02,2.842793408840348438e-02
5.780855321983430217e-01,8.841025250554401804e-02,5.089434600876152626e-02
7.968205984355537508e-01,1.705066766920155519e-01,7.434155514602573678e-02
8.995479599005298255e-01,1.866618443469405253e-01,2.190757396950676616e-02
1.002275321365505789e+00,2.292132639173098674e-01,3.326501194758291896e-02
1.207730044295457272e+00,3.233969752634032746e-01,3.465772334395783583e-02
1.390530063936554983e+00,3.847931557958255144e-01,3.790851864440158286e-02
1.573330083577652028e+00,4.664360768434835380e-01,2.561912088040649640e-02
1.739724973250959428e+00,5.593341629626809031e-01,2.227995136541442364e-02
2.146337837452631181e+00,7.095222572263413241e-01,1.128075858309107553e-02
2.546701128333240138e+00,8.469844242245424537e-01,1.826605036002042215e-02
3.202906327044872548e+00,9.349631544633423275e-01,6.994285618883583529e-03
3.796615792545874779e+00,8.743012791837588837e-01,2.593348771561547125e-02
4.421573124652190323e+00,6.469797843280954419e-01,1.955286806022963828e-02
5.046530456758507199e+00,3.933535267971865479e-01,3.642705741902314831e-02
