detuning(E_F),scaled_transfer,scaled_transfer_error
-0.5347593582887701,0.0058166919559317,0.0007880458624404
-0.267379679144385,0.0350723064883667,0.002180292012471
0.0,0.2400210038594813,0.0356497965540969
0.267379679144385,0.143497248277405,0.0071057680035158
0.5347593582887701,0.0710421026158281,0.002361596660951
1.0695187165775402,0.0237480675576556,0.0003444428104509
1.288659793814433,0.0175756722795295,0.0011007290979559
2.577319587628866,0.0071490299023306,0.0002190679209566
5.154639175257732,0.0024254564964773,6.278056606214341e-05
7.731958762886599,0.0012056496190405,1.483305284250634e-05
13.227513227513228,0.0003233118567573,6.560068206544155e-06
21.164021164021165,4.593742408824732e-05,1.2476973786380688e-06
31.746031746031747,2.3561725860253668e-05,1.877924689222052e-05
42.32804232804233,2.639330800923415e-06,6.409135924883728e-07
52.91005291005291,-2.1776546312830746e-08,1.2451679466356325e-07
68.78306878306879,-1.170369831861572e-07,4.493148329321632e-07
84.65608465608466,-8.627643532262413e-07,5.487335419429639e-07
105.82010582010582,2.9049953765228125e-07,0.0005421677368137
