detuning(MHz),scaled_loss,scaled_loss_error
-0.01,0.0131158187283586,0.0009870197128374
-0.005,0.0410173592903051,0.0032696980685169
0.0,0.2930821164848299,0.0503445426877889
0.005,0.1785086155630808,0.008645232758159
0.01,0.0801734119392351,0.0031143653599963
0.02,0.0317790101781865,0.0003445074946838
0.025,0.0239316572097334,0.0028256481817244
0.05,0.009613435591033,0.0006604153858746
0.1,0.0036535502130055,0.0002041423017354
0.15,0.0018099778695301,0.0001334535595563
0.25,0.0005537984866912,3.686187761050306e-05
0.4,0.0003779758968603,2.0690780527335757e-05
0.6,0.0001808760530213,3.098940595823096e-05
0.8,8.32614333787316e-05,1.7007188633379802e-05
1.0,0.0001346466125411,2.2301413232104045e-05
1.3,0.0001225105806761,4.659002201158589e-05
1.6,2.2402218714500412e-05,6.70840674569019e-06
2.0,2.2402218714500412e-05,6.70840674569019e-06
