detuning(MHz),scaled_dimer_transfer
-4.0432478547854895,3.74295894971428e-06
-4.04323585358537,3.81192208844178e-06
-4.04322385238524,3.88153151510167e-06
-4.04321185118512,3.95178756851978e-06
-4.043199849985,4.02269058348928e-06
-4.043187848784879,4.09424089075463e-06
-4.0431758475847595,4.16643881700836e-06
-4.0431638463846395,4.23928468488583e-06
-4.04315184518453,4.31277881295959e-06
-4.0431398439844,4.38692151573369e-06
-4.04312784278428,4.46171310363853e-06
-4.04311584158416,4.53715388302815e-06
-4.04310384038404,4.61324415616295e-06
-4.04309183918392,4.68998422122217e-06
-4.0430798379838,4.76737437228641e-06
-4.04306783678368,4.8454148993356e-06
-4.04305583558356,4.9241060882432e-06
-4.0430438343834405,5.00344822077135e-06
-4.04303183318332,5.08344157456509e-06
-4.0430198319832,5.16408642314755e-06
-4.04300783078308,5.24538303591423e-06
-4.04299582958296,5.32733167813144e-06
-4.04298382838284,5.40993261091784e-06
-4.04297182718272,5.49318609125884e-06
-4.0429598259826,5.57709237198826e-06
-4.04294782478248,5.66165170178675e-06
-4.0429358235823605,5.7468643251765e-06
-4.04292382238224,5.83273048251602e-06
-4.04291182118212,5.91925040999533e-06
-4.042899819982,6.00642433963082e-06
-4.04288781878188,6.09425249925999e-06
-4.04287581758176,6.18273511254035e-06
-4.04286381638164,6.27187239893016e-06
-4.04285181518152,6.36166457370462e-06
-4.0428398139813995,6.45211184793668e-06
-4.04282781278128,6.54321442849607e-06
-4.04281581158116,6.63497251804396e-06
-4.04280381038104,6.72738631502853e-06
-4.04279180918092,6.82045601367967e-06
-4.0427798079808,6.91418180400466e-06
-4.04276780678068,7.00856387178291e-06
-4.04275580558056,7.10360239856533e-06
-4.04274380438044,7.19929756165438e-06
-4.04273180318032,7.29564953412187e-06
-4.0427198019802,7.39265848478939e-06
-4.04270780078008,7.4903245782271e-06
-4.04269579957996,7.58864797474947e-06
-4.04268379837984,7.68762883041048e-06
-4.04267179717972,7.78726729699883e-06
-4.0426597959796,7.88756352203378e-06
-4.04264779477948,7.9885176487641e-06
-4.04263579357936,8.09012981614826e-06
-4.04262379237924,8.19240015887302e-06
-4.04261179117912,8.29532880733375e-06
-4.0425997899790005,8.39891588763341e-06
-4.042587788778881,8.50316152157866e-06
-4.04257578757876,8.60806582667486e-06
-4.04256378637864,8.7136289161223e-06
-4.04255178517852,8.8198508988113e-06
-4.0425397839784,8.92673187931838e-06
-4.04252778277828,9.03427195790563e-06
-4.04251578157816,9.14247123050027e-06
-4.04250378037804,9.25132978871487e-06
-4.04249177917792,9.36084771982696e-06
-4.0424797779778,9.47102510677868e-06
-4.04246777677768,9.58186202817275e-06
-4.04245577557756,9.69335855826808e-06
-4.04244377437744,9.80551476697606e-06
-4.04243177317732,9.91833071985596e-06
-4.0424197719772,1.00318064781114e-05
-4.04240777077708,1.01459420985901e-05
-4.0423957695769595,1.02607376337628e-05
-4.0423837683768395,1.03761931317453e-05
-4.04237176717672,1.0492308636277e-05
-4.0423597659766,1.06090841867214e-05
-4.04234776477648,1.07265198180623e-05
-4.04233576357636,1.08446155608992e-05
-4.04232376237624,1.09633714414447e-05
-4.04231176117612,1.10827874815192e-05
-4.042299759976,1.12028636985483e-05
-4.04228775877588,1.13236001055628e-05
-4.04227575757576,1.1444996711177e-05
-4.0422637563756405,1.15670535196122e-05
-4.042251755175521,1.16897705306749e-05
-4.0422397539754,1.18131477397575e-05
-4.04222775277528,1.19371851378347e-05
-4.04221575157516,1.20618827114599e-05
-4.04220375037504,1.21872404427615e-05
-4.04219174917492,1.23132583094392e-05
-4.0421797479748,1.24399362847659e-05
-4.04216774677468,1.25672743375637e-05
-4.04215574557456,1.26952724322305e-05
-4.04214374437444,1.28239305287165e-05
-4.04213174317432,1.29532485825259e-05
-4.0421197419742,1.30832265447134e-05
-4.04210774077408,1.32138643618807e-05
-4.04209573957396,1.3345161976173e-05
-4.04208373837384,1.34771193252763e-05
-4.042071737173719,1.3609736342413e-05
-4.0420597359735995,1.37430129563448e-05
-4.04204773477348,1.38769490913483e-05
-4.04203573357336,1.40115446672425e-05
-4.04202373237324,1.41467995993655e-05
-4.04201173117312,1.4282713798576e-05
-4.041999729973,1.44192871712502e-05
-4.04198772877288,1.45565196192792e-05
-4.04197572757276,1.46944110400649e-05
-4.04196372637264,1.48329613265178e-05
-4.04195172517252,1.49721703670535e-05
-4.0419397239724,1.51120380455953e-05
-4.0419277227722805,1.52525642415492e-05
-4.04191572157216,1.53937488298338e-05
-4.04190372037204,1.55355916808554e-05
-4.04189171917192,1.56780926605109e-05
-4.0418797179718,1.58212516301842e-05
-4.04186771677168,1.59650684467442e-05
-4.04185571557156,1.6109542962541e-05
-4.04184371437144,1.6254675025404e-05
-4.04183171317132,1.64004644786385e-05
-4.0418197119712005,1.65469111610289e-05
-4.04180771077108,1.66940149068132e-05
-4.04179570957096,1.68417755457144e-05
-4.04178370837084,1.69901929029147e-05
-4.04177170717072,1.71392667990593e-05
-4.0417597059706,1.72889970502529e-05
-4.04174770477048,1.74393834680582e-05
-4.04173570357036,1.7590425859492e-05
-4.0417237023702395,1.77421240270238e-05
-4.04171170117012,1.78944777685727e-05
-4.04169969997,1.8047486877511e-05
-4.04168769876988,1.82011511426378e-05
-4.04167569756976,1.83554703482128e-05
-4.04166369636964,1.85104442739293e-05
-4.04165169516952,1.86660726949184e-05
-4.0416396939694,1.88223553817463e-05
-4.04162769276928,1.89792921004125e-05
-4.04161569156916,1.91368826123466e-05
-4.0416036903690395,1.92951266744069e-05
-4.04159168916892,1.9454024038884e-05
-4.0415796879688,1.96135744534741e-05
-4.04156768676868,1.97737776613131e-05
-4.04155568556856,1.9934633400951e-05
-4.04154368436844,2.00961414063547e-05
-4.04153168316832,2.0258301406907e-05
-4.0415196819682,2.04211131274037e-05
-4.04150768076808,2.05845762880522e-05
-4.04149567956796,2.07486906044688e-05
-4.0414836783678405,2.09134557876775e-05
-4.041471677167721,2.10788715441137e-05
-4.0414596759676,2.12449375755974e-05
-4.04144767476748,2.1411653579369e-05
-4.04143567356736,2.15790192480625e-05
-4.04142367236724,2.17470342697094e-05
-4.04141167116712,2.19156983277377e-05
-4.041399669967,2.20850111009691e-05
-4.04138766876688,2.22549722636182e-05
-4.04137566756676,2.24255814852904e-05
-4.04136366636664,2.25968384309798e-05
-4.04135166516652,2.2768742761075e-05
-4.0413396639664,2.29412941313304e-05
-4.04132766276628,2.31144921929041e-05
-4.04131566156616,2.32883365923307e-05
-4.04130366036604,2.34628269715254e-05
-4.04129165916592,2.36379629677834e-05
-4.0412796579657995,2.38137442137775e-05
-4.04126765676568,2.39901703375574e-05
-4.04125565556556,2.41672409625477e-05
-4.04124365436544,2.43449557075471e-05
-4.04123165316532,2.45233141867331e-05
-4.0412196519652,2.47023160096339e-05
-4.04120765076508,2.48819607811679e-05
-4.04119564956496,2.50622481016153e-05
-4.04118364836484,2.5243177566623e-05
-4.04117164716472,2.54247487672042e-05
-4.0411596459646,2.56069612897368e-05
-4.0411476447644805,2.57898147159621e-05
-4.041135643564361,2.59733086229839e-05
-4.04112364236424,2.61574425832748e-05
-4.04111164116412,2.63422161646454e-05
-4.041099639964,2.65276289302878e-05
-4.04108763876388,2.67136804387443e-05
-4.04107563756376,2.69003702439151e-05
-4.04106363636364,2.7087697895056e-05
-4.04105163516352,2.72756629367785e-05
-4.0410396339634,2.74642649090481e-05
-4.04102763276328,2.76535033471842e-05
-4.04101563156316,2.78433777818584e-05
-4.04100363036304,2.80338877391018e-05
-4.04099162916292,2.82250327402741e-05
-4.0409796279628,2.84168123021079e-05
-4.04096762676268,2.86092259366773e-05
-4.040955625562559,2.88022731514059e-05
-4.0409436243624395,2.89959534490653e-05
-4.04093162316232,2.91902663277742e-05
-4.0409196219622,2.9385211280999e-05
-4.04090762076208,2.9580787797552e-05
-4.04089561956196,2.97769953615911e-05
-4.04088361836184,2.99738334526279e-05
-4.04087161716172,3.01713015454951e-05
-4.0408596159616,3.03693991103932e-05
-4.04084761476148,3.05681256128586e-05
-4.04083561356136,3.07674805137717e-05
-4.04082361236124,3.09674632693555e-05
-4.04081161116112,3.11680733311764e-05
-4.040799609961,3.13693101461428e-05
-4.04078760876088,3.15711731565058e-05
-4.04077560756076,3.1773661799858e-05
-4.04076360636064,3.19767755091424e-05
-4.04075160516052,3.21805137126191e-05
-4.0407396039604,3.2384875833914e-05
-4.04072760276028,3.25898612919858e-05
-4.04071560156016,3.27954695011349e-05
-4.0407036003600405,3.30016998710028e-05
-4.04069159915992,3.3208551806572e-05
-4.0406795979598,3.3416024708166e-05
-4.04066759675968,3.36241179714497e-05
-4.04065559555956,3.38328309874371e-05
-4.04064359435944,3.40421631424595e-05
-4.04063159315932,3.42521138182133e-05
-4.0406195919592,3.44626823917291e-05
-4.0406075907590795,3.46738682353787e-05
-4.04059558955896,3.48856707168761e-05
-4.04058358835884,3.50980891992772e-05
-4.04057158715872,3.5311123040981e-05
-4.0405595859586,3.55247715957283e-05
-4.04054758475848,3.5739034212604e-05
-4.04053558355836,3.5953910236044e-05
-4.04052358235824,3.61693990058035e-05
-4.04051158115812,3.63854998570067e-05
-4.040499579958,3.66022121201144e-05
-4.04048757875788,3.68195351209326e-05
-4.04047557755776,3.7037468180613e-05
-4.04046357635764,3.72560106156533e-05
-4.04045157515752,3.74751617378988e-05
-4.0404395739574,3.76949208545412e-05
-4.04042757275728,3.79152872681214e-05
-4.04041557155716,3.81362602765368e-05
-4.04040357035704,3.83578391730092e-05
-4.04039156915692,3.85800232461358e-05
-4.0403795679568,3.88028117798567e-05
-4.0403675667566805,3.90262040534632e-05
-4.040355565556561,3.92501993415999e-05
-4.04034356435644,3.94747969142642e-05
-4.04033156315632,3.96999960368085e-05
-4.0403195619562,3.99257959699397e-05
-4.04030756075608,4.01521959697218e-05
-4.04029555955596,4.03791952875839e-05
-4.04028355835584,4.06067931702876e-05
-4.04027155715572,4.08349888599801e-05
-4.0402595559556,4.10637815941595e-05
-4.04024755475548,4.12931706056861e-05
-4.04023555355536,4.15231551227825e-05
-4.04022355235524,4.17537343690349e-05
-4.04021155115512,4.19849075633947e-05
-4.040199549955,4.22166739201791e-05
-4.04018754875488,4.24490326490824e-05
-4.040175547554759,4.26819829551399e-05
-4.0401635463546395,4.29155240387845e-05
-4.04015154515452,4.31496550958111e-05
-4.0401395439544,4.33843753173879e-05
-4.04012754275428,4.36196838900568e-05
-4.04011554155416,4.38555799957359e-05
-4.04010354035404,4.409206281172e-05
-4.04009153915392,4.43291315106829e-05
-4.0400795379538,4.45667852606783e-05
-4.04006753675368,4.48050232251513e-05
-4.04005553555356,4.50438445629027e-05
-4.04004353435344,4.52832484281455e-05
-4.0400315331533205,4.55232339704707e-05
-4.040019531953201,4.57638003348579e-05
-4.04000753075308,4.60049466616762e-05
-4.03999552955296,4.62466720866871e-05
-4.03998352835284,4.64889757410456e-05
-4.03997152715272,4.67318567513025e-05
-4.0399595259526,4.69753142394056e-05
-4.03994752475248,4.72193473227121e-05
-4.03993552355236,4.74639551139511e-05
-4.03992352235224,4.77091367212843e-05
-4.03991152115212,4.79548912482683e-05
-4.039899519952,4.82012177938675e-05
-4.03988751875188,4.84481154524549e-05
-4.03987551755176,4.86955833138155e-05
-4.03986351635164,4.89436204631472e-05
-4.03985151515152,4.91922259810638e-05
-4.039839513951399,4.94413989435965e-05
-4.0398275127512795,4.96911384222066e-05
-4.03981551155116,4.99414434837483e-05
-4.03980351035104,5.01923131905296e-05
-4.03979150915092,5.0443746600275e-05
-4.0397795079508,5.06957427661389e-05
-4.03976750675068,5.09483007367064e-05
-4.03975550555056,5.12014195559972e-05
-4.03974350435044,5.14550982634667e-05
-4.03973150315032,5.17093358940098e-05
-4.0397195019502,5.19641314779718e-05
-4.0397075007500804,5.22194840411128e-05
-4.03969549954996,5.24753926046684e-05
-4.03968349834984,5.27318561853138e-05
-4.03967149714972,5.29888737951751e-05
-4.0396594959496,5.32464444418335e-05
-4.03964749474948,5.35045671283262e-05
-4.03963549354936,5.3763240853151e-05
-4.03962349234924,5.40224646102672e-05
-4.03961149114912,5.42822373890998e-05
-4.039599489949,5.45425581745518e-05
-4.0395874887488805,5.4803425946967e-05
-4.03957548754876,5.50648396821925e-05
-4.03956348634864,5.53267983515427e-05
-4.03955148514852,5.55893009218108e-05
-4.0395394839484,5.58523463552736e-05
-4.03952748274828,5.61159336096922e-05
-4.03951548154816,5.63800616383174e-05
-4.03950348034804,5.66447293898909e-05
-4.0394914791479195,5.69099358086497e-05
-4.0394794779478,5.71756798343385e-05
-4.03946747674768,5.74419604021727e-05
-4.03945547554756,5.77087764429022e-05
-4.03944347434744,5.79761268827749e-05
-4.03943147314732,5.82440106435486e-05
-4.0394194719472,5.85124266424962e-05
-4.03940747074708,5.87813737924067e-05
-4.03939546954696,5.90508510015908e-05
-4.0393834683468395,5.93208571738834e-05
-4.03937146714672,5.9591391208646e-05
-4.0393594659466,5.98624520007826e-05
-4.03934746474648,6.01340384406998e-05
-4.03933546354636,6.04061494143735e-05
-4.03932346234624,6.06787838033112e-05
-4.03931146114612,6.0951940484565e-05
-4.039299459946,6.12256183307362e-05
-4.03928745874588,6.14998162099781e-05
-4.03927545754576,6.17745329860007e-05
-4.03926345634564,6.20497675180731e-05
-4.0392514551455205,6.23255186610286e-05
-4.039239453945401,6.2601785265278e-05
-4.03922745274528,6.28785661767716e-05
-4.03921545154516,6.31558602370662e-05
-4.03920345034504,6.34336662832875e-05
-4.03919144914492,6.37119831481432e-05
-4.0391794479448,6.39908096599283e-05
-4.03916744674468,6.42701446425284e-05
-4.03915544554456,6.45499869154232e-05
-4.03914344434444,6.48303352936917e-05
-4.03913144314432,6.51111885880266e-05
-4.0391194419442,6.53925456046942e-05
-4.03910744074408,6.5674405145605e-05
-4.03909543954396,6.59567660082735e-05
-4.03908343834384,6.62396269858338e-05
-4.03907143714372,6.65229868670431e-05
-4.039059435943599,6.68068444362873e-05
-4.0390474347434795,6.70911984735833e-05
-4.03903543354336,6.73760477545856e-05
-4.03902343234324,6.76613910505885e-05
-4.03901143114312,6.79472271285435e-05
-4.038999429943,6.82335547510176e-05
-4.03898742874288,6.85203726762659e-05
-4.03897542754276,6.88076796581901e-05
-4.03896342634264,6.90954744463561e-05
-4.03895142514252,6.93837557859962e-05
-4.0389394239424,6.96725224180158e-05
-4.0389274227422804,6.99617730789968e-05
-4.0389154215421605,7.02515065012027e-05
-4.03890342034204,7.05417214125826e-05
-4.03889141914192,7.08324165367886e-05
-4.0388794179418,7.11235905931336e-05
-4.03886741674168,7.14152422966655e-05
-4.03885541554156,7.17073703581254e-05
-4.03884341434144,7.19999734839652e-05
-4.03883141314132,7.22930503763507e-05
-4.0388194119412,7.25865997331686e-05
-4.03880741074108,7.28806202480291e-05
-4.03879540954096,7.31751106102731e-05
-4.03878340834084,7.34700695049755e-05
-4.03877140714072,7.37654956129629e-05
-4.0387594059406,7.40613876107716e-05
-4.03874740474048,7.4357744170723e-05
-4.03873540354036,7.4654563960881e-05
-4.038723402340239,7.49518456450707e-05
-4.0387114011401195,7.5249587882882e-05
-4.03869939994,7.55477893296754e-05
-4.03868739873988,7.58464486365871e-05
-4.03867539753976,7.61455644505347e-05
-4.03866339633964,7.64451354142336e-05
-4.03865139513952,7.67451601661564e-05
-4.0386393939394,7.70456373406072e-05
-4.03862739273928,7.73465655676818e-05
-4.03861539153916,7.76479434732832e-05
-4.03860339033904,7.79497696791286e-05
-4.0385913891389205,7.82520428027537e-05
-4.0385793879388,7.85547614575194e-05
-4.03856738673868,7.88579242526157e-05
-4.03855538553856,7.91615297930697e-05
-4.03854338433844,7.94655766797603e-05
-4.03853138313832,7.97700635093792e-05
-4.0385193819382,8.00749888745054e-05
-4.03850738073808,8.03803513635651e-05
-4.03849537953796,8.06861495608489e-05
-4.03848337833784,8.09923820465167e-05
-4.0384713771377205,8.12990473966051e-05
-4.0384593759376,8.16061441830323e-05
-4.03844737473748,8.19136709736035e-05
-4.03843537353736,8.22216263320186e-05
-4.03842337233724,8.25300088178878e-05
-4.03841137113712,8.2838816986692e-05
-4.038399369937,8.31480493898587e-05
-4.03838736873688,8.34577045747218e-05
-4.0383753675367595,8.37677810845381e-05
-4.03836336633664,8.4078277458495e-05
-4.03835136513652,8.43891922317153e-05
-4.0383393639364,8.47005239352644e-05
-4.03832736273628,8.50122710961554e-05
-4.03831536153616,8.5324432237357e-05
-4.03830336033604,8.56370058778098e-05
-4.03829135913592,8.59499905323861e-05
-4.0382793579358,8.6263384711968e-05
-4.0382673567356795,8.65771869234046e-05
-4.03825535553556,8.68913956695323e-05
-4.03824335433544,8.720600944918e-05
-4.03823135313532,8.75210267571753e-05
-4.0382193519352,8.78364460843523e-05
-4.03820735073508,8.81522659175566e-05
-4.03819534953496,8.84684847396657e-05
-4.03818334833484,8.87851010295448e-05
-4.03817134713472,8.91021132621289e-05
-4.0381593459346,8.94195199083785e-05
-4.0381473447344804,8.97373194353004e-05
-4.0381353435343605,9.00555103059528e-05
-4.038123342334241,9.03740909794532e-05
-4.03811134113412,9.06930599109844e-05
-4.038099339934,9.10124155518023e-05
-4.03808733873388,9.13321563492411e-05
-4.03807533753376,9.16522807467347e-05
-4.03806333633364,9.19727871837723e-05
-4.03805133513352,9.22936740959803e-05
-4.0380393339334,9.26149399150799e-05
-4.03802733273328,9.29365830689067e-05
-4.03801533153316,9.32586019814166e-05
-4.03800333033304,9.35809950726944e-05
-4.03799132913292,9.39037607589594e-05
-4.0379793279328,9.42268974525741e-05
-4.03796732673268,9.45504035620497e-05
-4.03795532553256,9.48742774920675e-05
-4.037943324332439,9.51985176434343e-05
-4.0379313231323195,9.55231224131665e-05
-4.0379193219322,9.58480901944458e-05
-4.03790732073208,9.61734193766404e-05
-4.03789531953196,9.6499108345311e-05
-4.03788331833184,9.68251554822195e-05
-4.03787131713172,9.7151559165335e-05
-4.0378593159316,9.7478317768843e-05
-4.03784731473148,9.78054296631509e-05
-4.03783531353136,9.81328932149098e-05
-4.03782331233124,9.84607067869706e-05
-4.0378113111311205,9.87888687384679e-05
-4.037799309931001,9.91173774247761e-05
-4.03778730873088,9.94462311975311e-05
-4.03777530753076,9.97754284046366e-05
-4.03776330633064,0.000100104967390273
-4.03775130513052,0.000100434846494904
-4.0377393039304,0.000100765064055284
-4.03772730273028,0.00010109561840447
-4.03771530153016,0.000101426507871835
-4.03770330033004,0.000101757730783032
-4.03769129912992,0.000102089285460072
-4.0376792979298,0.000102421170221287
-4.03766729672968,0.000102753383381346
-4.03765529552956,0.000103085923251266
-4.03764329432944,0.000103418788138418
-4.03763129312932,0.000103751976346534
-4.0376192919292,0.000104085486175721
-4.037607290729079,0.000104419315922475
-4.0375952895289595,0.00010475346387964
-4.03758328832884,0.000105087928336495
-4.03757128712872,0.00010542270757871
-4.0375592859286,0.000105757799888365
-4.03754728472848,0.000106093203543961
-4.03753528352836,0.000106428916820428
-4.03752328232824,0.000106764937989131
-4.03751128112812,0.00010710126531788
-4.037499279928,0.000107437897070938
-4.03748727872788,0.000107774831509044
-4.03747527752776,0.000108112066889366
-4.03746327632764,0.000108449601465592
-4.03745127512752,0.000108787433487881
-4.0374392739274,0.00010912556120289
-4.03742727272728,0.000109463982853779
-4.03741527152716,0.00010980269668022
-4.03740327032704,0.000110141700918408
-4.03739126912692,0.000110480993801067
-4.0373792679268,0.000110820573557458
-4.0373672667266804,0.000111160438413406
-4.0373552655265605,0.000111500586591249
-4.03734326432644,0.000111841016309931
-4.03733126312632,0.000112181725784956
-4.0373192619262,0.000112522713228412
-4.03730726072608,0.000112863976848975
-4.03729525952596,0.000113205514851924
-4.03728325832584,0.000113547325439147
-4.03727125712572,0.000113889406809147
-4.0372592559255995,0.000114231757157058
-4.03724725472548,0.000114574374674661
-4.03723525352536,0.000114917257550343
-4.03722325232524,0.000115260403969183
-4.03721125112512,0.000115603812112914
-4.037199249925,0.000115947480159937
-4.03718724872488,0.000116291406285337
-4.03717524752476,0.000116635588660889
-4.037163246324639,0.000116980025455069
-4.0371512451245195,0.00011732471483306
-4.0371392439244,0.000117669654956778
-4.03712724272428,0.000118014843984828
-4.03711524152416,0.000118360280072589
-4.03710324032404,0.000118705961372176
-4.03709123912392,0.000119051886032458
-4.0370792379238,0.000119398052199071
-4.03706723672368,0.000119744458014424
-4.03705523552356,0.00012009110161771
-4.03704323432344,0.000120437981144918
-4.0370312331233205,0.000120785094728838
-4.037019231923201,0.000121132440499087
-4.037007230723081,0.000121480016582065
-4.03699522952296,0.000121827821101043
-4.03698322832284,0.000122175852176121
-4.03697122712272,0.00012252410792425
-4.0369592259226,0.000122872586459243
-4.03694722472248,0.000123221285891782
-4.03693522352236,0.000123570204329432
-4.03692322232224,0.000123919339876647
-4.03691122112212,0.000124268690634781
-4.036899219922,0.000124618254702114
-4.03688721872188,0.000124968030173802
-4.03687521752176,0.000125318015141974
-4.03686321632164,0.000125668207695685
-4.03685121512152,0.00012601860592094
-4.0368392139214,0.000126369207900702
-4.036827212721279,0.000126720011714907
-4.0368152115211595,0.000127071015440469
-4.03680321032104,0.000127422217151292
-4.03679120912092,0.000127773614918282
-4.0367792079208,0.000128125206809367
-4.03676720672068,0.000128476990889455
-4.03675520552056,0.000128828965220528
-4.03674320432044,0.000129181127861592
-4.03673120312032,0.000129533476868706
-4.0367192019202,0.000129886010294992
-4.03670720072008,0.00013023872619064
-4.0366951995199605,0.000130591622602926
-4.03668319831984,0.000130944697576217
-4.03667119711972,0.000131297949151997
-4.0366591959196,0.000131651375368823
-4.03664719471948,0.000132004974262415
-4.03663519351936,0.000132358743865616
-4.03662319231924,0.000132712682208414
-4.03661119111912,0.00013306678731795
-4.036599189919,0.000133421057218533
-4.0365871887188804,0.00013377548993165
-4.03657518751876,0.000134130083475972
-4.03656318631864,0.000134484835867371
-4.03655118511852,0.00013483974511894
-4.0365391839184,0.00013519480924095
-4.03652718271828,0.000135550026240943
-4.03651518151816,0.000135905394123691
-4.03650318031804,0.000136260910891215
-4.036491179117919,0.000136616574542798
-4.0364791779177995,0.000136972383074999
-4.03646717671768,0.00013732833448166
-4.03645517551756,0.000137684426753917
-4.03644317431744,0.000138040657880215
-4.03643117311732,0.000138397025846328
-4.0364191719172,0.000138753528635316
-4.03640717071708,0.000139110164227622
-4.03639516951696,0.000139466930601023
-4.03638316831684,0.000139823825730659
-4.03637116711672,0.000140180847589041
-4.0363591659166,0.000140537994146064
-4.03634716471648,0.000140895263369019
-4.03633516351636,0.000141252653222601
-4.03632316231624,0.000141610161668923
-4.03631116111612,0.00014196778666754
-4.036299159916,0.000142325526175404
-4.03628715871588,0.000142683378146962
-4.03627515751576,0.000143041340534107
-4.03626315631564,0.000143399411286206
-4.0362511551155205,0.000143757588350112
-4.036239153915401,0.000144115869670173
-4.03622715271528,0.000144474253188246
-4.03621515151516,0.000144832736843706
