detuning(MHz),scaled_dimer_transfer
-4.0447000000000095,2.96428118789534e-08
-4.04468799879989,2.4071410534875e-08
-4.04467599759977,1.90773618764486e-08
-4.04466399639965,1.46614461969074e-08
-4.04465199519953,1.08244405718632e-08
-4.04463999399941,7.567118851335961e-09
-4.04462799279929,4.89025165241146e-09
-4.04461599159917,2.7946063506469e-09
-4.04460399039905,1.2809470728151301e-09
-4.04459198919893,3.5003468895905005e-10
-4.0445799879988105,2.62680462986464e-12
-4.044567986798691,2.39477753126224e-10
-4.04455598559857,1.0613385877512701e-09
-4.04454398439845,2.46895707408389e-09
-4.04453198319833,4.463077682271681e-09
-4.04451998199821,7.0444415794392705e-09
-4.04450798079809,1.02137866215923e-08
-4.04449597959797,1.39718473465525e-08
-4.04448397839785,1.83193549659216e-08
-4.0444719771977296,2.32570373575524e-08
-4.04445997599761,2.87856190579261e-08
-4.04444797479749,3.49058212545387e-08
-4.04443597359737,4.16183617783433e-08
-4.04442397239725,4.89239550961485e-08
-4.04441197119713,5.6823312303102e-08
-4.04439996999701,6.53171411154572e-08
-4.04438796879689,7.44061458617517e-08
-4.044375967596769,8.40910274772394e-08
-4.0443639663966495,9.43724834951543e-08
-4.04435196519653,1.05251208039507e-07
-4.04433996399641,1.16727891817687e-07
-4.04432796279629,1.28803222112963e-07
-4.04431596159617,1.41477882777129e-07
-4.04430396039605,1.54752554223032e-07
-4.04429195919593,1.68627913417254e-07
-4.04427995799581,1.83104633873245e-07
-4.04426795679569,1.98183385641758e-07
-4.04425595559557,2.13864835306855e-07
-4.0442439543954505,2.30149645976378e-07
-4.044231953195331,2.47038477275154e-07
-4.0442199519952,2.64531985337787e-07
-4.04420795079509,2.82630822801303e-07
-4.04419594959497,3.01335638797986e-07
-4.04418394839485,3.20647078948056e-07
-4.04417194719472,3.40565785353333e-07
-4.0441599459946005,3.61092396586818e-07
-4.044147944794481,3.82227547690262e-07
-4.04413594359436,4.03971870163822e-07
-4.04412394239425,4.2632599195979e-07
-4.04411194119413,4.49290537475344e-07
-4.04409993999401,4.72866127545567e-07
-4.04408793879389,4.97053379436221e-07
-4.04407593759377,5.21852906836808e-07
-4.04406393639365,5.47265319853376e-07
-4.0440519351935205,5.73291225002625e-07
-4.0440399339934,5.99931225200747e-07
-4.0440279327932895,6.27185919762528e-07
-4.04401593159317,6.5505590439027e-07
-4.04400393039305,6.8354177116795e-07
-4.04399192919293,7.12644108554127e-07
-4.04397992799281,7.42363501375162e-07
-4.04396792679269,7.7270053081815e-07
-4.04395592559257,8.03655774424191e-07
-4.04394392439245,8.3522980608135e-07
-4.04393192319233,8.67423196019233e-07
-4.0439199219922,9.00236510796948e-07
-4.04390792079209,9.33670313303971e-07
-4.04389591959197,9.67725162748189e-07
-4.04388391839185,1.00240161465053e-06
-4.04387191719173,1.03770022083805e-06
-4.04385991599161,1.07362152943731e-06
-4.04384791479149,1.11016608486754e-06
-4.04383591359137,1.14733442783408e-06
-4.04382391239124,1.18512709532151e-06
-4.04381191119112,1.22354462058866e-06
-4.043799909991,1.26258753315587e-06
-4.043787908790891,1.30225635880738e-06
-4.04377590759077,1.34255161957864e-06
-4.04376390639065,1.38347383375142e-06
-4.04375190519053,1.42502351584701e-06
-4.0437399039904,1.46720117661987e-06
-4.04372790279028,1.51000732305093e-06
-4.0437159015901605,1.55344245834125e-06
-4.043703900390041,1.59750708190704e-06
-4.0436918991899296,1.64220168936655e-06
-4.04367989798981,1.68752677254368e-06
-4.04366789678969,1.73348281945492e-06
-4.04365589558956,1.78007031430443e-06
-4.04364389438944,1.82728973747785e-06
-4.04363189318932,1.87514156553575e-06
-4.0436198919891995,1.92362627120744e-06
-4.04360789078909,1.97274432338448e-06
-4.04359588958897,2.0224961871145e-06
-4.0435838883888495,2.07288232359682e-06
-4.04357188718872,2.12390319016834e-06
-4.0435598859886,2.17555924030895e-06
-4.04354788478848,2.22785092362769e-06
-4.04353588358836,2.2807786858582e-06
-4.04352388238824,2.33434296885288e-06
-4.04351188118812,2.38854421057634e-06
-4.0434998799879995,2.44338284509963e-06
-4.04348787878788,2.49885930259377e-06
-4.04347587758776,2.55497400932392e-06
-4.04346387638764,2.61172738764529e-06
-4.04345187518752,2.66911985598844e-06
-4.0434398739874,2.72715182886623e-06
-4.04342787278728,2.78582371685927e-06
-4.04341587158716,2.84513592661181e-06
-4.04340387038704,2.90508886082609e-06
-4.04339186918692,2.96568291825603e-06
-4.0433798679868005,3.02691849370159e-06
-4.043367866786681,3.08879597800275e-06
-4.04335586558657,3.15131575803344e-06
-4.04334386438644,3.21447821669844e-06
-4.04333186318632,3.27828373291749e-06
-4.0433198619862,3.34273268163413e-06
-4.04330786078608,3.40782543380035e-06
-4.04329585958596,3.47356235637289e-06
-4.04328385838584,3.53994381230787e-06
-4.043271857185729,3.60697016055463e-06
-4.0432598559856,3.67464175605042e-06
