r_e/a,ka_SqW
0.009900666568417208,1.004999877056635
0.04158122516758599,1.021696284478595
0.0712210152725718,1.0383623721538626
0.09896279912262411,1.0549805457133377
0.12494265175883415,1.0715372202494435
0.14928882289739945,1.0880219044651036
0.17212123452578146,1.1044265177676944
0.19355139286722584,1.12074487349092
0.21368256473338998,1.1369722831950857
0.23261011625066852,1.1531052512944562
0.25042194505370297,1.169141235993466
0.26719895967421625,1.185078462094336
0.2830155754249735,1.2009157723087407
0.2979402067971181,1.216652508303394
0.31203574369143294,1.2322884158842715
0.32536000400605136,1.247823567979781
0.33796615824871584,1.263258302083591
0.3499031244284314,1.2785931699728967
0.3612159328382585,1.2938288957378703
0.37194606138556574,1.3089663418805009
0.38213174273174005,1.3240064812867929
0.39180824486051896,1.3389503740297102
0.4010081268763381,1.3537991481680318
0.40976147190326956,1.3685539839881349
0.4180960989099373,1.383216100635513
0.4260377553211123,1.3977867454725004
0.4336102920204583,1.4122671848183006
0.4408358224049758,1.4266586962941656
0.4477348669354677,1.440962562881918
0.45432648454295205,1.4551800674301416
0.4606283921308051,1.4693124885476103
0.46665707330215744,1.4833610969614912
0.4724278773413636,1.497327152716034
0.47795510936054214,1.511211902689503
0.4832521124977347,1.525016578736833
0.4883313428637009,1.5387423961497753
0.49320443796895436,1.552390552387901
0.4978822792296395,1.5659622261627164
0.5023750491119499,1.5794585767218077
0.5066922834166228,1.5928807432317165
0.5108429191554615,1.6062298444673895
0.5148353384272311,1.6195069786263185
0.5186774086621605,1.632713223103034
0.5223765195539909,1.6458496344657847
0.5259396170090875,1.6589172486304182
0.5293732343410397,1.6719170808356605
0.5326835209854461,1.6848501259211703
0.5358762689424517,1.697717358515293
0.5389569371481535,1.7105197332967619
0.541930673954967,1.723258185256647
0.5448023378840066,1.735933630105919
0.547576516797235,1.7485469644901277
0.5502575456247717,1.761099066458976
0.5528495227603933,1.7735907957078423
0.5553563252571023,1.7860229940579417
0.5577816228943095,1.79839648579684
0.5601288912296004,1.8107120780116401
0.5624014237094065,1.822970561031317
0.5646023429157062,1.8351727087732836
0.566734611017717,1.8473192791153588
0.5688010394915005,1.859411014308699
0.5708042981659778,1.8714486413071847
0.572746923641444,1.8834328721328886
0.5746313271446277,1.8953644042804534
0.5764598018426793,1.9072439210442396
0.5782345296725191,1.9190720918329824
0.5799575877158653,1.9308495725531052
0.5816309541548176,1.9425770059581584
0.5832565138390072,1.9542550219227888
0.5848360634927823,1.9658842377945482
0.5863713165885974,1.9774652586891437
0.5878639079114636,1.9889986778370121
0.5893153978318374,2.0004850767788174
0.5907272763193102,2.0119250258098798
0.5921009666998628,2.023319084107296
0.5934378291860902,2.0346678001104137
0.5947391641915386,2.045971711735734
0.596006215444726,2.0572313466621623
0.5972401729164938,2.0684472225508403
0.5984421755732976,2.0796198473482668
0.599613313968728,2.090749719477249
