T/T_F,C,C_error
0.3339,1.7606679553313933,0.0150483397990714
0.2435,2.363852201343457,0.0405229724259565
0.40815,1.7600081560464025,0.0247933371068793
0.5094000000000001,1.1969123217416031,0.0102589580895633
0.39025,1.6673883295895702,0.0226532420345149
0.61225,0.90336408346544,0.0135796990563329
0.74905,0.6793605071159948,0.0126994855687551
0.338,2.3733988640289985,0.0460804684373691
0.327,2.534138833197791,0.0466497353834447
0.4475,1.9477560297168837,0.0262301031328766
0.406,2.204948139388457,0.0374787881500704
0.3379999999999999,2.550437268596802,0.0471056476527667
0.5565,1.392817310099074,0.0177356749959822
0.5439499999999999,1.5661153075815384,0.0191314205207654
0.29685,2.4000376180403493,0.0726384776928416
0.4982,1.4840050793784365,0.0163182100170902
0.39375,1.985324975084102,0.0336536113571709
0.37095,1.7283370214457174,0.0373650582407316
0.34045,2.014012850925777,0.0575040394947302
0.5904499999999999,1.23699422726942,0.0269313059008145
0.7659499999999999,0.8169447662295131,0.0141627313284056
