B(G),Eb(MHz)
200.0,-1.9098507995512128
200.24242424242425,-1.9010188619455275
200.4848484848485,-1.8920693639545632
200.72727272727272,-1.8830000188650688
200.96969696969697,-1.8738084831784527
201.2121212121212,-1.8644923549816812
201.45454545454547,-1.8550491722709264
201.6969696969697,-1.845476411227091
201.9393939393939,-1.835771484442414
202.1818181818182,-1.8259317390974503
202.42424242424244,-1.815954455087782
202.66666666666663,-1.8058368430999483
202.9090909090909,-1.7955760426362428
203.15151515151516,-1.785169119988126
203.3939393939394,-1.774613066158236
203.63636363636363,-1.7639047947311708
203.87878787878788,-1.753041139693457
204.12121212121212,-1.7420188532034493
204.36363636363637,-1.730834603312163
204.6060606060606,-1.7194849716365117
204.84848484848484,-1.7079664509867707
205.0909090909091,-1.6962754429506846
205.33333333333337,-1.6844082554371098
205.57575757575756,-1.67236110018284
205.8181818181818,-1.6601300902269296
206.0606060606061,-1.647711237357773
206.3030303030303,-1.6351004495390824
206.54545454545453,-1.6222935283221092
206.7878787878788,-1.6092861662526723
207.03030303030303,-1.5960739442830327
207.27272727272728,-1.5826523292002783
207.5151515151515,-1.5690166710847968
207.75757575757575,-1.5551622008145072
208.0,-1.5410840276330124
208.24242424242425,-1.526777136802541
208.4848484848485,-1.5122363873657585
208.72727272727272,-1.4974565100440933
208.96969696969697,-1.4824321053043232
209.2121212121212,-1.4671576416298535
209.45454545454547,-1.451627454038397
209.6969696969697,-1.4358357428939017
209.9393939393939,-1.419776573067421
210.1818181818182,-1.4034438735096328
210.42424242424244,-1.3868314373066462
210.66666666666663,-1.369932922301165
210.9090909090909,-1.3527418523728514
211.15151515151516,-1.33525161948533
211.3939393939394,-1.3174554866227464
211.63636363636363,-1.2993465917566704
211.87878787878788,-1.2809179530045514
212.12121212121212,-1.262162475164488
212.36363636363637,-1.243072957838092
212.6060606060606,-1.2236421053844375
212.84848484848484,-1.2038625389840063
213.0909090909091,-1.1837268111330732
213.33333333333337,-1.1632274229369075
213.57575757575756,-1.1423568446257666
213.8181818181818,-1.1211075397819548
214.0606060606061,-1.0994719938410544
214.3030303030303,-1.0774427475171506
214.54545454545456,-1.055012435903124
214.7878787878788,-1.0321738341149185
215.03030303030303,-1.0089199104864357
215.27272727272728,-0.9852438884828548
215.5151515151515,-0.9611393186889556
215.75757575757575,-0.9366001624508206
216.0,-0.9116208890101478
216.24242424242425,-0.8861965882778197
216.4848484848485,-0.8603231017566544
216.72727272727272,-0.8339971745531083
216.96969696969697,-0.8072166319277022
217.2121212121212,-0.7799805844403737
217.45454545454544,-0.7522896664696027
217.6969696969697,-0.7241463137477185
217.9393939393939,-0.6955550865891515
218.1818181818182,-0.6665230467305965
218.42424242424244,-0.6370601971983089
218.66666666666663,-0.6071799964248213
218.9090909090909,-0.5768999600265248
219.15151515151516,-0.5462423663139608
219.3939393939394,-0.5152350848497965
219.63636363636363,-0.4839125513368911
219.87878787878788,-0.4523169169887381
220.12121212121212,-0.4204994065346294
220.36363636363637,-0.3885219264320199
220.6060606060606,-0.3564589740721148
220.84848484848484,-0.3243999102519815
221.0909090909091,-0.2924516715715372
221.33333333333337,-0.260742017508863
221.57575757575756,-0.2294234297984142
221.8181818181818,-0.1986778107879074
222.0606060606061,-0.1687221645447423
222.3030303030303,-0.1398154921086392
222.54545454545456,-0.1122671937871692
222.7878787878788,-0.086447351288854
223.03030303030303,-0.0627993669535333
223.27272727272728,-0.041855574848214
223.5151515151515,-0.024256620792095
223.75757575757575,-0.010775651868983
224.0,-0.0023486838249957
