OmegaR^2t^2, loss, loss_std
1.073364217892599087e-01,2.507194685915589000e-02,3.737220267822003589e-02
1.488960843743299678e-01,2.979852412175878693e-02,3.677161266925265543e-02
2.010019019386941053e-01,2.901659528779164041e-02,5.358624569259892723e-02
3.038855027366965667e-01,7.090123414222282427e-02,6.874149409997129534e-02
3.546632859703348073e-01,2.121399950765836748e-02,5.947799741021467246e-02
4.105188475273366389e-01,6.859688990707270284e-02,5.103458360701312868e-02
4.663744090843387480e-01,7.193262614655926424e-02,5.345328239986368857e-02
5.222299706413409126e-01,6.021545167552602024e-02,5.872287408615345372e-02
5.780855321983430217e-01,8.614982945369996370e-02,3.900120923898642289e-02
7.968205984355537508e-01,1.683047323352320490e-01,7.384961063016426408e-02
8.995479599005298255e-01,1.707800731456395049e-01,3.714329225219338559e-02
1.002275321365505789e+00,2.434598320424730677e-01,7.662384143401537728e-02
1.207730044295457272e+00,3.302587360606720202e-01,6.602210984638799685e-02
1.390530063936554983e+00,3.767104669148691465e-01,3.516502307914336906e-02
1.573330083577652028e+00,4.999731377009561939e-01,3.782017872757485744e-02
1.739724973250959428e+00,5.696916288255723382e-01,1.336101329862509832e-02
2.146337837452631181e+00,7.483413131735121571e-01,1.884979629979650559e-02
2.546701128333240138e+00,8.609694002330204876e-01,1.271942855524785081e-02
3.202906327044872548e+00,9.197742604648700970e-01,6.257691653156468269e-03
3.796615792545874779e+00,8.522697840832458294e-01,9.380618645479106218e-03
4.421573124652190323e+00,6.574209306222993376e-01,2.399491569164350843e-02
5.046530456758507199e+00,4.046384374641670556e-01,4.821412678777797084e-02
