detuning,transfer,Eb,e_Eb
-4760.000000000027,4.9594075356839014e-08,-3984.8872508552436,0.4097359699573022
-4759.21960980493,4.966828946629733e-08,-3984.8872508552436,0.4097359699573022
-4758.439219609832,4.979603107565436e-08,-3984.8872508552436,0.4097359699573022
-4757.658829414735,4.987157497088321e-08,-3984.8872508552436,0.4097359699573022
-4756.878439219637,4.99994426378551e-08,-3984.8872508552436,0.4097359699573022
-4756.098049024539,5.00761377541162e-08,-3984.8872508552436,0.4097359699573022
-4755.317658829442,5.0204179828990065e-08,-3984.8872508552436,0.4097359699573022
-4754.537268634344,5.0281973908631567e-08,-3984.8872508552436,0.4097359699573022
-4753.756878439247,5.041021314158613e-08,-3984.8872508552436,0.4097359699573022
-4752.97648824415,5.0489088244969305e-08,-3984.8872508552436,0.4097359699573022
-4752.196098049051,5.0617537361747375e-08,-3984.8872508552436,0.4097359699573022
-4751.415707853954,5.0697488613879516e-08,-3984.8872508552436,0.4097359699573022
-4750.635317658856,5.08258676575707e-08,-3984.8872508552436,0.4097359699573022
-4749.854927463759,5.090637546453974e-08,-3984.8872508552436,0.4097359699573022
-4749.0745372686615,5.103578582125393e-08,-3984.8872508552436,0.4097359699573022
-4748.294147073564,5.111737385635238e-08,-3984.8872508552436,0.4097359699573022
-4747.513756878466,5.124701313868522e-08,-3984.8872508552436,0.4097359699573022
-4746.733366683368,5.132968764363862e-08,-3984.8872508552436,0.4097359699573022
-4745.952976488271,5.1459559022970594e-08,-3984.8872508552436,0.4097359699573022
-4745.1725862931735,5.154321337927438e-08,-3984.8872508552436,0.4097359699573022
-4744.392196098076,5.167311323537086e-08,-3984.8872508552436,0.4097359699573022
-4743.611805902979,5.17581922875021e-08,-3984.8872508552436,0.4097359699573022
-4742.83141570788,5.18883333277285e-08,-3984.8872508552436,0.4097359699573022
-4742.051025512783,5.197451838715154e-08,-3984.8872508552436,0.4097359699573022
-4741.270635317685,5.2104901532111776e-08,-3984.8872508552436,0.4097359699573022
-4740.490245122588,5.219220294222082e-08,-3984.8872508552436,0.4097359699573022
-4739.709854927491,5.2322829148738813e-08,-3984.8872508552436,0.4097359699573022
-4738.929464732393,5.2411257334700296e-08,-3984.8872508552436,0.4097359699573022
-4738.149074537295,5.254212759646417e-08,-3984.8872508552436,0.4097359699573022
-4737.368684342197,5.2631693066064794e-08,-3984.8872508552436,0.4097359699573022
-4736.5882941471,5.276280841428229e-08,-3984.8872508552436,0.4097359699573022
-4735.807903952003,5.28526970486456e-08,-3984.8872508552436,0.4097359699573022
-4735.027513756905,5.2982567097981525e-08,-3984.8872508552436,0.4097359699573022
-4734.247123561808,5.307592573373312e-08,-3984.8872508552436,0.4097359699573022
-4733.466733366709,5.32060345221031e-08,-3984.8872508552436,0.4097359699573022
-4732.686343171612,5.330057097602119e-08,-3984.8872508552436,0.4097359699573022
-4731.9059529765145,5.343091961822171e-08,-3984.8872508552436,0.4097359699573022
-4731.125562781417,5.3526644770175863e-08,-3984.8872508552436,0.4097359699573022
-4730.34517258632,5.3657234421101825e-08,-3984.8872508552436,0.4097359699573022
-4729.564782391222,5.3754159238114005e-08,-3984.8872508552436,0.4097359699573022
-4728.784392196124,5.388499109346442e-08,-3984.8872508552436,0.4097359699573022
-4728.0040020010265,5.398312663064971e-08,-3984.8872508552436,0.4097359699573022
-4727.223611805929,5.4114201927632776e-08,-3984.8872508552436,0.4097359699573022
-4726.443221610832,5.4213559329122804e-08,-3984.8872508552436,0.4097359699573022
-4725.662831415734,5.4344879347176484e-08,-3984.8872508552436,0.4097359699573022
-4724.882441220637,5.444546984707881e-08,-3984.8872508552436,0.4097359699573022
-4724.102051025539,5.457703590860882e-08,-3984.8872508552436,0.4097359699573022
