detuning,transfer,Eb,e_Eb
-5980.0,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5977.9989994997495,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5975.9979989995,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5973.9969984992495,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5971.995997999,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5969.994997498749,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5967.9939969985,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5965.992996498249,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5963.991995997999,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5961.990995497749,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5959.989994997499,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5957.988994497249,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5955.987993996999,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5953.986993496749,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5951.985992996499,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5949.984992496248,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5947.983991995999,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5945.982991495748,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5943.981990995499,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5941.980990495248,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5939.979989994998,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5937.978989494748,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5935.9779889944975,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5933.976988494248,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5931.9759879939975,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5929.974987493748,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5927.973986993497,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5925.972986493247,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5923.971985992997,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5921.970985492747,-0.00010606983935550616,-4142.942631028146,75.65183737775163
-5919.969984992497,-0.00010606983935550616,-4142.942631028146,75.65183737775163
