B(G),Eb(MHz)
201.0,-4.145033536656669
201.1,-4.093030902709472
201.2,-4.078812935615751
201.2,-4.082486141531071
201.4,-4.053787241737233
201.6,-4.033200337074504
201.8,-4.026516053099151
201.9,-4.006936672526678
202.0,-4.002400479668502
202.1,-3.99224642644927
202.1,-3.99945675216199
202.1,-3.996669390380198
202.4,-3.96284420982272
203.1,-3.874022897175863
203.1,-3.860512796374231
204.0,-3.740842897517311
207.0,-3.267778119583546
209.0,-2.930867363656915
211.0,-2.557274612604438
