B(G),a13/10,r_e13/a0,r_e13/a13
202.15,221.92857142857147,104.26720371604642,0.4698232545943513
202.22040133779265,222.10354844109014,104.28327317390466,0.4695254709159423
202.2908026755853,222.27964996908804,104.29940945082497,0.46922608284352463
202.36120401337794,222.45688688780675,104.31561295325288,0.4689250776302696
202.43160535117056,222.6352702131746,104.33188409080998,0.4686224423960838
202.5020066889632,222.81481110408927,104.34822327632304,0.46831816412588545
202.57240802675585,222.9955208647445,104.36463092585363,0.46801222966785444
202.6428093645485,223.17741094700264,104.38110745872775,0.46770462573165555
202.71321070234114,223.36049295281387,104.39765329756618,0.46739533888663454
202.7836120401338,223.54477863668313,104.41426886831461,0.46708435555998484
202.85401337792644,223.7302799081858,104.43095460027456,0.4667716620348878
202.92441471571908,223.91700883453336,104.44771092613416,0.4664572444486219
202.9948160535117,224.1049776431901,104.46453828199967,0.4661410887906445
203.06521739130434,224.29419872454227,104.48143710742694,0.4658231809006417
203.135618729097,224.48468463462078,104.49840784545334,0.46550350646654876
203.20602006688964,224.67644809787808,104.5154509426301,0.46518205102253957
203.27642140468228,224.86950201002222,104.53256684905463,0.4648587999469831
203.34682274247493,225.06385944090715,104.5497560184037,0.4645337384603694
203.41722408026757,225.2595336374829,104.56701890796634,0.4642068516232004
203.48762541806022,225.45653802680457,104.58435597867748,0.46387812433385023
203.55802675585284,225.65488621910418,104.60176769515172,0.4635475413263887
203.62842809364548,225.85459201092527,104.61925452571757,0.46321508716837073
203.69882943143813,226.05566938832115,104.63681694245186,0.462880746258593
203.76923076923077,226.25813253012055,104.6544554212146,0.4625445028248101
203.83963210702342,226.4619958112604,104.6721704416841,0.46220634092141777
203.91003344481607,226.66727380618795,104.68996248739249,0.4618662444270969
203.9804347826087,226.87398129233424,104.70783204576155,0.46152419704241987
204.05083612040133,227.08213325366,104.72577960813884,0.4611801822874188
204.12123745819397,227.29174488427682,104.74380566983436,0.4608341834991128
204.19163879598662,227.5028315921438,104.76191073015721,0.4604861838289967
204.26204013377927,227.7154090028433,104.78009529245291,0.46013616624048753
204.3324414715719,227.92949296343684,104.798359864141,0.45978411350632964
204.40284280936456,228.14509954640295,104.81670495675299,0.4594300082059579
204.4732441471572,228.36224505365962,104.83513108597037,0.45907383272281566
204.54364548494985,228.580946020673,104.8536387716636,0.45871556924163126
204.61404682274247,228.80121922065504,104.87222853793091,0.45835519974564704
204.6844481605351,229.02308166885172,104.89090091313768,0.4579927060138034
204.75484949832776,229.24655062692423,104.90965642995616,0.4576280696178766
204.8252508361204,229.4716436074262,104.92849562540553,0.4572612719195681
204.89565217391305,229.69837837837844,104.94741904089246,0.45689229406754567
204.9660535117057,229.9267729679445,104.9664272222518,0.45652111699443465
205.03645484949834,230.15684566920896,104.98552071978783,0.45614772141375887
205.106856187291,230.3886150450617,105.00470008831584,0.4557720878168306
205.1772575250836,230.62209993319036,105.02396588720411,0.45539419646958745
205.24765886287625,230.85731945118457,105.04331868041608,0.45501402740937474
205.3180602006689,231.09429300175358,105.06275903655319,0.4546315604416763
