xs,ys
-5399999.999999998,0.00018962586102159266
-5399719.971997198,0.00018962158193010358
-5399439.943994397,0.00018961743597956332
-5399159.915991597,0.00018961342462147607
-5398879.887988797,0.0001896095492668888
-5398599.859985997,0.00018960581128592247
-5398319.831983197,0.00018960221200731598
-5398039.803980396,0.0001895987527179821
-5397759.775977596,0.00018959543466257617
-5397479.747974795,0.00018959225904307766
-5397199.719971996,0.00018958922701838428
-5396919.691969195,0.00018958633970391932
-5396639.663966395,0.000189583598171252
-5396359.635963595,0.00018958100344773125
-5396079.607960794,0.00018957855651613258
-5395799.579957994,0.00018957625831431864
-5395519.551955193,0.00018957410973491346
-5395239.523952394,0.00018957211162499011
-5394959.495949593,0.00018957026478577267
-5394679.467946793,0.0001895685699723516
-5394399.4399439925,0.00018956702789341357
-5394119.411941192,0.00018956563921098516
-5393839.383938392,0.00018956440454019095
-5393559.355935591,0.0001895633244490258
-5393279.327932792,0.0001895623994581415
-5392999.299929991,0.0001895616300406481
-5392719.271927191,0.00018956101662192948
-5392439.2439243905,0.00018956055957947365
-5392159.21592159,0.00018956025924271786
-5391879.18791879,0.00018956011589290825
-5391599.15991599,0.0001895601297629743
-5391319.13191319,0.00018956030103741827
-5391039.103910389,0.00018956062985221934
-5390759.075907589,0.0001895611162947528
-5390479.0479047885,0.00018956176040372413
-5390199.019901988,0.00018956256216911806
-5389918.991899188,0.00018956352153216274
-5389638.963896388,0.00018956463838530895
-5389358.935893588,0.00018956591257222413
-5389078.907890787,0.0001895673438878019
-5388798.879887987,0.0001895689320781863
-5388518.8518851865,0.00018957067684081128
-5388238.823882386,0.00018957257782445527
-5387958.795879587,0.00018957463462931085
-5387678.767876786,0.00018957684680706948
-5387398.739873986,0.00018957921386102123
-5387118.711871185,0.00018958173524616953
-5386838.683868385,0.00018958441036936123
-5386558.6558655845,0.0001895872385894312
-5386278.627862784,0.0001895902192173623
-5385998.599859985,0.00018959335151645995
-5385718.571857184,0.00018959663470254176
-5385438.543854384,0.000189600067944142
-5385158.515851583,0.00018960365036273076
-5384878.487848783,0.00018960738103294787
-5384598.4598459825,0.0001896112589828515
-5384318.431843182,0.00018961528319418131
-5384038.403840383,0.00018961945260263625
-5383758.375837582,0.00018962376609816669
-5383478.347834782,0.00018962822252528087
-5383198.319831981,0.00018963282068336595
-5382918.291829181,0.00018963755932702292
-5382638.2638263805,0.00018964243716641568
-5382358.235823581,0.00018964745286763452
-5382078.207820781,0.00018965260505307286
-5381798.17981798,0.00018965789230181843
-5381518.15181518,0.00018966331315005771
-5381238.123812379,0.00018966886609149425
-5380958.095809579,0.00018967454957778023
-5380678.0678067785,0.00018968036201896153
-5380398.039803979,0.00018968630178393592
-5380118.011801179,0.00018969236720092455
-5379837.983798378,0.00018969855655795592
-5379557.955795578,0.00018970486810336324
-5379277.927792777,0.00018971130004629409
-5378997.899789977,0.0001897178505572326
-5378717.871787177,0.0001897245177685344
-5378437.843784377,0.00018973129977497319
-5378157.815781577,0.00018973819463429978
-5377877.787778776,0.000189745200367813
-5377597.759775976,0.0001897523149609422
-5377317.731773175,0.00018975953636384132
-5377037.703770375,0.00018976686249199445
-5376757.675767575,0.0001897742912268325
-5376477.647764775,0.00018978182041636107
-5376197.619761975,0.00018978944787579875
-5375917.591759174,0.00018979717138822662
-5375637.563756374,0.00018980498870524773
-5375357.535753573,0.00018981289754765716
-5375077.507750773,0.00018982089560612206
-5374797.479747973,0.00018982898054187134
-5374517.451745173,0.00018983714998739546
-5374237.423742373,0.00018984540154715518
-5373957.395739572,0.00018985373279829993
-5373677.367736772,0.000189862141291395
-5373397.339733971,0.00018987062455115756
-5373117.311731172,0.00018987918007720134
-5372837.283728371,0.00018988780534478963
-5372557.255725571,0.00018989649780559644
-5372277.227722771,0.00018990525488847543
-5371997.19971997,0.00018991407400023675
-5371717.17171717,0.0001899229525264312
-5371437.143714369,0.00018993188783214158
-5371157.11571157,0.00018994087726278088
-5370877.087708769,0.00018994991814489772
-5370597.059705969,0.00018995900778698751
-5370317.0317031685,0.0001899681434803105
-5370037.003700368,0.0001899773224997154
-5369756.975697568,0.00018998654210446912
-5369476.947694767,0.00018999579953909152
-5369196.919691968,0.0001900050920341958
-5368916.891689167,0.0001900144168073339
-5368636.863686367,0.00019002377106384607
-5368356.8356835665,0.00019003315199771567
-5368076.807680766,0.0001900425567924276
-5367796.779677966,0.00019005198262183085
-5367516.751675166,0.0001900614266510049
-5367236.723672366,0.00019007088603712938
-5366956.695669565,0.00019008035793035668
-5366676.667666765,0.00019008983947468785
-5366396.6396639645,0.00019009932780885083
-5366116.611661164,0.00019010882006718118
-5365836.583658364,0.00019011831338050473
-5365556.555655564,0.0001901278048770221
-5365276.527652764,0.00019013729168319496
-5364996.499649963,0.00019014677092463316
-5364716.471647163,0.00019015623972698303
-5364436.4436443625,0.0001901656952168166
-5364156.415641562,0.00019017513452252086
-5363876.387638763,0.00019018455477518755
-5363596.359635962,0.0001901939531095026
-5363316.331633162,0.0001902033266646353
-5363036.303630361,0.00019021267258512669
-5362756.275627561,0.00019022198802177718
-5362476.2476247605,0.00019023127013253287
-5362196.21962196,0.00019024051608337045
-5361916.191619161,0.00019024972304918007
-5361636.16361636,0.00019025888821464672
-5361356.13561356,0.00019026800877512863
-5361076.107610759,0.00019027708193753367
-5360796.079607959,0.00019028610492119254
-5360516.0516051585,0.00019029507495872902
-5360236.023602358,0.00019030398929692664
-5359955.995599559,0.00019031284519759197
-5359675.967596758,0.00019032163993841367
-5359395.939593958,0.00019033037081381743
-5359115.911591157,0.00019033903513581657
-5358835.883588357,0.00019034763023485774
-5358555.8555855565,0.00019035615346066166
-5358275.827582757,0.00019036460218305865
-5357995.799579957,0.00019037297379281858
-5357715.771577156,0.00019038126570247488
-5357435.743574356,0.0001903894753471429
-5357155.715571555,0.0001903976001853314
-5356875.687568755,0.0001904056376997481
-5356595.6595659545,0.00019041358539809784
-5356315.631563155,0.00019042144081387398
-5356035.603560355,0.00019042920150714256
-5355755.575557554,0.00019043686506531852
-5355475.547554754,0.0001904444291039345
-5355195.519551953,0.0001904518912674012
-5354915.491549153,0.00019045924922975999
-5354635.463546353,0.0001904665006954262
-5354355.435543553,0.00019047364339992452
-5354075.407540753,0.0001904806751106145
