detuning(MHz),scaled_dimer_transfer,scaled_transfer_error
-4.044700000000006,591.4830441443003,27.750214946712507
-4.034700000000001,563.560223360993,28.49996609913392
-4.024700000000003,542.5080285555293,39.91167341547597
-4.014700000000005,576.9142598777089,40.3809666402454
-4.009700000000002,526.3821076063845,17.73679629431219
-4.0047,541.1320969142234,13.01937263776792
-3.999700000000004,515.980439316329,34.64737338865441
-3.9947000000000017,474.2319101710681,21.53080050071027
-3.992200000000004,477.8017230644612,6.296609099735175
-3.9897000000000062,442.49718024467217,60.09756930620549
-3.9872000000000014,462.1388146419911,22.854918078095977
-3.984700000000004,451.0052626259037,21.817152574000943
-3.982200000000006,458.987290994273,26.42372726755395
-3.979700000000001,492.4984701459184,20.784549784569183
-3.9772000000000034,504.4220923341735,8.80135285617626
-3.9747000000000057,566.0144488672929,34.048850524085466
-3.969700000000003,536.0054584949723,41.61706639891821
-3.964700000000001,548.1504482524541,22.478022907046363
-3.959700000000005,574.529594283698,49.82820352855645
-3.9547000000000025,571.2914811346716,16.793182632710582
-3.944700000000005,606.1583912852403,32.207699342256426
-3.9347000000000065,563.9172171509141,22.18172769286304
-3.9247000000000014,573.9537510215755,14.877403062243594
