OmegaR^2t^2, transfer, transfer_std
4.922179432780792157e-04,1.858199652290391454e-03,6.748797374942678423e-03
4.877483387643806109e-03,5.340348735602021106e-03,5.211905276295314068e-03
1.152110744252190892e-02,5.275222535655879445e-03,6.215202506254030416e-03
2.217004394200759038e-02,8.279812224024119677e-03,7.429181640899664048e-03
4.040176458297239925e-02,6.322851873328739179e-03,3.537620881007150914e-03
9.234639877353480186e-02,1.710188599349762514e-02,1.021648702456458974e-02
1.257860464152754931e-01,1.707273784767696090e-02,8.887431849300400297e-03
1.685257241751726698e-01,3.543363849421458933e-02,4.416391349307496536e-03
2.727241422360557888e-01,5.184232464892237630e-02,3.597542982320769446e-03
3.341828825370415368e-01,5.777753353192988800e-02,9.956475700788293068e-03
6.349230660911940882e-01,1.188090339254986166e-01,1.097790635889061596e-02
8.091865321612052853e-01,1.381611191995940902e-01,1.524840960679113219e-02
1.004555819818327977e+00,1.755151234158141282e-01,1.010452024415138018e-02
1.458611859893907070e+00,2.525899071951682173e-01,1.844747883299039867e-02
1.933573858711399751e+00,3.266148319719308080e-01,1.821090305019314529e-02
2.475367551890461648e+00,4.024492391759442733e-01,1.480123197838257958e-02
3.026642982553051198e+00,4.820524415327989698e-01,1.313938805583494268e-02
4.606766112480837450e+00,6.736354082368801732e-01,9.308697848307704789e-03
6.485686637053799330e+00,8.173881937514604346e-01,2.017467782974459098e-02
1.025860893982407696e+01,9.220318756910826918e-01,9.195869063436397373e-03
1.441429147620874041e+01,8.249555303157857233e-01,1.265203744271536576e-02
1.955030889664653770e+01,6.023279910401708737e-01,1.187994895000578366e-02
2.546746965099122662e+01,3.228386984433560536e-01,1.196434696369673249e-02
3.190049013982928017e+01,9.933707399022388695e-02,1.092490550530647586e-02
3.905716669534449892e+01,6.087402941145879549e-03,4.695925273505868226e-03
