xx,yy,freq,EF,ScaledTransfer,e_ScaledTransfer
-273.11641791044804,2.539956540624725e-33,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-273.0447044058987,7.465049637713856e-09,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.9729909013494,2.993768633283514e-08,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.9012773968001,6.747097774389306e-08,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.82956389225075,1.2003305591807084e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.75785038770147,1.8750661623440527e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.68613688315213,2.69688895851778e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.6144233786028,3.662921356233527e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.54270987405346,4.769445267521575e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.4709963695041,6.011916407441484e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.3992828649548,7.384983384855036e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.3275693604055,8.882511515420352e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.25585585585617,1.0497611260678225e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.18414235130683,1.2222671170285276e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.1124288467575,1.4049395178170742e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-272.0407153422082,1.596884407766378e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.9690018376588,1.797148097575357e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.8972883331095,2.0047220502606445e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.8255748285602,2.218548152960833e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.75386132401087,2.4375243127372325e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.68214781946153,2.660510347480434e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.61043431491225,2.886334141136888e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.5387208103629,3.1137980307295944e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.4670073058136,3.341685391076519e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.39529380126424,3.5687673817234027e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.3235802967149,3.7938098193985702e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.2518667921656,4.015580138292086e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.1801532876163,4.232854399654931e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.10843978306696,4.444424311619456e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-271.0367262785176,4.649104219756548e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.96501277396834,4.8457380287261295e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.893299269419,5.033206015430292e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.8215857648696,5.210431494356399e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.74987226032033,5.3763872963034305e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.678158755771,5.530102022404269e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.60644525122166,5.670666036295613e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.5347317466724,5.797237158452717e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.46301824212304,5.909046028068119e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.3913047375737,6.005401099429889e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.31959123302437,6.085693241528943e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.24787772847503,6.149399911584188e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.1761642239257,6.196088875319089e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.10445071937636,6.225421449135123e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-270.0327372148271,6.237155241799255e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.96102371027774,6.231146375880295e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.8893102057284,6.207351171919026e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.8175967011791,6.16582728118652e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.7458831966298,6.106734255856831e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.6741696920804,6.030333548481785e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.6024561875311,5.936987935786615e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.5307426829818,5.8271603649914695e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.45902917843244,5.701412224090906e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.38731567388317,5.560401040763012e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.31560216933383,5.404877617828751e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.2438886647845,5.235682616411945e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.1721751602352,5.05374260114274e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.1004616556858,4.860065564892498e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-269.0287481511365,4.65573595360301e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.9570346465872,4.441909214749137e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.88532114203787,4.219805895863325e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.81360763748853,3.990705322300882e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.74189413293925,3.7559388860424018e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.6701806283899,3.5168829797954604e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.5984671238406,3.274951612952574e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.5267536192912,3.031588748065942e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.4550401147419,2.7882603984206024e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.38332661019257,2.546446528980589e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.31161310564323,2.3076328044777407e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.23989960109395,2.0733022296493508e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.1681860965446,1.8449267276519564e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.0964725919953,1.623958703440249e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-268.024759087446,1.4118226394033857e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.9530455828966,1.2099067708067295e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.88133207834727,1.0195548885735472e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.809618573798,8.420583166545924e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.73790506924865,6.786481106999273e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.6661915646993,5.304875239299246e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.59447806015004,3.9866478502888863e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.5227645556007,2.841862315547567e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.45105105105137,1.8796984076934434e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.37933754650203,1.1083919795489499e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.3076240419527,5.351794021030019e-08,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.23591053740336,1.6624711410867256e-08,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.1641970328541,6.686614892561572e-10,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.09248352830474,6.045520459703478e-09,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-267.0207700237554,3.303427467798646e-08,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-266.9490565192061,8.17944697187318e-08,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-266.8773430146568,1.5236416097752173e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-266.8056295101074,2.446585296809579e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-266.73391600555806,3.584691784355088e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-266.6622025010088,4.934641167806645e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-266.59048899645944,6.491884434526678e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-266.5187754919101,8.250657282351326e-07,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
-266.4470619873608,1.0204000923912826e-06,-3.9747000000000057,0.01675,0.0018559624707359032,0.0003943771105609907
