xx,yy,yy_loss
44.472651322228096,12048.76789905914,6.213024861902896e-145
44.4787119282887,12048.76789905914,5.0596338066557385e-139
44.48477253434931,12048.76789905914,3.1210892088130547e-133
44.49083314040991,12048.76789905914,1.4583587800268206e-127
44.49689374647052,12048.76789905914,5.161710955567896e-122
44.50295435253113,12048.76789905914,1.383866143010068e-116
44.509014958591735,12048.76789905914,2.8103835144684612e-111
44.515075564652335,12048.76789905914,4.3232285604882776e-106
44.52113617071294,12048.76789905914,5.037579416420577e-101
44.52719677677355,12048.76789905914,4.446381446709245e-96
44.53325738283416,12048.76789905914,2.972779044507967e-91
44.53931798889476,12048.76789905914,1.505530807097535e-86
44.545378594955366,12048.76789905914,5.775475750445072e-82
44.551439201015974,12048.76789905914,1.6782512713406263e-77
44.55749980707658,12048.76789905914,3.694003538744607e-73
44.56356041313719,12048.76789905914,6.158979117699756e-69
44.56962101919779,12048.76789905914,7.778417650018503e-65
44.5756816252584,12048.76789905914,7.441232718767762e-61
44.581742231319005,12048.76789905914,5.392245018434469e-57
44.58780283737961,12048.76789905914,2.959821025893973e-53
44.59386344344021,12048.76789905914,1.2306438514844271e-49
44.59992404950082,12048.76789905914,3.8758809023447224e-46
44.60598465556143,12048.76789905914,9.246546609849254e-43
44.612045261622036,12048.76789905914,1.6709359576648443e-39
44.61810586768264,12048.76789905914,2.2872368995005515e-36
44.624166473743244,12048.76789905914,2.3715571502244094e-33
44.63022707980385,12048.76789905914,1.862632356665133e-30
44.63628768586446,12048.76789905914,1.1081327578372648e-27
44.64234829192506,12048.76789905914,4.993758614989642e-25
44.64840889798567,12048.76789905914,1.704646772536338e-22
44.654469504046276,12048.76789905914,4.40770334709983e-20
44.66053011010688,12048.76789905914,8.632993548735561e-18
44.66659071616749,12048.76789905914,1.2808007626716154e-15
44.67265132222809,12048.76789905914,1.4393713062785772e-13
44.6787119282887,12048.767899059127,1.2252796095796564e-11
44.68477253434931,12048.76789905835,7.900756441571038e-10
44.690833140409914,12048.76789902055,3.858986361548127e-08
44.696893746470515,12048.7678976314,1.4277393050563356e-06
44.70295435253112,12048.767859046638,4.0012500236890785e-05
44.70901495859173,12048.767049656579,0.0008494025608025163
44.71507556465234,12048.754240573688,0.013658485451254795
44.72113617071294,12048.601533806077,0.166365253062936
44.727196776773546,12047.23295056295,1.5349484961896798
44.733257382834154,12038.040459097565,10.727439961575186
44.73931798889476,11991.978211458969,56.78968760017138
44.74537859495537,11821.041190648783,227.72670841035682
44.75143920101597,11357.049129602641,691.7187694564975
44.75749980707658,10457.23267935612,1591.535219703019
44.763560413137185,9274.974888908102,2773.7930101510365
44.76962101919779,8386.897689082098,3661.870209977041
44.77568162525839,8386.897689082098,3661.870209977041
44.781742231319,9274.974888908102,2773.7930101510365
44.78780283737961,10457.23267935612,1591.535219703019
44.793863443440216,11357.049129602641,691.7187694564975
44.79992404950082,11821.041190648783,227.72670841035682
44.805984655561424,11991.978211458969,56.78968760017138
44.81204526162203,12038.040459097565,10.727439961575186
44.81810586768264,12047.23295056295,1.5349484961896798
44.82416647374325,12048.601533806077,0.166365253062936
44.83022707980385,12048.754240573688,0.013658485451254795
44.836287685864455,12048.767049656579,0.0008494025608025163
44.84234829192506,12048.767859046638,4.0012500236890785e-05
44.84840889798567,12048.7678976314,1.4277393050563356e-06
44.85446950404627,12048.76789902055,3.858986361548127e-08
44.86053011010688,12048.76789905835,7.900756441571038e-10
44.86659071616749,12048.767899059127,1.2252796095796564e-11
44.872651322228094,12048.76789905914,1.4393713062785772e-13
44.878711928288695,12048.76789905914,1.2808007626716154e-15
44.8847725343493,12048.76789905914,8.632993548735561e-18
44.89083314040991,12048.76789905914,4.40770334709983e-20
44.89689374647052,12048.76789905914,1.704646772536338e-22
44.902954352531125,12048.76789905914,4.993758614989642e-25
44.909014958591726,12048.76789905914,1.1081327578372648e-27
44.915075564652334,12048.76789905914,1.862632356665133e-30
44.92113617071294,12048.76789905914,2.3715571502244094e-33
44.92719677677355,12048.76789905914,2.2872368995005515e-36
44.93325738283415,12048.76789905914,1.6709359576648443e-39
44.93931798889476,12048.76789905914,9.246546609849254e-43
44.945378594955365,12048.76789905914,3.8758809023447224e-46
44.95143920101597,12048.76789905914,1.2306438514844271e-49
44.95749980707657,12048.76789905914,2.959821025893973e-53
44.96356041313718,12048.76789905914,5.392245018434469e-57
44.96962101919779,12048.76789905914,7.441232718767762e-61
44.975681625258396,12048.76789905914,7.778417650018503e-65
44.981742231319,12048.76789905914,6.158979117699756e-69
44.987802837379604,12048.76789905914,3.694003538744607e-73
44.99386344344021,12048.76789905914,1.6782512713406263e-77
44.99992404950082,12048.76789905914,5.775475750445072e-82
45.00598465556143,12048.76789905914,1.505530807097535e-86
45.01204526162203,12048.76789905914,2.972779044507967e-91
45.018105867682635,12048.76789905914,4.446381446709245e-96
45.02416647374324,12048.76789905914,5.037579416420577e-101
45.03022707980385,12048.76789905914,4.3232285604882776e-106
45.03628768586445,12048.76789905914,2.8103835144684612e-111
45.04234829192506,12048.76789905914,1.383866143010068e-116
45.04840889798567,12048.76789905914,5.161710955567896e-122
45.054469504046274,12048.76789905914,1.4583587800268206e-127
45.060530110106875,12048.76789905914,3.1210892088130547e-133
45.06659071616748,12048.76789905914,5.0596338066557385e-139
45.07265132222809,12048.76789905914,6.213024861902896e-145
