cyc,state,freq,VVA,sweepfreq,Blackmantime,dimerswitchtime,squaretime,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,c5_sv,c5_sh,c9_sv,c9_sh,c5_s,c9_s,detuning,ratio95,f5,f9
68,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,68,9908.79,-0.0859129,17.3213,12.9884,114.701,0.0087035,127.164,438.958,-2.34428,-0.705634,-4.42196,0.0965939,2.08463,-280.658,1393.0,46.2512,8648.03,7359.76,-0.577058,1.06159,-0.887511,1.86382,3.85185,1.16705,1616.55,66.5743,10024.8854,0.138862,0.932775,0.0136351,11641.435399999998,-0.000255081,0.114947,13.6561,11.0271,114.186,90.2356,0.710014,12.6745,11.9639,113.919,139.51,0.267314,-49.2739,11.0271,13.6561,11.9639,12.6745,12.3416,12.3192,0.09999999999999432,6.201407565494417,0.13886174208379837,0.8611382579162017
72,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,72,9130.71,-0.0862461,16.6066,12.5263,114.581,0.0176012,173.995,113.142,-0.876989,0.872503,-2.16962,0.878636,0.37326,-287.371,1338.9,14.3842,8072.09,6871.4,0.932509,2.682,1.44937,2.68813,2.18276,0.854111,1567.8,35.1934,9380.118699999999,0.143205,0.962201,0.00774939,10947.918699999998,-0.000388748,0.108941,13.2036,11.8375,114.471,90.257,0.705766,12.4866,11.3777,113.747,138.961,0.723824,-48.7042,11.8375,13.2036,11.3777,12.4866,12.52055,11.93215,0.09999999999999432,5.982981694093634,0.14320530166158432,0.8567946983384157
76,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,76,9479.0,-0.0671657,16.4988,12.9412,114.337,0.054869,89.0145,487.874,-4.4941,0.512762,1.95777,-1.94294,-2.47066,-287.926,1383.73,38.0787,8294.94,7109.61,-2.68111,2.32575,5.58375,-0.12995,-0.657665,-0.25738,1613.07,58.9281,9632.4364,0.143442,0.939911,0.0125743,11245.5064,-0.000342047,0.109397,13.5484,11.679,114.011,90.5649,0.6899,12.7589,11.77,113.55,138.849,0.461017,-48.2839,11.679,13.5484,11.77,12.7589,12.613700000000001,12.26445,0.09999999999999432,5.971493115611846,0.14344129491580743,0.8565587050841926
80,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,80,9199.28,-0.11654,16.651,12.7943,114.72,-0.512361,236.895,374.448,-2.64892,-1.06795,1.87202,0.895515,1.85713,-266.863,1223.16,10.0024,8292.86,10886.3,-0.968559,0.612408,5.23275,2.57588,3.53749,0.523861,1435.73,29.3266,9611.1246,0.129967,0.965488,0.00631146,11046.854599999999,-0.000444107,0.1092,13.2898,10.8415,114.684,90.8127,0.69938,12.5155,11.7867,113.79,139.388,0.893555,-48.5757,10.8415,13.2898,11.7867,12.5155,12.06565,12.1511,0.09999999999999432,6.6942423714765305,0.12996731214331364,0.8700326878566864
84,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,84,10397.6,-0.0804259,18.4932,12.7058,114.65,-0.046136,-130.016,468.975,-0.523409,1.26393,-0.449679,-0.896719,0.679373,-262.433,1499.76,33.9942,9132.31,7844.35,1.12906,2.9164,2.85527,0.755754,2.33185,0.71414,1708.8,52.9976,10555.725499999999,0.139328,0.948519,0.010343,12264.525499999998,-0.000368221,0.137712,12.5081,10.9379,114.375,89.9921,0.768127,12.7767,11.5847,113.84,138.864,0.534607,-48.8718,10.9379,12.5081,11.5847,12.7767,11.723,12.1807,0.09999999999999432,6.177273817883894,0.1393286678722304,0.8606713321277697
88,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,88,9632.84,-0.067418,17.1235,12.6659,114.598,-0.0145837,39.3262,492.672,1.07692,-0.672542,0.781113,0.731704,-2.80956,-278.556,1359.94,30.6716,8476.47,7079.0,2.83092,1.08145,4.2891,2.4857,-1.05557,0.554684,1581.82,50.8425,9829.1355,0.138623,0.946747,0.0106526,11410.9555,-0.000257145,0.113807,13.0555,11.4478,113.941,90.3368,0.717105,12.434,11.7324,113.826,139.477,0.114479,-49.1401,11.4478,13.0555,11.7324,12.434,12.251650000000001,12.0832,0.09999999999999432,6.213814150788333,0.13862292250635802,0.861377077493642
92,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,92,9868.34,-0.0218926,17.4656,12.7781,114.431,0.00561467,17.7603,499.914,1.76095,-2.87201,1.3202,0.582444,-2.29785,-295.345,1422.79,41.2875,8728.72,7268.38,3.62066,-1.0123,5.03962,2.44215,-0.438146,0.477867,1658.04,62.6741,10129.286099999998,0.140663,0.937954,0.0127158,11787.326099999998,-0.000363721,0.129038,12.7147,10.7488,113.75,90.7777,0.727057,12.8532,11.5946,113.741,139.699,0.00810573,-48.9215,10.7488,12.7147,11.5946,12.8532,11.73175,12.2239,0.09999999999999432,6.109192842150972,0.1406629447538573,0.8593370552461427
96,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,96,10098.9,-0.110168,17.7659,13.0506,114.617,0.0353474,81.7519,297.814,-0.758195,-1.62662,-1.81651,3.91486,0.847196,-294.266,1519.8,47.578,8838.69,7641.76,1.09472,0.226295,1.88931,5.76778,2.70011,0.838219,1754.2,68.8865,10252.580399999999,0.1461,0.935697,0.0137931,12006.7804,-0.000380376,0.123325,13.5371,11.4882,114.245,91.2191,0.722765,12.7644,11.9085,113.735,139.81,0.509935,-48.5908,11.4882,13.5371,11.9085,12.7644,12.51265,12.33645,0.09999999999999432,5.844590354577584,0.1461007815217475,0.8538992184782525
100,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,100,9112.29,-0.121434,16.8651,12.5528,114.529,0.0427649,151.059,499.997,-2.42029,0.720882,0.44638,-0.158669,0.425281,-308.354,1315.3,27.9964,8181.0,7101.95,-0.478669,2.66251,4.32963,1.78296,2.36691,0.59397,1560.91,50.3251,9522.0806,0.140839,0.946592,0.0108816,11082.9906,-0.000494383,0.114607,12.9998,11.2637,114.523,89.6728,0.707209,12.451,11.5558,113.708,138.627,0.814852,-48.9538,11.2637,12.9998,11.5558,12.451,12.13175,12.0034,0.09999999999999432,6.100339289260751,0.1408383401498148,0.8591616598501852
104,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,104,9079.75,0.00905825,16.0402,12.7585,114.914,-0.0729272,-99.8897,500.0,-0.7025,0.193953,-1.79169,1.61966,3.92446,-322.026,1271.87,27.0129,8072.83,6899.17,1.32521,2.22166,2.26373,3.64737,5.95217,0.853101,1528.38,50.3316,9412.142899999999,0.139699,0.94551,0.0110087,10940.5229,-0.000391367,0.10568,13.8923,11.0966,114.42,90.5412,0.676936,12.7079,11.6729,113.994,139.064,0.425607,-48.5228,11.0966,13.8923,11.6729,12.7079,12.49445,12.1904,0.09999999999999432,6.1582478833797865,0.13969899007295164,0.8603010099270483
108,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,108,9220.2,-0.0960027,16.6498,12.6827,114.516,0.0804732,167.542,42.3445,-0.568705,-4.41081,-0.990905,0.247757,-0.774615,-269.153,1198.82,26.3488,8290.41,7312.98,1.12608,-2.71602,2.39866,1.94254,0.920168,0.346667,1413.21,45.8388,9610.423999999999,0.128198,0.946286,0.00983089,11023.633999999998,-0.000398404,0.111987,12.56,10.8832,113.829,90.0758,0.704312,12.7483,11.4957,113.755,139.074,0.0738454,-48.9984,10.8832,12.56,11.4957,12.7483,11.7216,12.122,0.09999999999999432,6.800421734915546,0.12819819671081245,0.8718018032891877
112,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,112,9162.99,-0.121136,16.7313,12.717,114.582,0.013838,-27.8143,336.04,-0.241994,-2.23262,-2.4751,0.665085,2.54204,-261.64,1296.34,37.9432,8248.09,6938.93,1.40548,-0.585144,0.819851,2.31256,4.18951,0.899309,1504.74,56.8892,9555.845,0.136045,0.937944,0.0122407,11060.585,-0.000434854,0.109695,13.1623,11.2965,114.229,90.0036,0.716422,12.4486,11.4392,113.837,139.059,0.392667,-49.0552,11.2965,13.1623,11.4392,12.4486,12.2294,11.9439,0.09999999999999432,6.3504957667105275,0.1360452453464261,0.863954754653574
116,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,116,9758.74,-0.128096,17.3195,13.0778,114.554,0.234753,148.735,499.45,0.0707939,-1.45321,-1.08634,0.339535,-0.79147,-314.367,1445.73,41.1691,8630.7,8509.98,2.05028,0.526275,2.87262,2.31902,1.18801,0.679259,1696.14,63.9331,10035.643,0.144576,0.938119,0.0130874,11731.783,-0.000444775,0.116733,13.3984,11.6265,114.232,90.5692,0.713975,12.8638,11.7138,113.753,139.219,0.478817,-48.6501,11.6265,13.3984,11.7138,12.8638,12.512450000000001,12.2888,0.09999999999999432,5.916753923614795,0.14457648935374956,0.8554235106462504
120,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,120,9794.23,-0.0591826,17.4222,12.8479,114.512,0.0371019,66.2259,499.999,-2.04185,-0.485153,3.20329,1.57905,0.875559,-250.765,1368.71,34.6852,8704.79,7366.67,-0.462846,1.09385,6.36129,3.15805,2.45456,0.495332,1568.46,52.8437,10062.1302,0.134856,0.944323,0.0108137,11630.590199999999,-0.000329666,0.121824,13.0045,10.5553,113.869,90.4421,0.716008,12.6755,11.887,113.721,139.556,0.148195,-49.1141,10.5553,13.0045,11.887,12.6755,11.779900000000001,12.28125,0.09999999999999432,6.415292835010137,0.13485644090529475,0.8651435590947053
124,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,124,9073.45,-0.138956,16.3275,12.9949,114.919,0.0975726,-125.752,113.487,-0.773595,-1.31644,-0.0917591,1.31525,-0.773775,-318.373,1324.12,17.7784,8130.03,7306.4,1.23111,0.688265,3.91766,3.31996,1.23093,0.622865,1577.71,40.8326,9473.4906,0.142764,0.956671,0.00889222,11051.2006,-0.000498102,0.115845,13.4949,10.8,114.445,90.1421,0.68463,12.7574,11.5899,114.056,138.946,0.389289,-48.8037,10.8,13.4949,11.5899,12.7574,12.14745,12.17365,0.09999999999999432,6.004582971522016,0.14276367402108328,0.8572363259789166
128,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,128,8811.98,-0.0171289,15.7758,-12.678,115.098,-0.0797677,32.8901,500.0,-2.6249,-0.294164,0.929845,0.0826958,2.04236,-285.359,1252.62,24.6119,7974.04,6596.26,-0.828068,1.50267,4.5235,1.87953,3.83919,0.585639,1479.92,45.2755,9267.5029,0.1377,0.949182,0.010067,10747.4229,-0.000520095,0.110201,12.7739,11.1599,114.61,90.4186,0.668078,12.7977,11.6378,114.184,138.861,0.425531,-48.4422,11.1599,12.7739,11.6378,12.7977,11.966899999999999,12.21775,0.09999999999999432,6.262164779177252,0.13769998759423527,0.8623000124057647
136,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,136,9369.83,-0.0640139,16.8528,12.5075,114.881,0.0148334,-15.0286,428.841,-0.149417,-0.562266,2.1787,0.634289,4.12054,-226.518,1364.53,31.808,8205.54,6869.04,1.27691,0.864061,5.03135,2.06062,5.54687,0.659579,1544.96,48.2107,9476.146099999998,0.140182,0.948219,0.0104792,11021.106099999997,-0.00030453,0.118018,12.7592,11.3518,114.837,90.0643,0.695731,12.5746,11.6548,114.087,138.747,0.749607,-48.6832,11.3518,12.7592,11.6548,12.5746,12.0555,12.1147,0.09999999999999432,6.133586694801158,0.14018193691103295,0.8598180630889671
140,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,140,9099.06,-0.00630228,16.2719,12.637,115.039,-0.00842845,-1.13994,500.0,1.05607,-2.35005,-3.95132,1.21615,0.60646,-260.522,1296.23,30.2676,8100.22,6694.2,2.69651,-0.709613,-0.670441,2.85659,2.2469,1.10443,1503.74,49.1327,9387.7349,0.138066,0.945914,0.010777,10891.4749,-0.00038514,0.110309,13.3244,11.1303,115.496,89.7252,0.70254,12.5212,11.4245,114.196,138.398,1.30003,-48.6724,11.1303,13.3244,11.4245,12.5212,12.227350000000001,11.972850000000001,0.09999999999999432,6.242924242222724,0.1380657820732801,0.86193421792672
144,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,144,-677.844,0.000129187,1.09674e-14,125.569,59.3771,0.000348372,5.71159,166.836,1.02548,-1.32763,-3.16609,-1.48931,1.32648,-276.375,34.9239,9.45457,98.1069,0.0647732,2.76573,0.412626,0.314427,0.250951,3.06673,0.953832,255.067,29.4675,359.62249999999995,0.414952,0.831825,0.145712,614.6895,-0.00112122,0.00357025,118.094,8.85685,90.0,94.8374,0.00479881,22.8144,40.3779,131.514,145.564,-41.5139,-50.727,8.85685,118.094,40.3779,22.8144,63.475424999999994,31.596149999999998,0.09999999999999432,1.4099138657686017,0.4149525898848118,0.5850474101151882
