detuning(MHz),scaled_transfer
-4268000.000000015,0.0357132494624075
-4267945.394539469,0.0357132530795773
-4267890.789078923,0.0357132561074702
-4267836.183618377,0.0357132585445848
-4267781.578157831,0.0357132603896662
-4267726.972697285,0.0357132616417073
-4267672.367236739,0.0357132622999485
-4267617.761776192,0.0357132623638794
-4267563.156315646,0.035713261833238
-4267508.5508551,0.035713260708012
-4267453.945394554,0.0357132589884383
-4267399.339934008,0.0357132566750035
-4267344.734473462,0.0357132537684439
-4267290.129012916,0.0357132502697451
-4267235.52355237,0.035713246180142
-4267180.918091824,0.0357132415011184
-4267126.312631278,0.0357132362344066
-4267071.707170732,0.0357132303819869
-4267017.101710186,0.0357132239460871
-4266962.496249639,0.0357132169291812
-4266907.890789093,0.0357132093339894
-4266853.2853285475,0.0357132011634765
-4266798.6798680015,0.0357131924208511
-4266744.0744074555,0.0357131831095643
-4266689.4689469095,0.0357131732333088
-4266634.863486364,0.0357131627960171
-4266580.258025818,0.0357131518018604
-4266525.652565272,0.0357131402552468
-4266471.047104726,0.0357131281608197
-4266416.44164418,0.0357131155234561
-4266361.836183634,0.0357131023482647
-4266307.230723087,0.0357130886405841
-4266252.625262541,0.0357130744059804
-4266198.019801995,0.0357130596502453
-4266143.414341449,0.0357130443793938
-4266088.808880903,0.0357130285996619
-4266034.203420357,0.035713012317504
-4265979.597959811,0.0357129955395906
-4265924.992499265,0.0357129782728055
-4265870.387038719,0.0357129605242431
-4265815.781578173,0.0357129423012058
-4265761.176117627,0.0357129236112007
-4265706.570657081,0.0357129044619371
-4265651.965196534,0.035712884861323
-4265597.359735988,0.0357128648174621
-4265542.754275442,0.0357128443386508
-4265488.148814896,0.0357128234333744
-4265433.54335435,0.0357128021103042
-4265378.937893804,0.0357127803782937
-4265324.332433258,0.0357127582463748
-4265269.726972712,0.035712735723755
-4265215.121512166,0.0357127128198126
-4265160.51605162,0.0357126895440939
-4265105.910591074,0.0357126659063085
-4265051.305130528,0.035712641916326
-4264996.699669981,0.0357126175841716
-4264942.094209435,0.0357125929200221
-4264887.488748889,0.035712567934202
-4264832.883288343,0.0357125426371788
-4264778.277827797,0.0357125170395592
-4264723.6723672515,0.0357124911520847
-4264669.0669067055,0.0357124649856268
-4264614.4614461595,0.0357124385511831
-4264559.855985614,0.0357124118598723
-4264505.250525068,0.0357123849229299
-4264450.645064522,0.0357123577517038
-4264396.039603976,0.0357123303576489
-4264341.434143429,0.0357123027523234
-4264286.828682883,0.0357122749473831
-4264232.223222337,0.0357122469545772
-4264177.617761791,0.0357122187857431
-4264123.012301245,0.0357121904528016
-4264068.406840699,0.0357121619677523
-4264013.801380153,0.0357121333426681
-4263959.195919607,0.0357121045896905
-4263904.590459061,0.0357120757210245
-4263849.984998515,0.0357120467489337
-4263795.379537969,0.0357120176857347
-4263740.774077423,0.0357119885437928
-4263686.168616876,0.0357119593355159
-4263631.56315633,0.0357119300733503
-4263576.957695784,0.0357119007697746
-4263522.352235238,0.0357118714372952
-4263467.746774692,0.0357118420884408
-4263413.141314146,0.035711812735757
-4263358.5358536,0.0357117833918013
-4263303.930393054,0.0357117540691379
-4263249.324932508,0.0357117247803322
-4263194.719471962,0.0357116955379456
-4263140.114011416,0.0357116663545304
-4263085.50855087,0.0357116372426243
-4263030.903090323,0.0357116082147452
-4262976.297629777,0.0357115792833862
-4262921.692169231,0.03571155046101
-4262867.086708685,0.0357115217600436
-4262812.481248139,0.0357114931928734
-4262757.875787593,0.0357114647718398
-4262703.270327047,0.035711436509232
-4262648.664866501,0.0357114084172829
-4262594.0594059555,0.0357113805081635
-4262539.4539454095,0.0357113527939784
-4262484.8484848635,0.0357113252867602
-4262430.243024318,0.0357112979984646
-4262375.637563771,0.0357112709409653
-4262321.032103225,0.0357112441260489
-4262266.426642679,0.0357112175654099
-4262211.821182133,0.0357111912706458
-4262157.215721587,0.035711165253252
-4262102.610261041,0.0357111395246171
-4262048.004800495,0.0357111140960179
-4261993.399339949,0.0357110889786146
-4261938.793879403,0.0357110641834462
-4261884.188418857,0.0357110397214254
-4261829.582958311,0.0357110156033343
-4261774.977497765,0.0357109918398197
-4261720.372037218,0.0357109684413882
-4261665.766576672,0.0357109454184021
-4261611.161116126,0.0357109227810749
-4261556.55565558,0.0357109005394665
-4261501.950195034,0.0357108787034793
-4261447.344734488,0.0357108572828537
-4261392.739273942,0.0357108362871639
-4261338.133813396,0.035710815725814
-4261283.52835285,0.0357107956080335
-4261228.922892304,0.0357107759428735
-4261174.317431758,0.0357107567392029
-4261119.711971212,0.0357107380057044
-4261065.106510665,0.0357107197508705
-4261010.501050119,0.0357107019830001
-4260955.895589573,0.035710684710195
-4260901.290129027,0.0357106679403557
-4260846.684668481,0.0357106516811786
-4260792.079207935,0.0357106359401522
-4260737.473747389,0.0357106207245541
-4260682.868286843,0.0357106060414474
-4260628.262826297,0.0357105918976779
-4260573.657365751,0.0357105782998709
-4260519.0519052055,0.0357105652544282
-4260464.4464446595,0.0357105527675255
-4260409.840984113,0.0357105408451091
-4260355.235523567,0.035710529492894
-4260300.630063021,0.0357105187163604
-4260246.024602475,0.0357105085207521
-4260191.419141929,0.0357104989110734
-4260136.813681383,0.0357104898920872
-4260082.208220837,0.0357104814683127
-4260027.602760291,0.0357104736440235
-4259972.997299745,0.035710466423245
-4259918.391839199,0.0357104598097534
-4259863.786378653,0.0357104538070732
-4259809.180918107,0.0357104484184757
-4259754.57545756,0.0357104436469777
-4259699.969997014,0.0357104394953398
-4259645.364536468,0.0357104359660648
-4259590.759075922,0.035710433061397
-4259536.153615376,0.0357104307833205
-4259481.54815483,0.0357104291335586
-4259426.942694284,0.0357104281135727
-4259372.337233738,0.0357104277245611
-4259317.731773192,0.035710427967459
-4259263.126312646,0.0357104288429373
-4259208.5208521,0.0357104303514023
-4259153.915391554,0.0357104324929957
-4259099.309931007,0.0357104352675934
-4259044.704470461,0.0357104386748063
-4258990.099009915,0.0357104427139797
-4258935.493549369,0.0357104473841936
-4258880.888088823,0.0357104526842625
-4258826.282628277,0.0357104586127363
-4258771.677167731,0.0357104651679002
-4258717.071707185,0.0357104723477752
-4258662.466246639,0.035710480150119
-4258607.860786093,0.0357104885724267
-4258553.255325547,0.0357104976119312
-4258498.649865001,0.0357105072656049
-4258444.0444044545,0.0357105175301598
