OmegaR^2t^2, transfer, transfer_std
4.922179432780792157e-04,6.445626308114417967e-03,3.408823422013334062e-03
4.877483387643806109e-03,5.657814593424160231e-03,7.267601111298931278e-03
1.152110744252190892e-02,7.053546423453445000e-03,6.291787542986663519e-03
2.217004394200759038e-02,5.917621701669097470e-03,3.764670547065618843e-03
4.040176458297239925e-02,1.055055262607553120e-02,7.343173045523743343e-03
6.406351767203882774e-02,1.745959974439726878e-02,3.860607625521610478e-03
9.234639877353480186e-02,2.407450879403116861e-02,8.576751806435672226e-03
1.257860464152754931e-01,2.716386186969673919e-02,6.191787918233456096e-03
1.685257241751726698e-01,3.982119566432398838e-02,7.930660064288103453e-03
2.175050894487661479e-01,5.108262177976651691e-02,5.979748212265265268e-03
2.727241422360557888e-01,5.761179941777788693e-02,1.052327188206930199e-02
3.341828825370415368e-01,7.078798845656464334e-02,8.246965226259214687e-03
6.349230660911940882e-01,1.333512663053801339e-01,5.418838022230814885e-03
8.091865321612052853e-01,1.634880802474069639e-01,8.708747419548074423e-03
1.004555819818327977e+00,2.116871292383304959e-01,1.541839562699645443e-02
1.458611859893907070e+00,3.011940145050539530e-01,2.265419326360554320e-02
1.933573858711399751e+00,3.963977321653514019e-01,7.168472231774740411e-03
2.475367551890461648e+00,4.985715461846524366e-01,9.324011532528196991e-03
3.026642982553051198e+00,5.836769047105987429e-01,5.849530224544690488e-03
4.606766112480837450e+00,7.591336347921452399e-01,6.794010878533541554e-03
6.485686637053799330e+00,8.645401320945268475e-01,6.240753877268126124e-03
1.025860893982407696e+01,9.315486887308374042e-01,2.428268730872737251e-03
1.441429147620874041e+01,8.738713180203084852e-01,1.989376015498341924e-03
1.955030889664653770e+01,6.841824530382903946e-01,5.920404221555158539e-03
2.546746965099122662e+01,3.889823723651407161e-01,1.350606130099786008e-02
3.190049013982928017e+01,1.163003272842070279e-01,5.242770186916176876e-03
3.905716669534449892e+01,8.184540473590080911e-03,2.922905621129874478e-03
