B,file,freq,res,Eb,e_Eb
209.0,2024-10-30_B_e,45.441,48.27259027710369,-2.831590277103686,0.002
204.0,2024-10-30_D_e,43.797,47.43684567240395,-3.6398456724039505,0.002
207.0,2024-11-01_F_e,44.773,47.939763380175144,-3.1667633801751407,0.002
211.0,2024-11-01_H_e,46.15,48.60347199798769,-2.453471997987691,0.002
202.14,on resonance,43.248,47.12280263221972,-3.874802632219719,0.002
