Omega^2(KHz^2),dimer_transfer,dimer_transfer_error
226.50468008354676,0.0113937739662631,0.0035318995174915
602.0898900364998,0.0371250401405392,0.0118327261825866
1079.735226364929,0.0408498460492265,0.0100478948180252
1643.4338902680931,0.0534768396960024,0.0091101939134782
2313.726584059882,0.0757747124048433,0.0096552465782734
3659.6921109231266,0.1070306154253009,0.003449049517941
5142.2048651493105,0.1436547252498158,0.0025723188507281
6974.445722111179,0.1657636619505469,0.0109268684712148
9085.35439001782,0.2020684577217804,0.0077885273903616
11380.292667761663,0.2036443674165864,0.0054500198059328
13933.390547238554,0.2141764578099322,0.0060143992644599
