detuning(MHz),scaled_transfer,transfer_error
-4.034000000000006,0.0354607683267046,0.0006719014572301
-4.031000000000006,0.0375007828173888,0.0010816837730019
-4.028000000000006,0.0362422042719469,0.0020230739536494
-4.025000000000006,0.0354135193554984,0.0013215452957874
-4.022000000000006,0.0361717462515784,0.0009631291897095
-4.0190000000000055,0.0367229750170633,0.0003508613267116
-4.016000000000005,0.0349061329824047,0.0021456733042548
-4.013000000000005,0.0371977080859061,0.0005582917847012
-4.010000000000005,0.0347139936285107,0.0013868269129759
-4.008000000000003,0.0358408995940247,0.0006104254492881
-4.007000000000005,0.0357954439234548,0.0017596253281932
-4.006,0.0362842741355238,0.0007544325765869
-4.004000000000005,0.0370103531750226,0.0011371572000963
-4.0020000000000024,0.0369267604391825,0.0005368917062933
-4.001000000000005,0.0389206337891695,0.0003202452732338
-4.0,0.0384313465970156,0.0005582851648629
-3.9980000000000047,0.0394474902834578,0.0010385770353564
-3.996000000000002,0.0403997536931783,0.0007281280170853
-3.995000000000005,0.0426467940102204,0.0013149814926019
-3.994,0.0429665692866254,0.0011828074781666
-3.992000000000005,0.0433599875961121,0.0008195919921665
-3.990000000000002,0.0435448568122911,0.0008773489389028
-3.989000000000004,0.0428914306823567,0.0019278960816784
-3.988000000000006,0.0419720352190482,0.0008493076693926
-3.986000000000004,0.0426442183042871,0.0009165770774857
-3.9840000000000018,0.0390222495426018,0.002654720162149
-3.983000000000004,0.0377355597979956,0.0011768891192368
-3.9820000000000064,0.0381506846615168,0.0009060568717768
-3.980000000000004,0.0361783101473439,0.0003956443351953
-3.9780000000000015,0.0363087848855341,0.0003886092765125
-3.977000000000004,0.0366537910017801,0.0018210404297428
-3.976000000000006,0.0355709282229371,0.0014489176747589
-3.974000000000004,0.0352688643867938,0.0012030057995379
-3.9720000000000018,0.034114920432921,0.0009626337902562
-3.971000000000003,0.0378027497183627,0.0019061017398318
-3.970000000000006,0.0353581209061108,0.000966982200763
-3.968000000000003,0.0342698228338333,0.0017601763849397
-3.9650000000000034,0.0381733190236025,0.0012192517457493
-3.9620000000000033,0.0359521742447069,0.0013475735911966
-3.959000000000003,0.0352183473155862,0.0005254117765079
-3.956000000000003,0.0343837632016776,0.0013923102150983
