B(G),E(MHz)
213.62541806020067,-1.9839020037190453
213.69581939799332,-1.9693779648516962
213.76622073578596,-1.9548214396337404
213.83662207357858,-1.9402326196082043
213.90702341137123,-1.925611704216163
213.97742474916387,-1.9109589009970203
214.04782608695652,-1.8962744257938293
214.11822742474916,-1.8815585029639137
214.1886287625418,-1.8668113655948702
214.25903010033446,-1.852033255726143
214.32943143812707,-1.8372244245763032
214.39983277591972,-1.8223851327761933
214.47023411371237,-1.8075156506081551
214.540635451505,-1.7926162582514311
214.61103678929766,-1.777687246033974
214.6814381270903,-1.7627289146908498
214.75183946488295,-1.747741575629399
214.8222408026756,-1.7327255512013626
214.8926421404682,-1.717681174982196
214.96304347826086,-1.702608792057725
215.0334448160535,-1.6875087593184614
215.10384615384615,-1.6723814457616815
215.1742474916388,-1.6572272328015958
215.24464882943144,-1.6420465145877916
215.3150501672241,-1.6268396983322422
215.3854515050167,-1.6116072046450913
215.45585284280935,-1.5963494678795076
215.526254180602,-1.581066936485908
215.59665551839464,-1.565760073375763
215.6670568561873,-1.550429356295357
215.73745819397993,-1.5350752782097428
215.80785953177258,-1.5196983476972616
215.87826086956522,-1.5042990893549146
215.94866220735784,-1.4888780442149505
216.0190635451505,-1.4734357701729783
216.08946488294313,-1.4579728424280702
216.15986622073578,-1.442489853935083
216.23026755852842,-1.4269874158697067
216.30066889632107,-1.4114661581066175
216.37107023411372,-1.3959267297111095
216.44147157190636,-1.3803697994447106
216.51187290969898,-1.3647960562851822
216.58227424749163,-1.3492062099613784
216.65267558528427,-1.3336009915035167
216.72307692307692,-1.3179811538092536
216.79347826086956,-1.3023474722261847
216.8638795986622,-1.286700745151281
216.93428093645485,-1.2710417946478312
217.0046822742475,-1.255371467080459
217.07508361204012,-1.2396906337688964
217.14548494983276,-1.2240001916610326
217.2158862876254,-1.208301064026058
217.28628762541805,-1.1925942011682458
217.3566889632107,-1.1768805811621674
217.42709030100335,-1.1611612106100933
217.497491638796,-1.145437125422311
217.5678929765886,-1.12970939162123
217.63829431438126,-1.1139791061700384
217.7086956521739,-1.0982473978269076
217.77909698996655,-1.082515428025537
217.8494983277592,-1.0667843917830782
217.91989966555184,-1.05105551863641
217.99030100334448,-1.0353300736108522
218.06070234113713,-1.019609358206622
218.13110367892975,-1.0038947114368766
218.2015050167224,-0.9881875108846334
218.27190635451504,-0.9724891737973731
218.34230769230768,-0.9568011582169413
218.41270903010033,-0.9411249641461547
218.48311036789298,-0.9254621347535014
218.55351170568562,-0.9098142576174005
218.62391304347824,-0.8941829660115993
218.69431438127089,-0.8785699402332575
218.76471571906353,-0.8629769089755426
218.83511705685618,-0.8474056507463489
218.90551839464882,-0.8318579953351305
218.97591973244147,-0.8163358253297236
219.04632107023411,-0.8008410776852474
219.11672240802676,-0.7853757453471819
219.1871237458194,-0.7699418789309227
219.25752508361202,-0.7545415884601341
219.32792642140467,-0.7391770451663777
219.39832775919731,-0.7238504833526946
219.46872909698996,-0.7085642023237607
219.5391304347826,-0.6933205683855911
219.60953177257525,-0.6781220169177781
219.67993311036787,-0.6629710545214644
219.75033444816052,-0.647870261246369
219.82073578595316,-0.6328222929004804
219.8911371237458,-0.6178298834460344
219.96153846153845,-0.6028958474857692
220.0319397993311,-0.588023082843571
220.10234113712374,-0.573214573243875
220.1727424749164,-0.5584733910944252
220.24314381270904,-0.5438027003772531
220.31354515050165,-0.529205759653029
220.3839464882943,-0.5146859251841605
220.45434782608694,-0.5002466541824858
220.5247491638796,-0.48589150818750304
220.59515050167224,-0.4716241565816555
220.66555183946488,-0.4574483802494458
220.73595317725753,-0.4433680753875885
220.80635451505015,-0.4293872574738597
220.8767558528428,-0.4155100654027012
220.94715719063544,-0.40174076579627543
221.01755852842808,-0.38808375749998664
221.08795986622073,-0.3745435762722417
221.15836120401337,-0.3611248996787332
221.22876254180602,-0.3478325522022049
221.29916387959867,-0.3346715105793537
221.36956521739128,-0.32164690937729057
221.43996655518393,-0.3087640468227418
221.51036789297657,-0.29602839089815786
221.58076923076922,-0.2834455857196416
221.65117056856187,-0.2710214582128009
221.7215719063545,-0.25876202510360274
221.79197324414716,-0.246673500242501
221.86237458193978,-0.2347623022813796
221.93277591973242,-0.22303506272416515
222.00317725752507,-0.2114986343735335
222.0735785953177,-0.20016010019755084
222.14397993311036,-0.18902678264196288
222.214381270903,-0.17810625341560243
222.28478260869565,-0.16740634377841845
222.3551839464883,-0.15693515536379815
222.42558528428094,-0.1467010715692026
222.49598662207356,-0.1367127695516996
222.5663879598662,-0.12697923286771523
222.63678929765885,-0.11750976479942264
222.7071906354515,-0.10831400241331962
222.77759197324414,-0.09940193140025082
222.8479933110368,-0.09078390175485009
222.9183946488294,-0.08247064432649884
222.98879598662205,-0.07447328835275888
223.0591973244147,-0.0668033800008464
223.12959866220734,-0.05947290199715814
223.2,-0.05249429443267604
