B(G),E(MHz)
202.15,-3.8999841964212663
202.22040133779265,-3.8907228112923486
202.2908026755853,-3.881435185532589
202.36120401337794,-3.872121229335897
202.43160535117056,-3.862780852729319
202.5020066889632,-3.8534139655768676
202.57240802675585,-3.8440204775835243
202.6428093645485,-3.834600298299287
202.71321070234114,-3.8251533371233934
202.7836120401338,-3.815679503308606
202.85401337792644,-3.806178705965682
202.92441471571908,-3.7966508540679027
202.9948160535117,-3.7870958564557924
203.06521739130434,-3.7775136218419205
203.135618729097,-3.76790405881585
203.20602006688964,-3.758267075849258
203.27642140468228,-3.748602581301114
203.34682274247493,-3.738910483423099
203.41722408026757,-3.7291906903650793
203.48762541806022,-3.7194431101808014
203.55802675585284,-3.7096676508336914
203.62842809364548,-3.6998642202028154
203.69882943143813,-3.6900327260890315
203.76923076923077,-3.680173076221266
203.83963210702342,-3.6702851782629664
203.91003344481607,-3.660368939818732
203.9804347826087,-3.6504242684411112
204.05083612040133,-3.640451071637574
204.12123745819397,-3.63044925687766
204.19163879598662,-3.620418731600333
204.26204013377927,-3.610359403221491
204.3324414715719,-3.6002711791417004
204.40284280936456,-3.59015396675411
204.4732441471572,-3.5800076734525534
204.54364548494985,-3.569832206639909
204.61404682274247,-3.559627473736595
204.6844481605351,-3.5493933821893444
204.75484949832776,-3.5391298394801587
204.8252508361204,-3.528836753135523
204.89565217391305,-3.518514030735805
204.9660535117057,-3.5081615799249306
205.03645484949834,-3.4977793084202733
205.106856187291,-3.4873671240227946
205.1772575250836,-3.4769249346274558
205.24765886287625,-3.4664526482338296
205.3180602006689,-3.455950172957058
205.38846153846154,-3.445417417038995
205.4588628762542,-3.4348542888596865
205.52926421404683,-3.4242606969490734
205.59966555183948,-3.413636549999037
205.6700668896321,-3.4029817568756946
205.74046822742474,-3.3922962266320034
205.8108695652174,-3.38157986852069
205.88127090301003,-3.370832592007474
205.95167224080268,-3.360054306784602
206.02207357859533,-3.3492449227847256
206.09247491638797,-3.3384043501951144
206.16287625418062,-3.3275324994721966
206.23327759197323,-3.3166292813564526
206.30367892976588,-3.305694606887664
206.37408026755853,-3.294728387420538
206.44448160535117,-3.2837305346407035
206.51488294314382,-3.2727009605810506
206.58528428093646,-3.261639577638529
206.6556856187291,-3.250546298591283
206.72608695652175,-3.2394210366162133
206.79648829431437,-3.2282637053069867
206.86688963210702,-3.217074218692404
206.93729096989966,-3.2058524912552757
207.0076923076923,-3.194598437951703
207.07809364548496,-3.183311974230825
207.1484949832776,-3.1719930160550076
207.21889632107025,-3.16064147992056
207.28929765886286,-3.1492572828789016
207.3596989966555,-3.137840342558221
207.43010033444816,-3.1263905771856666
207.5005016722408,-3.114907905610058
207.57090301003345,-3.103392247325117
207.6413043478261,-3.0918435224932432
207.71170568561874,-3.080261651969863
207.78210702341138,-3.068646557328346
207.852508361204,-3.0569981608854873
207.92290969899665,-3.045316385727599
207.9933110367893,-3.0336011557372213
208.06371237458194,-3.021852395620456
208.13411371237459,-3.0100700309349206
208.20451505016723,-2.998253988118368
208.27491638795988,-2.986404194517998
208.34531772575252,-2.9745205784204023
208.41571906354514,-2.9626030690822827
208.48612040133779,-2.950651596761777
208.55652173913043,-2.938666092750671
208.62692307692308,-2.9266464894072035
208.69732441471572,-2.914592720189751
208.76772575250837,-2.902504719691246
208.83812709030101,-2.890382423674416
208.90852842809363,-2.878225769107846
208.97892976588628,-2.8660346942028605
209.04933110367892,-2.8538091384513224
209.11973244147157,-2.8415490426642367
209.19013377926422,-2.8292543490113586
209.26053511705686,-2.8169250010616125
209.3309364548495,-2.8045609438245385
209.40133779264215,-2.7921621237926844
209.47173913043477,-2.7797284889850005
209.54214046822742,-2.7672599889911997
209.61254180602006,-2.7547565750172356
209.6829431438127,-2.742218199931798
209.75334448160535,-2.729644818313895
209.823745819398,-2.7170363865015648
209.89414715719064,-2.7043928626417415
209.9645484949833,-2.691714206741266
210.0349498327759,-2.679000380719126
210.10535117056855,-2.6662513484598622
210.1757525083612,-2.653467075868339
210.24615384615385,-2.640647530925686
210.3165551839465,-2.627792683746644
210.38695652173914,-2.614902506638205
210.45735785953178,-2.6019769741596814
210.52775919732443,-2.589016063184164
210.59816053511705,-2.576019752961436
210.6685618729097,-2.5629880251823707
210.73896321070234,-2.5499208640448874
210.80936454849498,-2.5368182563214297
210.87976588628763,-2.5236801914280487
210.95016722408027,-2.5105066614951443
211.02056856187292,-2.4972976614398807
211.09096989966554,-2.4840531890403237
211.16137123745818,-2.4707732450113107
211.23177257525083,-2.457457833082205
211.30217391304348,-2.4441069600764327
211.37257525083612,-2.4307206359929405
211.44297658862877,-2.417298874089631
211.5133779264214,-2.403841690968749
211.58377926421406,-2.390349106664343
211.65418060200668,-2.3768211447318417
211.72458193979932,-2.3632578323397255
211.79498327759197,-2.3496592003634786
211.8653846153846,-2.336025283481748
211.93578595317726,-2.322356120274847
212.0061872909699,-2.308651753325649
212.07658862876255,-2.2949122293228914
212.14698996655517,-2.281137599167023
212.2173913043478,-2.2673279180785677
212.28779264214046,-2.253483245709205
212.3581939799331,-2.23960364625547
212.42859531772575,-2.225689188575276
212.4989966555184,-2.211739946307267
212.56939799331104,-2.1977559979931014
212.6397993311037,-2.1837374272027215
212.7102006688963,-2.1696843226627127
212.78060200668895,-2.155596778387795
212.8510033444816,-2.1414748938155936
212.92140468227424,-2.127318773944704
212.9918060200669,-2.113128529476184
213.06220735785953,-2.09890427695855
213.13260869565218,-2.0846461389363813
213.20301003344483,-2.070354244102606
213.27341137123744,-2.056028727454604
213.3438127090301,-2.0416697304541658
213.41421404682274,-2.0272774011915313
213.48461538461538,-2.012851894553458
213.55501672240803,-1.9983933723955767
