freq,cyc,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,ratio_59,c5_s,c9_s,ratio_59_s,e_freq,e_cyc,e_cyc.1,e_ROIsum,e_fBg,e_fA1,e_fWidth1,e_fCtr1,e_fA2,e_fWidth2,e_fCtr2,e_box1,e_box2,e_box3,e_box4,e_box5,e_box6,e_box7,e_box8,e_box9,e_Nfit,e_BZ-2,e_BZ-1,e_BZ0,e_BZ1,e_BZ2,e_Excited,e_c5,e_c7,e_c9,e_fraction95,e_fraction75,e_fraction97,e_sum95,e_two2D_bg,e_two2D_a1,e_two2D_sh1,e_two2D_sv1,e_two2D_ch1,e_two2D_cv1,e_two2D_a2,e_two2D_sh2,e_two2D_sv2,e_two2D_ch2,e_two2D_cv2,e_two2D_chd,e_two2D_cvd,e_ratio_59,e_c5_s,e_c9_s,e_ratio_59_s,em_freq,em_cyc,em_cyc.1,em_ROIsum,em_fBg,em_fA1,em_fWidth1,em_fCtr1,em_fA2,em_fWidth2,em_fCtr2,em_box1,em_box2,em_box3,em_box4,em_box5,em_box6,em_box7,em_box8,em_box9,em_Nfit,em_BZ-2,em_BZ-1,em_BZ0,em_BZ1,em_BZ2,em_Excited,em_c5,em_c7,em_c9,em_fraction95,em_fraction75,em_fraction97,em_sum95,em_two2D_bg,em_two2D_a1,em_two2D_sh1,em_two2D_sv1,em_two2D_ch1,em_two2D_cv1,em_two2D_a2,em_two2D_sh2,em_two2D_sv2,em_two2D_ch2,em_two2D_cv2,em_two2D_chd,em_two2D_cvd,em_ratio_59,em_c5_s,em_c9_s,em_ratio_59_s,filename,loss
45.615,21.0,21.0,28797.2,-0.0135327,45.0618,13.914,115.217,-0.171625,333.067,4.95789e-11,-0.12746,0.574027,0.568166,-2.37608,3.08735,-36.9246,13664.1,39.1046,14219.6,22271.5,0.105044,0.806531,1.03317,-2.14358,3.31985,0.668964,13693.6,41.7784,14249.0,0.468558,0.994689,0.0053721,29224.9,-0.000125735,1.08656,14.1415,11.2968,114.976,89.3969,1.0562,13.9588,12.2819,114.389,139.575,0.586496,-50.1777,0.9610218260930592,12.639370917889861,13.093532209453643,0.9653140738267804,45.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,487.1147224106244
45.625,32.0,32.0,27957.5,0.0126195,44.7744,13.6343,115.209,-0.0454816,34.935,1.1604e-10,0.383694,1.4683,-1.16413,-1.06243,4.13328,-139.575,12159.6,65.7214,15057.9,19924.4,1.26256,2.34717,0.593606,-0.183567,5.01215,0.934277,12270.7,75.8284,15169.1,0.425992,0.989301,0.00912442,28805.1,-0.000113441,0.978254,13.9922,11.2445,114.919,88.7481,1.12328,13.6507,12.4095,114.501,138.942,0.417757,-50.1943,0.8089273589072523,12.543336593586254,13.015312583645466,0.9637368686287044,45.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,1910.014722410624
45.635,22.0,22.0,28720.2,-0.0247902,45.0065,13.9231,115.697,-0.049208,79.4086,41.2793,1.9454,3.18511,1.51518,0.784528,5.64609,22.7519,16448.0,60.9944,11396.2,20526.0,1.80213,3.04184,1.22865,0.641265,5.50282,0.899429,16429.9,59.3468,11378.0,0.56985,0.993718,0.00951682,28831.9,-0.000175909,1.30697,14.3081,11.2004,115.422,88.6168,0.846669,13.7503,12.4515,114.891,138.824,0.531478,-50.2076,1.4440059764457727,12.659243391293177,13.084795009857816,0.9674773950800118,45.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-2249.1852775893767
45.645,13.0,13.0,27342.7,-0.0427901,43.408,13.7941,115.556,-0.0720828,-18.5073,499.671,-1.12937,-0.423132,-1.00957,0.219161,1.44274,-34.8646,15377.5,58.0548,11386.5,19535.6,-0.909842,-0.203599,-0.570502,0.438694,1.66227,2.36805,15405.3,60.5795,11414.2,0.553216,0.993165,0.00968206,27846.8,-0.000493068,1.2304,14.0798,11.3021,115.177,88.5233,0.835813,14.0749,12.4224,114.887,138.798,0.289457,-50.2747,1.3496609486429183,12.614725822624921,13.222860422767836,0.9540088467472745,45.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-1224.5852775893745
45.655,33.0,33.0,30678.5,0.0136528,47.8601,13.8912,115.493,-0.030405,-4.98467,297.73,-0.214354,2.42312,-1.0061,-1.51777,0.607321,-75.5893,16293.3,74.3201,13291.9,21647.5,0.261611,2.89909,-0.0541695,-1.04181,1.08329,1.01721,16353.5,79.7937,13352.1,0.529116,0.991534,0.0108888,30907.3,9.89597e-06,1.30068,14.2522,11.165,115.247,88.8446,0.998611,13.7276,12.3176,114.655,139.075,0.592116,-50.2304,1.2247886100313807,12.614508036384137,13.003502826546393,0.9700853842729106,45.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-2172.7852775893753
45.665,8.0,8.0,27578.1,0.0106226,42.9794,13.9097,115.362,0.0291772,-48.8951,341.47,0.630781,1.11586,1.78875,0.18758,1.71081,-23.4532,13685.9,83.454,12892.9,19507.9,0.778459,1.26354,2.08411,0.335258,1.85849,0.670228,13704.6,85.1523,12911.6,0.493357,0.989243,0.0120029,27778.2,-7.76092e-05,1.0683,14.2287,11.476,115.184,88.7915,0.941636,13.9233,12.5551,114.408,139.042,0.775849,-50.2506,1.0614176399516713,12.778441266445606,13.221513673933101,0.9664885263204746,45.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,476.1147224106244
45.675,24.0,24.0,30704.4,-0.04163,48.3868,13.8812,115.325,0.043369,-99.6223,499.953,1.0207,1.95951,2.3134,1.23991,2.29727,82.9263,18441.8,68.3682,11428.0,22005.6,0.498535,1.43734,1.26907,0.717745,1.77511,0.77727,18375.7,62.3633,11362.0,0.597385,0.994096,0.0100097,30760.2,-0.000230994,1.45757,14.2242,11.3091,114.85,89.0157,0.843453,13.7825,12.4753,114.766,139.289,0.0840529,-50.273,1.6172944904066187,12.683173901669882,13.112620723943785,0.9672493522603206,45.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-4194.985277589376
45.685,37.0,37.0,30850.4,-0.042925,48.3031,14.0061,115.383,-0.0876944,109.363,500.0,-1.09738,-1.01588,-0.161745,0.927799,1.05365,-96.1515,10301.3,85.6051,19637.8,22335.7,-0.491939,-0.410442,1.04914,1.53324,1.65909,0.685801,10377.9,92.5676,19714.4,0.325667,0.98463,0.0085753,31866.6,-9.82739e-05,0.831632,13.8826,11.2607,115.249,89.9018,1.40052,14.1606,-12.577,114.613,139.933,0.63602,-50.0312,0.5264121657265755,12.50311136557617,,,45.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,3802.814722410625
45.695,9.0,9.0,28860.2,-0.0242965,45.3212,13.8929,115.305,-0.0234197,27.516,267.537,-2.14282,-0.983846,3.80997,2.47188,3.86224,-28.6798,15126.5,63.8786,12789.8,20517.9,-1.96223,-0.803257,4.17115,2.65247,4.04283,0.485104,15149.3,65.9554,12812.7,0.520325,0.992439,0.00939348,29115.1,-9.41004e-05,1.21695,14.115,11.1524,114.98,88.479,0.923013,14.1205,12.5387,114.471,138.491,0.509464,-50.0121,1.1823659338000576,12.546558332865631,13.30611563717977,0.9429166764347219,45.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-968.5852775893745
45.705,0.0,0.0,27597.2,0.0152815,42.418,14.1329,115.472,0.0347603,-25.4464,1.09418e-10,-0.881653,1.04149,4.71744,-0.383811,1.38055,36.4266,16415.4,70.6431,10259.1,19544.2,-1.11102,0.812123,4.25871,-0.613179,1.15118,0.0531606,16386.4,68.0054,10230.1,0.595063,0.99279,0.0120974,27537.2,-0.000227937,1.25443,14.602,11.455,115.042,88.8396,0.748856,13.9326,12.6081,114.822,139.337,0.220062,-50.4978,1.6017829737734726,12.933132257887104,13.253815075667836,0.9758044898053949,45.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-2205.6852775893767
