ToTF,label,color,style,linestyle,xs,Gammas_Sat,Gammas_Lin,x,y,yerr
0.306,0.31(1) $T_F$,#1b1044,"{'color': (0.042352941176470635, 0.025098039215686277, 0.10666666666666667), 'mec': (0.042352941176470635, 0.025098039215686277, 0.10666666666666667), 'mfc': (0.16941176470588254, 0.10039215686274511, 0.4266666666666667), 'marker': 'o'}",--,"[0.0, 34.348704545454545, 68.69740909090909, 103.04611363636363, 137.39481818181818, 171.74352272727273, 206.09222727272726, 240.4409318181818, 274.78963636363636, 309.1383409090909, 343.48704545454547, 377.83575, 412.1844545454545, 446.53315909090907, 480.8818636363636, 515.2305681818182, 549.5792727272727, 583.9279772727273, 618.2766818181818, 652.6253863636364, 686.9740909090909, 721.3227954545455, 755.6715, 790.0202045454546, 824.368909090909, 858.7176136363636, 893.0663181818181, 927.4150227272727, 961.7637272727272, 996.1124318181818, 1030.4611363636363, 1064.809840909091, 1099.1585454545454, 1133.5072499999999, 1167.8559545454546, 1202.204659090909, 1236.5533636363637, 1270.902068181818, 1305.2507727272728, 1339.5994772727272, 1373.9481818181819, 1408.2968863636363, 1442.645590909091, 1476.9942954545454, 1511.343, 1545.6917045454545, 1580.0404090909092, 1614.3891136363636, 1648.737818181818, 1683.0865227272727, 1717.4352272727272, 1751.7839318181818, 1786.1326363636363, 1820.481340909091, 1854.8300454545454, 1889.17875, 1923.5274545454545, 1957.8761590909091, 1992.2248636363636, 2026.5735681818182, 2060.9222727272727, 2095.270977272727, 2129.619681818182, 2163.9683863636365, 2198.317090909091, 2232.6657954545453, 2267.0144999999998, 2301.3632045454547, 2335.711909090909, 2370.0606136363635, 2404.409318181818, 2438.758022727273, 2473.1067272727273, 2507.4554318181818, 2541.804136363636, 2576.152840909091, 2610.5015454545455, 2644.85025, 2679.1989545454544, 2713.5476590909093, 2747.8963636363637, 2782.245068181818, 2816.5937727272726, 2850.942477272727, 2885.291181818182, 2919.6398863636364, 2953.988590909091, 2988.3372954545453, 3022.686, 3057.0347045454546, 3091.383409090909, 3125.7321136363635, 3160.0808181818184, 3194.429522727273, 3228.7782272727272, 3263.1269318181817, 3297.475636363636, 3331.824340909091, 3366.1730454545454, 3400.52175]","[0.0, 0.037429842774256955, 0.07310755880854929, 0.10711516683139294, 0.13953084619617548, 0.170429116605978, 0.19988100942530576, 0.22795423097255427, 0.2547133181685968, 0.2802197868993148, 0.30453227343313444, 0.32770666921867475, 0.34979624937238724, 0.3708517951515677, 0.39092171069428816, 0.4100521342946214, 0.4282870444689659, 0.44566836105730445, 0.4622360415918156, 0.47802817315438, 0.49308105993414664, 0.5074293066864476, 0.5211058982849202, 0.534142275549718, 0.5465684075261328, 0.5584128603797813, 0.5697028630667462, 0.5804643699296328, 0.590722120363445, 0.6004996956884445, 0.6098195733607377, 0.6187031786452115, 0.6271709338696118, 0.6352423053729895, 0.6429358482564465, 0.6502692490390543, 0.657259366317011, 0.6639222695195022, 0.6702732758503638, 0.6763269855004699, 0.6820973152117955, 0.6875975302703131, 0.6928402750012712, 0.6978376018369601, 0.7026009990237866, 0.7071414170323557, 0.7114692937312695, 0.7155945783825177, 0.7195267545136204, 0.7232748617191037, 0.7268475164414284, 0.7302529317791424, 0.733498936367795, 0.7365929923770178, 0.7395422126651449, 0.7423533771308086, 0.7450329482991018, 0.7475870861781364, 0.7500216624201532, 0.7523422738197353, 0.7545542551801586, 0.7566626915774551, 0.7586724300503844, 0.7605880907431852, 0.762414077526726, 0.7641545881224676, 0.7658136237525146, 0.7673949983379377, 0.7689023472665143, 0.7703391357500432, 0.7717086667904447, 0.7730140887729595, 0.7742584027039044, 0.7754444691096203, 0.7765750146124735, 0.7776526381990301, 0.7786798171948089, 0.779658912959352, 0.7805921763147025, 0.7814817527197712, 0.7823296872024847, 0.7831379290610573, 0.7839083363451887, 0.7846426801274953, 0.7853426485749905, 0.7860098508299749, 0.7866458207092591, 0.7872520202302219, 0.7878298429718101, 0.788380617278207, 0.7889056093125345, 0.7894060259676074, 0.7898830176404339, 0.7903376808768375, 0.7907710608922833, 0.7911841539747008, 0.791577909774828, 0.7919532334893443, 0.7923109879418065, 0.7926519955661754]","[0.0, 0.0383342429700048, 0.0766684859400096, 0.1150027289100144, 0.1533369718800192, 0.191671214850024, 0.2300054578200288, 0.2683397007900336, 0.3066739437600384, 0.34500818673004324, 0.383342429700048, 0.4216766726700528, 0.4600109156400576, 0.49834515861006246, 0.5366794015800672, 0.5750136445500721, 0.6133478875200769, 0.6516821304900816, 0.6900163734600865, 0.7283506164300914, 0.766684859400096, 0.8050191023701009, 0.8433533453401056, 0.8816875883101105, 0.9200218312801152, 0.95835607425012, 0.9966903172201249, 1.0350245601901296, 1.0733588031601344, 1.1116930461301393, 1.1500272891001442, 1.1883615320701488, 1.2266957750401537, 1.2650300180101584, 1.3033642609801632, 1.3416985039501679, 1.380032746920173, 1.4183669898901776, 1.4567012328601827, 1.4950354758301874, 1.533369718800192, 1.5717039617701967, 1.6100382047402018, 1.6483724477102064, 1.6867066906802113, 1.725040933650216, 1.763375176620221, 1.8017094195902257, 1.8400436625602303, 1.8783779055302354, 1.91671214850024, 1.9550463914702452, 1.9933806344402498, 2.0317148774102542, 2.070049120380259, 2.108383363350264, 2.146717606320269, 2.1850518492902737, 2.2233860922602786, 2.2617203352302835, 2.3000545782002884, 2.338388821170293, 2.3767230641402977, 2.4150573071103025, 2.4533915500803074, 2.491725793050312, 2.5300600360203167, 2.568394278990322, 2.6067285219603265, 2.6450627649303313, 2.6833970079003358, 2.721731250870341, 2.760065493840346, 2.798399736810351, 2.8367339797803552, 2.8750682227503606, 2.9134024657203654, 2.95173670869037, 2.9900709516603747, 3.028405194630379, 3.066739437600384, 3.105073680570389, 3.1434079235403933, 3.181742166510398, 3.2200764094804035, 3.258410652450408, 3.296744895420413, 3.3350791383904173, 3.3734133813604226, 3.4117476243304274, 3.450081867300432, 3.4884161102704367, 3.526750353240442, 3.565084596210447, 3.6034188391804514, 3.6417530821504562, 3.6800873251204607, 3.718421568090466, 3.756755811060471, 3.7950900540304753]","[55.252502918934724, 146.871020035578, 263.3856118310662, 400.89165391911905, 564.3997501165614, 892.728348776713, 1254.3656458516637, 1701.31399702982, 2216.2392837483817, 2776.0559014140545, 3398.846777020205]","[0.06405357953317858, 0.15931651045380263, 0.25569931360062564, 0.34202757205774853, 0.4259440237119745, 0.5439608578215345, 0.650210130718957, 0.7072842119647758, 0.7555833561230797, 0.7799070896673564, 0.7969647029155178]","[0.005410904569001454, 0.002675417613291313, 0.0024738627853979726, 0.015372973300038527, 0.002845215266129793, 0.007692241639407501, 0.01000880633906523, 0.00853737438284885, 0.009591419312398786, 0.0048761912969025, 0.002461691661552051]"
0.384,0.38(1) $T_F$,#812581,"{'color': (0.2023529411764706, 0.05803921568627454, 0.20235294117647057), 'mec': (0.2023529411764706, 0.05803921568627454, 0.20235294117647057), 'mfc': (0.7863737302149776, 0.25519489723600297, 0.7863737302149775), 'marker': 's'}",--,"[0.0, 34.348704545454545, 68.69740909090909, 103.04611363636363, 137.39481818181818, 171.74352272727273, 206.09222727272726, 240.4409318181818, 274.78963636363636, 309.1383409090909, 343.48704545454547, 377.83575, 412.1844545454545, 446.53315909090907, 480.8818636363636, 515.2305681818182, 549.5792727272727, 583.9279772727273, 618.2766818181818, 652.6253863636364, 686.9740909090909, 721.3227954545455, 755.6715, 790.0202045454546, 824.368909090909, 858.7176136363636, 893.0663181818181, 927.4150227272727, 961.7637272727272, 996.1124318181818, 1030.4611363636363, 1064.809840909091, 1099.1585454545454, 1133.5072499999999, 1167.8559545454546, 1202.204659090909, 1236.5533636363637, 1270.902068181818, 1305.2507727272728, 1339.5994772727272, 1373.9481818181819, 1408.2968863636363, 1442.645590909091, 1476.9942954545454, 1511.343, 1545.6917045454545, 1580.0404090909092, 1614.3891136363636, 1648.737818181818, 1683.0865227272727, 1717.4352272727272, 1751.7839318181818, 1786.1326363636363, 1820.481340909091, 1854.8300454545454, 1889.17875, 1923.5274545454545, 1957.8761590909091, 1992.2248636363636, 2026.5735681818182, 2060.9222727272727, 2095.270977272727, 2129.619681818182, 2163.9683863636365, 2198.317090909091, 2232.6657954545453, 2267.0144999999998, 2301.3632045454547, 2335.711909090909, 2370.0606136363635, 2404.409318181818, 2438.758022727273, 2473.1067272727273, 2507.4554318181818, 2541.804136363636, 2576.152840909091, 2610.5015454545455, 2644.85025, 2679.1989545454544, 2713.5476590909093, 2747.8963636363637, 2782.245068181818, 2816.5937727272726, 2850.942477272727, 2885.291181818182, 2919.6398863636364, 2953.988590909091, 2988.3372954545453, 3022.686, 3057.0347045454546, 3091.383409090909, 3125.7321136363635, 3160.0808181818184, 3194.429522727273, 3228.7782272727272, 3263.1269318181817, 3297.475636363636, 3331.824340909091, 3366.1730454545454, 3400.52175]","[0.0, 0.024010388296288775, 0.047125339176244486, 0.06937824685893065, 0.09080126016775676, 0.11142532897595231, 0.13128024891991472, 0.15039470444502928, 0.16879631024614877, 0.1865116511626024, 0.20356632058537003, 0.21998495743190907, 0.23579128174205108, 0.25100812894639446, 0.2656574828566998, 0.27976050742594993, 0.2933375773239577, 0.3064083073726961, 0.3189915808838723, 0.3311055769396896, 0.34276779665620605, 0.35399508846723415, 0.3648036724653095, 0.3752091638348932, 0.38522659541166226, 0.3948704394004796, 0.40415462828341914, 0.41309257494805307, 0.42169719206507855, 0.4299809107432815, 0.43795569848878524, 0.445633076494533, 0.4530241362849797, 0.460139555740041, 0.4669896145214496, 0.4735842089238043, 0.47993286617176817, 0.4860447581840702, 0.4919287148241963, 0.49759323665691185, 0.5030465072290455, 0.5082964048922776, 0.5133505141850105, 0.518216136789769, 0.5229003020819554, 0.5274097772852038, 0.5317510772480026, 0.5359304738557102, 0.5399540050915606, 0.5438274837597511, 0.5475565058832134, 0.5511464587881992, 0.5546025288873624, 0.5579297091725803, 0.5611328064283401, 0.5642164481761104, 0.5671850893597311, 0.5700430187814811, 0.5727943652981197, 0.5754431037858544, 0.5779930608828541, 0.5804479205176001, 0.582811229231067, 0.5850864013004167, 0.5872767236716128, 0.589385360708078, 0.591415358762257, 0.5933696505766882, 0.5952510595209435, 0.5970623036705556, 0.5988059997338284, 0.6004846668322007, 0.6021007301396264, 0.6036565243862282, 0.6051542972312878, 0.6065962125104437, 0.6079843533617891, 0.6093207252353865, 0.6106072587905448, 0.6118458126850479, 0.613038176260361, 0.6141860721266958, 0.6152911586516705, 0.6163550323561553, 0.6173792302207705, 0.6183652319063657, 0.6193144618916887, 0.6202282915313333, 0.6211080410369377, 0.6219549813844979, 0.6227703361505486, 0.6235552832798672, 0.6243109567872533, 0.6250384483958425, 0.6257388091143203, 0.6264130507553172, 0.6270621473971767, 0.6276870367912082, 0.628288621716458, 0.6288677712839568]","[0.0, 0.02446955934704558, 0.04893911869409116, 0.07340867804113674, 0.09787823738818233, 0.12234779673522793, 0.14681735608227348, 0.17128691542931906, 0.19575647477636465, 0.22022603412341027, 0.24469559347045586, 0.2691651528175014, 0.29363471216454695, 0.3181042715115926, 0.34257383085863813, 0.3670433902056838, 0.3915129495527293, 0.4159825088997749, 0.44045206824682054, 0.46492162759386607, 0.4893911869409117, 0.5138607462879573, 0.5383303056350028, 0.5627998649820485, 0.5872694243290939, 0.6117389836761397, 0.6362085430231852, 0.6606781023702307, 0.6851476617172763, 0.7096172210643219, 0.7340867804113675, 0.7585563397584132, 0.7830258991054586, 0.8074954584525041, 0.8319650177995498, 0.8564345771465954, 0.8809041364936411, 0.9053736958406865, 0.9298432551877321, 0.9543128145347778, 0.9787823738818234, 1.0032519332288687, 1.0277214925759146, 1.05219105192296, 1.0766606112700057, 1.101130170617051, 1.125599729964097, 1.1500692893111424, 1.1745388486581878, 1.1990084080052335, 1.2234779673522793, 1.2479475266993247, 1.2724170860463704, 1.296886645393416, 1.3213562047404614, 1.345825764087507, 1.3702953234345525, 1.3947648827815982, 1.4192344421286438, 1.4437040014756897, 1.468173560822735, 1.4926431201697805, 1.5171126795168264, 1.5415822388638718, 1.5660517982109172, 1.5905213575579629, 1.6149909169050083, 1.6394604762520542, 1.6639300355990996, 1.688399594946145, 1.7128691542931909, 1.7373387136402365, 1.7618082729872822, 1.7862778323343276, 1.810747391681373, 1.8352169510284189, 1.8596865103754643, 1.8841560697225097, 1.9086256290695556, 1.9330951884166012, 1.9575647477636469, 1.9820343071106923, 2.0065038664577375, 2.0309734258047833, 2.055442985151829, 2.0799125444988746, 2.10438210384592, 2.1288516631929655, 2.1533212225400113, 2.1777907818870568, 2.202260341234102, 2.226729900581148, 2.251199459928194, 2.2756690192752393, 2.3001385786222848, 2.32460813796933, 2.3490776973163756, 2.3735472566634215, 2.398016816010467, 2.4224863753575123]","[1.4989055515573513, 4.331302298817906, 14.705410008186544, 42.92683005344224, 82.55328870716575, 130.72795880558093, 204.6298140408672, 311.4611463462223, 438.49402064202474, 693.5794052271854, 974.5430172340292, 1321.7865790657954, 1721.8428499214049, 2156.7761386972124, 2640.6354511921395]","[0.00609405975094399, 0.000641871729065766, 0.016935212880761944, 0.03112464746404948, 0.05960988691721075, 0.08756593944661349, 0.13790443430608826, 0.19066568345396986, 0.24225958385844373, 0.3459908029063576, 0.4013687101049974, 0.47409785112480085, 0.5002455996845994, 0.5849645693210465, 0.5428007749350962]","[0.0007225692069740082, 0.00253844151489216, 0.005622143987483872, 0.001954235877268528, 0.005825324509346777, 0.0038553932122182247, 0.004729274759496163, 0.009896428544878117, 0.01970817807834475, 0.005330254077832142, 0.007975071437891596, 0.011692852406284463, 0.019555562803887507, 0.0007431697999532459, 0.015978528982365063]"
0.478,0.48(1) $T_F$,#c03a76,"{'color': (0.3011764705882353, 0.09098039215686271, 0.18509803921568613), 'mec': (0.3011764705882353, 0.09098039215686271, 0.18509803921568613), 'mfc': (0.8999215686274509, 0.6687058823529413, 0.7722352941176469), 'marker': '^'}",--,"[0.0, 34.348704545454545, 68.69740909090909, 103.04611363636363, 137.39481818181818, 171.74352272727273, 206.09222727272726, 240.4409318181818, 274.78963636363636, 309.1383409090909, 343.48704545454547, 377.83575, 412.1844545454545, 446.53315909090907, 480.8818636363636, 515.2305681818182, 549.5792727272727, 583.9279772727273, 618.2766818181818, 652.6253863636364, 686.9740909090909, 721.3227954545455, 755.6715, 790.0202045454546, 824.368909090909, 858.7176136363636, 893.0663181818181, 927.4150227272727, 961.7637272727272, 996.1124318181818, 1030.4611363636363, 1064.809840909091, 1099.1585454545454, 1133.5072499999999, 1167.8559545454546, 1202.204659090909, 1236.5533636363637, 1270.902068181818, 1305.2507727272728, 1339.5994772727272, 1373.9481818181819, 1408.2968863636363, 1442.645590909091, 1476.9942954545454, 1511.343, 1545.6917045454545, 1580.0404090909092, 1614.3891136363636, 1648.737818181818, 1683.0865227272727, 1717.4352272727272, 1751.7839318181818, 1786.1326363636363, 1820.481340909091, 1854.8300454545454, 1889.17875, 1923.5274545454545, 1957.8761590909091, 1992.2248636363636, 2026.5735681818182, 2060.9222727272727, 2095.270977272727, 2129.619681818182, 2163.9683863636365, 2198.317090909091, 2232.6657954545453, 2267.0144999999998, 2301.3632045454547, 2335.711909090909, 2370.0606136363635, 2404.409318181818, 2438.758022727273, 2473.1067272727273, 2507.4554318181818, 2541.804136363636, 2576.152840909091, 2610.5015454545455, 2644.85025, 2679.1989545454544, 2713.5476590909093, 2747.8963636363637, 2782.245068181818, 2816.5937727272726, 2850.942477272727, 2885.291181818182, 2919.6398863636364, 2953.988590909091, 2988.3372954545453, 3022.686, 3057.0347045454546, 3091.383409090909, 3125.7321136363635, 3160.0808181818184, 3194.429522727273, 3228.7782272727272, 3263.1269318181817, 3297.475636363636, 3331.824340909091, 3366.1730454545454, 3400.52175]","[0.0, 0.016814142675218864, 0.032943223113838536, 0.048415152954119564, 0.06325670662443326, 0.07749356767684869, 0.09115037323294105, 0.10425075661873467, 0.11681738826256137, 0.12887201492660827, 0.14043549734004693, 0.151527846298867, 0.16216825729488688, 0.1723751437338676, 0.18216616880021294, 0.19155827602340025, 0.2005677185990359, 0.2092100875152768, 0.21750033853329137, 0.22545281806844938, 0.23308128801702915, 0.24039894957140479, 0.24741846606492604, 0.25415198488602453, 0.26061115849946853, 0.2668071646111445, 0.2727507255112604, 0.2784521266294447, 0.2839212343338512, 0.28916751300507104, 0.29420004141439815, 0.2990275284347924, 0.3036583281117267, 0.30810045412, 0.31236159363153265, 0.31644912061814406, 0.32037010861233123, 0.3241313429481332, 0.3277393325032628, 0.3312003209628262, 0.3345202976241225, 0.3377050077612208, 0.34075996256725155, 0.34369044869161625, 0.3465015373886212, 0.34919809329336626, 0.3517847828400756, 0.35426608233743867, 0.3566462857149358, 0.3589295119535538, 0.3611197122137498, 0.3632206766729993, 0.3652360410847609, 0.3671692930702065, 0.36902377815360776, 0.3708027055518201, 0.3725091537278856, 0.37414607571836334, 0.37571630424360786, 0.37722255660983833, 0.3786674394114811, 0.3800534530419246, 0.38138299602049075, 0.3826583691431121, 0.383881779463897, 0.38505534411447295, 0.3861810939677175, 0.387260977152217, 0.3882968624235355, 0.3892905423981262, 0.3902437366554844, 0.3911580947139074, 0.39203519888501326, 0.3928765670119571, 0.3936836550960834, 0.3944578598165602, 0.3952005209473553, 0.3959129236757373, 0.39659630082631314, 0.39725183499445105, 0.39788066059278165, 0.3984838658143173, 0.399062494515588, 0.3996175480230526, 0.40014998686591013, 0.4006607324383115, 0.40115066859384757, 0.40162064317507173, 0.40207146948070566, 0.40250392767306614, 0.4029187661281484, 0.40331670273070364, 0.4036984261165497, 0.40406459686426727, 0.40441584863834135, 0.40475278928572855, 0.40507600188774595, 0.4053860457691028, 0.4056834574658215, 0.40596875165372165]","[0.0, 0.017166271568152692, 0.034332543136305384, 0.051498814704458065, 0.06866508627261077, 0.08583135784076346, 0.10299762940891613, 0.12016390097706883, 0.13733017254522153, 0.15449644411337424, 0.1716627156815269, 0.18882898724967961, 0.20599525881783226, 0.223161530385985, 0.24032780195413767, 0.25749407352229037, 0.27466034509044307, 0.2918266166585957, 0.3089928882267485, 0.3261591597949011, 0.3433254313630538, 0.36049170293120647, 0.37765797449935923, 0.39482424606751193, 0.4119905176356645, 0.4291567892038172, 0.44632306077197, 0.46348933234012263, 0.48065560390827533, 0.49782187547642803, 0.5149881470445807, 0.5321544186127335, 0.5493206901808861, 0.5664869617490388, 0.5836532333171914, 0.6008195048853442, 0.617985776453497, 0.6351520480216495, 0.6523183195898022, 0.669484591157955, 0.6866508627261076, 0.7038171342942603, 0.7209834058624129, 0.7381496774305657, 0.7553159489987185, 0.772482220566871, 0.7896484921350239, 0.8068147637031764, 0.823981035271329, 0.8411473068394819, 0.8583135784076344, 0.8754798499757872, 0.89264612154394, 0.9098123931120926, 0.9269786646802453, 0.944144936248398, 0.9613112078165507, 0.9784774793847033, 0.9956437509528561, 1.0128100225210088, 1.0299762940891615, 1.0471425656573141, 1.064308837225467, 1.0814751087936196, 1.0986413803617723, 1.1158076519299247, 1.1329739234980776, 1.1501401950662302, 1.1673064666343829, 1.1844727382025357, 1.2016390097706884, 1.2188052813388413, 1.235971552906994, 1.2531378244751465, 1.270304096043299, 1.2874703676114518, 1.3046366391796045, 1.3218029107477571, 1.33896918231591, 1.3561354538840626, 1.3733017254522153, 1.390467997020368, 1.4076342685885206, 1.4248005401566732, 1.4419668117248259, 1.4591330832929787, 1.4762993548611314, 1.493465626429284, 1.510631897997437, 1.5277981695655893, 1.544964441133742, 1.5621307127018949, 1.5792969842700477, 1.5964632558382004, 1.6136295274063528, 1.6307957989745054, 1.647962070542658, 1.6651283421108112, 1.6822946136789638, 1.6994608852471165]","[1.4989055515573513, 4.331302298817906, 14.705410008186544, 42.92683005344224, 82.55328870716575, 130.72795880558093, 204.6298140408672, 311.4611463462223, 438.49402064202474, 693.5794052271854, 974.5430172340292, 1321.7865790657954, 1721.8428499214049, 2156.7761386972124, 2640.6354511921395]","[0.003496886763026902, 0.0023901450279585376, 0.007566309381771816, 0.021330609324960805, 0.03903827867870406, 0.054381683723799, 0.09146979136389503, 0.12900777458507845, 0.1763444050397471, 0.21967088593533493, 0.28418082006271034, 0.31791553412552825, 0.36277906267784044, 0.3718651393593268, 0.3909110147904642]","[0.0005234616220469798, 0.000503747596931397, 0.0024615280903107573, 0.0005249560618843771, 0.0017306025332565582, 0.001780469050400315, 0.000692553698427028, 0.0010500849867100827, 0.006028409954452918, 0.006558855009323033, 0.0065779824750399705, 0.012754593968732714, 0.0019289130710445632, 0.010075773777172786, 0.009197227886719587]"
0.595,0.59(2) $T_F$,#f3655c,"{'color': (0.48945658263305314, 0.06305882352941175, 0.036033613445378254), 'mec': (0.48945658263305314, 0.06305882352941175, 0.036033613445378254), 'mfc': (0.9999999999999999, 1.0, 1.0), 'marker': 'D'}",--,"[0.0, 34.348704545454545, 68.69740909090909, 103.04611363636363, 137.39481818181818, 171.74352272727273, 206.09222727272726, 240.4409318181818, 274.78963636363636, 309.1383409090909, 343.48704545454547, 377.83575, 412.1844545454545, 446.53315909090907, 480.8818636363636, 515.2305681818182, 549.5792727272727, 583.9279772727273, 618.2766818181818, 652.6253863636364, 686.9740909090909, 721.3227954545455, 755.6715, 790.0202045454546, 824.368909090909, 858.7176136363636, 893.0663181818181, 927.4150227272727, 961.7637272727272, 996.1124318181818, 1030.4611363636363, 1064.809840909091, 1099.1585454545454, 1133.5072499999999, 1167.8559545454546, 1202.204659090909, 1236.5533636363637, 1270.902068181818, 1305.2507727272728, 1339.5994772727272, 1373.9481818181819, 1408.2968863636363, 1442.645590909091, 1476.9942954545454, 1511.343, 1545.6917045454545, 1580.0404090909092, 1614.3891136363636, 1648.737818181818, 1683.0865227272727, 1717.4352272727272, 1751.7839318181818, 1786.1326363636363, 1820.481340909091, 1854.8300454545454, 1889.17875, 1923.5274545454545, 1957.8761590909091, 1992.2248636363636, 2026.5735681818182, 2060.9222727272727, 2095.270977272727, 2129.619681818182, 2163.9683863636365, 2198.317090909091, 2232.6657954545453, 2267.0144999999998, 2301.3632045454547, 2335.711909090909, 2370.0606136363635, 2404.409318181818, 2438.758022727273, 2473.1067272727273, 2507.4554318181818, 2541.804136363636, 2576.152840909091, 2610.5015454545455, 2644.85025, 2679.1989545454544, 2713.5476590909093, 2747.8963636363637, 2782.245068181818, 2816.5937727272726, 2850.942477272727, 2885.291181818182, 2919.6398863636364, 2953.988590909091, 2988.3372954545453, 3022.686, 3057.0347045454546, 3091.383409090909, 3125.7321136363635, 3160.0808181818184, 3194.429522727273, 3228.7782272727272, 3263.1269318181817, 3297.475636363636, 3331.824340909091, 3366.1730454545454, 3400.52175]","[0.0, 0.016604136416046078, 0.03261575820367001, 0.04805600910537651, 0.06294527835428668, 0.07730322759862435, 0.09114881686540899, 0.10450032959764011, 0.11737539679803576, 0.1297910203112078, 0.14176359527501786, 0.1533089317707627, 0.1644422757007771, 0.17517832892102517, 0.1855312686552645, 0.19551476621642092, 0.205142005059895, 0.21442569819264126, 0.22337810496100802, 0.2320110472395072, 0.24033592504189238, 0.24836373157515856, 0.25610506775634395, 0.26357015621130286, 0.2707688547739363, 0.277710669503705, 0.28440476723861646, 0.29085998770026056, 0.29708485516688127, 0.3030875897298963, 0.30887611814873117, 0.3144580843183013, 0.319840859362964, 0.32503155137027073, 0.33003701477737213, 0.3348638594224719, 0.3395184592732818, 0.34400696084400345, 0.3483352913119522, 0.3525091663445418, 0.3565340976469639, 0.3604154002405316, 0.3641581994812962, 0.36776743782820687, 0.3712478813697496, 0.37460412611768523, 0.3778406040761963, 0.38096158909445843, 0.3839712025103637, 0.38687341859284935, 0.389672069790018, 0.3923708517899805, 0.3949733284011029, 0.39748293625810416, 0.3999029893602167, 0.4022366834474049, 0.4044871002204182, 0.4066572114102536, 0.40874988270239954, 0.41076787752104477, 0.41271386067824806, 0.41459040189288865, 0.41639997918404353, 0.4181449821432726, 0.41982771509013395, 0.4214504001150943, 0.4230151800138549, 0.4245241211169657, 0.4259792160184664, 0.4273823862071558, 0.4287354846039656, 0.43004029800878824, 0.4312985494599899, 0.43251190050972604, 0.43368195341806126, 0.43481025326879424, 0.4358982900097782, 0.4369475004204346, 0.4379592700090555, 0.43893493484240154, 0.4398757833100115, 0.4407830578255518, 0.44165795646745554, 0.44250163456101366, 0.44331520620401105, 0.4440997457379204, 0.444856289166596, 0.44558583552434333, 0.446289348195168, 0.44696775618494816, 0.44762195534821, 0.44825280957112545, 0.4488611519122958, 0.44944778570282545, 0.4500134856071411, 0.45055899864595494, 0.45108504518272413, 0.4515923198749086, 0.45208149259128316, 0.452553209296516]","[0.0, 0.016907635821856826, 0.03381527164371365, 0.05072290746557048, 0.0676305432874273, 0.08453817910928413, 0.10144581493114097, 0.11835345075299779, 0.1352610865748546, 0.15216872239671142, 0.16907635821856826, 0.1859839940404251, 0.20289162986228193, 0.21979926568413874, 0.23670690150599558, 0.2536145373278524, 0.2705221731497092, 0.28742980897156606, 0.30433744479342284, 0.3212450806152797, 0.3381527164371365, 0.35506035225899335, 0.3719679880808502, 0.388875623902707, 0.40578325972456386, 0.42269089554642064, 0.4395985313682775, 0.4565061671901343, 0.47341380301199115, 0.490321438833848, 0.5072290746557048, 0.5241367104775617, 0.5410443462994184, 0.5579519821212752, 0.5748596179431321, 0.5917672537649888, 0.6086748895868457, 0.6255825254087025, 0.6424901612305594, 0.6593977970524162, 0.676305432874273, 0.6932130686961299, 0.7101207045179867, 0.7270283403398435, 0.7439359761617004, 0.7608436119835572, 0.777751247805414, 0.7946588836272709, 0.8115665194491277, 0.8284741552709846, 0.8453817910928413, 0.8622894269146982, 0.879197062736555, 0.8961046985584119, 0.9130123343802686, 0.9299199702021256, 0.9468276060239823, 0.9637352418458393, 0.980642877667696, 0.9975505134895528, 1.0144581493114095, 1.0313657851332665, 1.0482734209551234, 1.0651810567769802, 1.0820886925988369, 1.0989963284206936, 1.1159039642425503, 1.1328116000644075, 1.1497192358862642, 1.166626871708121, 1.1835345075299777, 1.2004421433518349, 1.2173497791736914, 1.2342574149955483, 1.251165050817405, 1.2680726866392622, 1.2849803224611187, 1.3018879582829757, 1.3187955941048324, 1.3357032299266896, 1.352610865748546, 1.369518501570403, 1.3864261373922597, 1.4033337732141165, 1.4202414090359734, 1.4371490448578303, 1.454056680679687, 1.4709643165015438, 1.4878719523234007, 1.5047795881452577, 1.5216872239671144, 1.5385948597889711, 1.555502495610828, 1.5724101314326848, 1.5893177672545418, 1.6062254030763985, 1.6231330388982554, 1.6400406747201122, 1.6569483105419691, 1.6738559463638258]","[55.252502918934724, 263.3856118310662, 564.3997501165614, 892.728348776713, 1254.3656458516637, 1701.31399702982, 2216.2392837483817, 2776.0559014140545, 3398.846777020205]","[0.028110027003133635, 0.11760312432581296, 0.21275027380962672, 0.28097938953996476, 0.3362365439462163, 0.38858347718008474, 0.42074982828878643, 0.44737297252424857, 0.47092731513434516]","[0.0005356652461939587, 0.0017300392712717436, 0.001012217575192236, 0.00079697408357527, 0.007377611207379624, 0.004445754650736333, 0.00035429272901971084, 0.004771544491815258, 0.008140146487435981]"
