file,detuning,pulse_time,ToTF,EF,df,popt,pcov,popt_l,pcov_l
2024-11-28_P_e_detuning=25.dat,25,0.2,0.616,19.4,"       OmegaR2    cyc  detuning     freq   VVA  cyc.1        ROIsum       fBg  \
0     4.361619  164.0      25.0  47.2477   1.5  164.0  16365.266667 -0.353048   
1    43.227291  157.0      25.0  47.2477   2.0  157.0  14794.400000 -0.242455   
2    68.392895  155.0      25.0  47.2477   2.2  155.0  13594.000000 -0.492337   
3   114.905859  160.0      25.0  47.2477   2.5  160.0  14012.900000 -0.297413   
4   206.062094  158.0      25.0  47.2477   3.0  158.0  13455.500000 -0.393600   
5   441.563204  163.0      25.0  47.2477   4.0  163.0  12691.800000 -0.378899   
6   698.434026  161.0      25.0  47.2477   5.0  161.0  12507.933333 -0.359096   
7   981.364208  156.0      25.0  47.2477   6.0  156.0  12473.600000 -0.459142   
8  1733.894671  162.0      25.0  47.2477   8.0  162.0  12990.400000 -0.450196   
9  2659.118244  159.0      25.0  47.2477  10.0  159.0  11986.233333 -0.526858   

         fA1    fWidth1  ...  em_two2D_cv2  em_two2D_chd  em_two2D_cvd  \
0  29.646300  13.752100  ...      0.221568      0.292240      0.333359   
1  27.327167  13.666667  ...      0.156167      0.039228      0.089658   
2  25.675567  13.670700  ...      0.066839      0.028601      0.218502   
3  26.199533  13.655900  ...      0.116728      0.032732      0.048136   
4  24.995000  13.879800  ...      0.195980      0.132492      0.020896   
5  23.816900  13.946400  ...      0.071448      0.050169      0.038273   
6  23.208367  14.022533  ...      0.175448      0.114731      0.068212   
7  23.337233  14.097033  ...      0.079230      0.032896      0.063947   
8  23.937267  14.346933  ...      0.122992      0.095660      0.103650   
9  22.029600  14.534600  ...      0.103963      0.107145      0.100723   

   em_ToTF  em_pulse_time  em_EF        em_N  em_transfer   em_loss  em_OmegaR  
0      0.0            0.0    0.0  270.666251     0.002012  0.014364        0.0  
1      0.0            0.0    0.0  404.316563     0.009644  0.027858        0.0  
2      0.0            0.0    0.0  209.593056     0.006424  0.013764        0.0  
3      0.0            0.0    0.0  330.606331     0.003430  0.012780        0.0  
4      0.0            0.0    0.0  189.424674     0.004234  0.003887        0.0  
5      0.0            0.0    0.0  327.161247     0.011577  0.015171        0.0  
6      0.0            0.0    0.0  128.307136     0.009327  0.003375        0.0  
7      0.0            0.0    0.0  387.380130     0.010442  0.014160        0.0  
8      0.0            0.0    0.0  267.759639     0.010981  0.003493        0.0  
9      0.0            0.0    0.0  200.772683     0.003613  0.003418        0.0  

[10 rows x 171 columns]",[  0.46657179 130.45147732],"[[1.38275157e-04 7.11181661e-02]
 [7.11181661e-02 9.57078159e+01]]",[  0.57999836 131.58584008],"[[9.97891016e-05 5.79055910e-02]
 [5.79055910e-02 1.84005371e+02]]"
2024-11-28_P_e_detuning=50.dat,50,0.2,0.616,19.4,"       OmegaR2   cyc  detuning     freq   VVA  cyc.1        ROIsum       fBg  \
0     4.351501  59.0      50.0  47.2727   1.5   59.0  16990.633333 -0.184376   
1    43.127021  52.0      50.0  47.2727   2.0   52.0  15642.366667 -0.492939   
2    68.234251  50.0      50.0  47.2727   2.2   50.0  15973.866667 -0.096029   
3   114.639323  55.0      50.0  47.2727   2.5   55.0  15087.833333 -0.187745   
4   205.584113  53.0      50.0  47.2727   3.0   53.0  14085.900000 -0.271581   
5   440.538954  58.0      50.0  47.2727   4.0   58.0  13980.800000 -0.372604   
6   696.813938  56.0      50.0  47.2727   5.0   56.0  13225.633333 -0.581113   
7   979.087834  51.0      50.0  47.2727   6.0   51.0  14120.500000 -0.418816   
8  1729.872727  57.0      50.0  47.2727   8.0   57.0  13191.666667 -0.400568   
9  2652.950151  54.0      50.0  47.2727  10.0   54.0  13035.733333 -0.385134   

         fA1    fWidth1  ...  em_two2D_cv2  em_two2D_chd  em_two2D_cvd  \
0  30.579767  13.628900  ...      0.193914      0.478732      8.183185   
1  28.536167  13.930667  ...      0.168559      0.314010      0.615319   
2  28.590767  13.788700  ...      0.258455      0.042917      0.226991   
3  27.279267  13.841967  ...      0.152379      0.090806      0.072109   
4  25.733900  13.959467  ...      0.327027      0.151259      0.194569   
5  25.085167  14.380667  ...      0.311173      0.125522      0.078580   
6  24.194700  14.597033  ...      0.380476      0.123840      0.113362   
7  24.844033  14.731267  ...      0.126170      0.169354      0.156708   
8  23.393733  14.707867  ...      0.233116      0.055386      0.091184   
9  22.887900  14.908633  ...      0.169346      0.057198      0.177388   

   em_ToTF  em_pulse_time  em_EF        em_N  em_transfer   em_loss  em_OmegaR  
0      0.0            0.0    0.0  357.560596     0.000682  0.020981        0.0  
1      0.0            0.0    0.0  365.141259     0.002702  0.018161        0.0  
2      0.0            0.0    0.0  424.830525     0.004585  0.019961        0.0  
3      0.0            0.0    0.0  123.977879     0.004518  0.006590        0.0  
4      0.0            0.0    0.0  320.932975     0.002291  0.012412        0.0  
5      0.0            0.0    0.0   16.828759     0.007496  0.006131        0.0  
6      0.0            0.0    0.0  255.975532     0.016002  0.019755        0.0  
7      0.0            0.0    0.0  429.004251     0.009728  0.022542        0.0  
8      0.0            0.0    0.0  652.076363     0.008963  0.024095        0.0  
9      0.0            0.0    0.0  319.695902     0.007039  0.014754        0.0  

[10 rows x 171 columns]",[  0.49253275 338.55561504],"[[1.50818919e-04 1.50113681e-01]
 [1.50113681e-01 2.42737492e+02]]",[  0.56156304 279.90895226],"[[4.29360672e-04 4.21021139e-01]
 [4.21021139e-01 5.99711713e+02]]"
2024-11-28_O_e.dat,100,0.2,0.616,19.4,"       OmegaR2   cyc   VVA  cyc.1        ROIsum       fBg        fA1  \
0     4.331302  19.0   1.5   19.0  15874.100000 -0.179254  29.250800   
1    42.926830  12.0   2.0   12.0  16404.500000 -0.303067  30.036300   
2    67.917515  10.0   2.2   10.0  16243.366667 -0.347177  29.489800   
3   114.107180  15.0   2.5   15.0  15855.433333 -0.409750  28.779667   
4   204.629814  13.0   3.0   13.0  16347.366667 -0.308783  28.829733   
5   438.494021  18.0   4.0   18.0  15303.800000 -0.296775  26.981667   
6   693.579405  16.0   5.0   16.0  14864.666667 -0.267582  25.499567   
7   974.543017  11.0   6.0   11.0  13692.166667 -0.226539  23.878933   
8  1721.842850  17.0   8.0   17.0  13384.200000 -0.437851  22.920000   
9  2640.635451  14.0  10.0   14.0  12701.666667 -0.610488  22.057567   

     fWidth1       fCtr1       fA2  ...  em_two2D_cv2  em_two2D_chd  \
0  13.388467  113.297333  0.056771  ...      0.226136      0.100039   
1  13.553967  113.329333  0.333202  ...      0.185658      0.271234   
2   4.754067  113.459667  0.117666  ...      0.396472      1.412035   
3  13.893233  113.388667  0.065441  ...      0.143998      0.367908   
4  14.093133  113.370000  5.176417  ...      0.235211      0.121113   
5   4.995433  113.295333  0.078683  ...      0.226642      0.114684   
6  14.681733  113.409000  0.162492  ...      0.076751      0.222807   
7  14.712867  113.280000 -0.250756  ...      0.362212      0.038563   
8  15.261000  113.195333  0.234893  ...      0.208027      0.121130   
9  15.650500  113.202000  0.074204  ...      0.074272      0.143770   

   em_two2D_cvd  em_ToTF  em_pulse_time  em_EF        em_N  em_transfer  \
0      0.824553      0.0            0.0    0.0   99.354692     0.001798   
1      0.535787      0.0            0.0    0.0  187.210588     0.001799   
2      3.174600      0.0            0.0    0.0  450.907695     0.000922   
3      0.445267      0.0            0.0    0.0  954.360206     0.001963   
4      0.238826      0.0            0.0    0.0  538.137057     0.005666   
5      0.230133      0.0            0.0    0.0  248.110077     0.007415   
6      0.224019      0.0            0.0    0.0  357.573596     0.012320   
7      0.103456      0.0            0.0    0.0  147.919778     0.004875   
8      0.120498      0.0            0.0    0.0  479.219509     0.008085   
9      0.019968      0.0            0.0    0.0  527.964356     0.001287   

    em_loss  em_OmegaR  
0  0.005134        0.0  
1  0.010272        0.0  
2  0.024455        0.0  
3  0.050378        0.0  
4  0.024360        0.0  
5  0.016496        0.0  
6  0.023060        0.0  
7  0.007029        0.0  
8  0.021793        0.0  
9  0.017921        0.0  

[10 rows x 165 columns]",[4.75219093e-01 9.62813939e+02],"[[1.60385355e-05 1.09068659e-01]
 [1.09068659e-01 9.97204812e+02]]",[5.85654885e-01 7.72799928e+02],"[[2.20227218e-03 5.84131626e+00]
 [5.84131626e+00 1.80939148e+04]]"
2024-11-28_P_e_detuning=150.dat,150,0.2,0.616,19.4,"       OmegaR2   cyc  detuning     freq   VVA  cyc.1        ROIsum       fBg  \
0     4.311150  92.0     150.0  47.3727   1.5   92.0  16361.733333 -0.251556   
1    42.727105  85.0     150.0  47.3727   2.0   85.0  16048.566667 -0.446453   
2    67.601516  83.0     150.0  47.3727   2.2   83.0  16440.633333 -0.412790   
3   113.576275  88.0     150.0  47.3727   2.5   88.0  16675.133333 -0.094501   
4   203.677735  86.0     150.0  47.3727   3.0   86.0  16395.266667 -0.236898   
5   436.453845  91.0     150.0  47.3727   4.0   91.0  15352.366667 -0.344007   
6   690.352397  89.0     150.0  47.3727   5.0   89.0  14723.100000 -0.269128   
7   970.008773  84.0     150.0  47.3727   6.0   84.0  14782.100000 -0.393117   
8  1713.831653  90.0     150.0  47.3727   8.0   90.0  14496.133333 -0.460592   
9  2628.349400  87.0     150.0  47.3727  10.0   87.0  13084.400000 -0.457302   

         fA1    fWidth1  ...  em_two2D_cv2  em_two2D_chd  em_two2D_cvd  \
0  29.995967  13.543900  ...      0.490088      2.059925      8.487855   
1  29.419067   4.649667  ...      0.251824      0.095723      0.251851   
2  29.792367  13.826900  ...      0.151129      1.622655      3.882318   
3  29.687800  13.793567  ...      0.392590      0.045884      0.505224   
4  29.099667  14.008733  ...      0.097161      1.449267      3.489306   
5  27.205133  14.226000  ...      0.538497      0.211185      0.343540   
6  25.732633  14.499700  ...      0.154834      0.060988      0.123916   
7  25.597200  14.936467  ...      0.220388      0.037519      0.083655   
8  24.568200  15.488233  ...      0.190752      0.123458      0.081867   
9  21.842167  15.832833  ...      0.456256      0.147341      0.074020   

   em_ToTF  em_pulse_time  em_EF        em_N  em_transfer   em_loss  em_OmegaR  
0      0.0            0.0    0.0  266.004109     0.001150  0.014816        0.0  
1      0.0            0.0    0.0  182.677743     0.001610  0.009540        0.0  
2      0.0            0.0    0.0  556.836832     0.001158  0.030939        0.0  
3      0.0            0.0    0.0  313.133382     0.002284  0.015509        0.0  
4      0.0            0.0    0.0  349.423358     0.001991  0.017774        0.0  
5      0.0            0.0    0.0  476.156641     0.002603  0.026594        0.0  
6      0.0            0.0    0.0  346.373837     0.003168  0.019223        0.0  
7      0.0            0.0    0.0  166.987674     0.010695  0.002102        0.0  
8      0.0            0.0    0.0  180.289816     0.007788  0.002297        0.0  
9      0.0            0.0    0.0  353.516006     0.007422  0.015301        0.0  

[10 rows x 171 columns]",[4.31394954e-01 1.75831200e+03],"[[1.21927274e-04 6.53923318e-01]
 [6.53923318e-01 3.77302636e+03]]",[4.79542624e-01 1.18910728e+03],"[[4.03609653e-04 1.84692574e+00]
 [1.84692574e+00 8.78704718e+03]]"
2025-03-27_C_e_freq=47.4727.dat,250,1.0,0.525,18.9,"       OmegaR2   cyc   VVA     freq  cyc.1      ROIsum       fBg        fA1  \
0    54.483083  22.0   2.0  47.4727   22.0  11476.5250 -0.051261  21.676275   
1   259.717831  28.0   3.0  47.4727   28.0  11066.7000 -0.205670  20.546550   
2   556.540193  19.0   4.0  47.4727   19.0   9438.9550 -0.183557  17.362825   
3   880.296646  29.0   5.0  47.4727   29.0   8478.1725 -0.337942  15.312200   
4  1236.897957  25.0   6.0  47.4727   25.0   7564.3950 -0.336271  13.621625   
5  1677.622322  20.0   7.0  47.4727   20.0   7495.9800 -0.282546  13.452825   
6  2737.397892  23.0   9.0  47.4727   23.0   6351.5950 -0.525945  11.694800   
7  3351.516083  21.0  10.0  47.4727   21.0   5931.0675 -0.280184  10.802750   

     fWidth1      fCtr1  ...  em_two2D_cv2  em_two2D_chd  em_two2D_cvd  \
0  12.769250  88.943750  ...      0.235739      0.262669      0.338520   
1  13.434625  88.915650  ...      0.089080      0.242059      0.162466   
2  14.025150  88.901000  ...      0.527548      0.167595      0.157114   
3  15.016325  88.724150  ...      0.281348      0.227237      0.215877   
4  15.511350  88.820050  ...      0.492555      0.212740      0.111130   
5  15.783525  88.673850  ...      0.433188      0.101740      0.212331   
6   8.451700  88.745625  ...      0.490404      0.192724      0.310481   
7  16.507325  88.633350  ...      0.581449      0.083572      0.194636   

   em_ToTF  em_pulse_time  em_EF        em_N  em_transfer   em_loss  em_OmegaR  
0      0.0            0.0    0.0  275.958798     0.002377  0.022975        0.0  
1      0.0            0.0    0.0  223.815211     0.000544  0.018775        0.0  
2      0.0            0.0    0.0  337.779989     0.003240  0.027014        0.0  
3      0.0            0.0    0.0  297.135787     0.004267  0.021406        0.0  
4      0.0            0.0    0.0  187.411046     0.003689  0.015286        0.0  
5      0.0            0.0    0.0  153.400304     0.001874  0.010664        0.0  
6      0.0            0.0    0.0  181.544963     0.006649  0.014301        0.0  
7      0.0            0.0    0.0  159.999580     0.007188  0.010749        0.0  

[8 rows x 177 columns]",[4.00814525e-01 1.18700881e+03],"[[1.37022638e-04 5.82419143e-01]
 [5.82419143e-01 2.82799593e+03]]",[6.86768193e-01 1.20012007e+03],"[[6.31472357e-04 2.67463669e+00]
 [2.67463669e+00 1.41192150e+04]]"
2025-03-27_C_e_freq=47.6227.dat,400,1.0,0.525,18.9,"       OmegaR2   cyc   VVA     freq  cyc.1      ROIsum       fBg        fA1  \
0    53.719059  72.5   2.0  47.6227   72.5  10523.2850 -0.275483  20.465900   
1   256.075768  74.5   3.0  47.6227   74.5  10334.2950 -0.298108  19.687425   
2   548.735744  79.5   4.0  47.6227   79.5   9700.8600 -0.335605  18.545275   
3   867.952111  76.5   5.0  47.6227   76.5   8764.5925 -0.247438  16.389200   
4  1219.552747  75.5   6.0  47.6227   75.5   7939.6775 -0.173670  14.737475   
5  1654.096766  67.5   7.0  47.6227   67.5   7679.5950 -0.175260  14.017500   
6  2154.731130  77.5   8.0  47.6227   77.5   7081.7400 -0.341855  12.985400   
7  2699.010939  78.5   9.0  47.6227   78.5   6148.5525 -0.162131  11.282325   
8  3304.517256  69.5  10.0  47.6227   69.5   6069.4025 -0.189509  11.087525   

     fWidth1      fCtr1  ...  em_two2D_cv2  em_two2D_chd  em_two2D_cvd  \
0  12.886675  88.952750  ...      0.299578      8.661526      5.379263   
1  13.276525  88.971275  ...      0.406680      0.381660      0.674234   
2  13.414675  88.833125  ...      0.316426      0.472739      0.649521   
3   6.798600  88.810075  ...      0.086309      0.285216      0.736128   
4  14.024625  88.826125  ...      0.553726      1.065072      1.047556   
5  14.188325  88.757925  ...      0.192982      0.516550      0.402307   
6  14.899775  88.633250  ...      0.211308      0.639721      1.071465   
7  14.802375  88.733875  ...      0.230014      0.509059      0.206085   
8  14.900375  88.788975  ...      0.551586      0.514786      0.278627   

   em_ToTF  em_pulse_time  em_EF        em_N  em_transfer   em_loss  em_OmegaR  
0      0.0            0.0    0.0  307.471544     0.003995  0.027597        0.0  
1      0.0            0.0    0.0  275.931051     0.002662  0.026158        0.0  
2      0.0            0.0    0.0   84.697215     0.001904  0.007035        0.0  
3      0.0            0.0    0.0  231.849386     0.000446  0.019916        0.0  
4      0.0            0.0    0.0  102.067629     0.005163  0.008099        0.0  
5      0.0            0.0    0.0  271.939457     0.001995  0.021468        0.0  
6      0.0            0.0    0.0  177.976887     0.002603  0.014095        0.0  
7      0.0            0.0    0.0  129.729663     0.001051  0.010157        0.0  
8      0.0            0.0    0.0   73.474442     0.003135  0.004712        0.0  

[9 rows x 177 columns]",[1.52279803e-01 3.17400603e+03],"[[1.17832923e-04 3.23976063e+00]
 [3.23976063e+00 9.12944570e+04]]",[5.62199550e-01 1.43080886e+03],"[[1.96681244e-04 1.21865888e+00]
 [1.21865888e+00 9.11698530e+03]]"
2025-03-27_C_e_freq=47.8227.dat,600,1.0,0.525,18.9,"       OmegaR2    cyc   VVA     freq  cyc.1      ROIsum       fBg        fA1  \
0   251.259689  126.0   3.0  47.8227  126.0  10771.5750 -0.254065  20.754975   
1   538.415536  124.0   4.0  47.8227  124.0  10566.0750 -0.211773  20.119450   
2   851.628323  119.0   5.0  47.8227  119.0  10235.1850 -0.233618  19.433750   
3  1196.616320  127.0   6.0  47.8227  127.0   8723.3725 -0.097618  16.584975   
4  1622.987763  118.0   7.0  47.8227  118.0   8266.7300 -0.230499  15.787375   
5  2114.206574  128.0   8.0  47.8227  128.0   7897.0625 -0.236497  15.110625   
6  2648.249979  129.0   9.0  47.8227  129.0   7938.6100 -0.237666  14.809675   
7  3242.368391  120.0  10.0  47.8227  120.0   7305.3150 -0.212580  13.418300   

     fWidth1      fCtr1  ...  em_two2D_cv2  em_two2D_chd  em_two2D_cvd  \
0  12.872425  88.797650  ...      0.230534      7.143278      8.644225   
1   6.451300  88.911375  ...      0.122273      4.703422      3.583557   
2  13.165350  88.736475  ...      0.231633      7.954396      3.598433   
3  13.194125  88.826550  ...      0.291650      0.411629      0.799801   
4  13.350950  88.817825  ...      0.291107      0.794722      1.306503   
5  13.491925  88.779775  ...      0.649319      0.285345      0.937566   
6  13.868975  88.717350  ...      0.151356      0.465492      1.260758   
7  14.096725  88.762875  ...      0.182084      0.809297      1.072722   

   em_ToTF  em_pulse_time  em_EF        em_N  em_transfer   em_loss  em_OmegaR  
0      0.0            0.0    0.0  143.626518     0.003477  0.010989        0.0  
1      0.0            0.0    0.0  153.173535     0.001468  0.014483        0.0  
2      0.0            0.0    0.0  150.804599     0.001674  0.013281        0.0  
3      0.0            0.0    0.0  223.324229     0.002044  0.021698        0.0  
4      0.0            0.0    0.0  228.938348     0.002521  0.020019        0.0  
5      0.0            0.0    0.0  127.687236     0.002572  0.011446        0.0  
6      0.0            0.0    0.0  163.405329     0.001287  0.014428        0.0  
7      0.0            0.0    0.0  237.262531     0.003831  0.021639        0.0  

[8 rows x 177 columns]",[8.19703854e-03 3.33115149e+02],"[[2.22190857e-06 2.80386028e-01]
 [2.80386028e-01 8.96076264e+04]]",[5.49874925e-01 3.01451132e+03],"[[3.63916220e-02 2.89143257e+02]
 [2.89143257e+02 2.34021981e+06]]"
