x,y
-6.030150753769078165e+00,4.086421948942152265e-07
-6.024117586431640525e+00,4.149349942412290352e-07
-6.018084419094202886e+00,4.213155696034834302e-07
-6.012051251756764358e+00,4.278752267756616177e-07
-6.006018084419326719e+00,4.345795845951369863e-07
-5.999984917081889080e+00,4.414313651160222101e-07
-5.993951749744451440e+00,4.484333316869390738e-07
-5.987918582407013801e+00,4.555882906807445601e-07
-5.981885415069576162e+00,4.628990931836199491e-07
-5.975852247732137634e+00,4.703686366385367646e-07
-5.969819080394699995e+00,4.779998664412389000e-07
-5.963785913057262356e+00,4.857957774893183369e-07
-5.957752745719824716e+00,4.937594156867615993e-07
-5.951719578382387077e+00,5.018938794076331685e-07
-5.945686411044949438e+00,5.102023209234316672e-07
-5.939653243707510910e+00,5.186879477991297518e-07
-5.933620076370073271e+00,5.273540242631674254e-07
-5.927586909032635631e+00,5.362038725566936778e-07
-5.921553741695197992e+00,5.452408742672084262e-07
-5.915520574357760353e+00,5.544684716515605337e-07
-5.909487407020321825e+00,5.638901689529426940e-07
-5.903454239682884186e+00,5.735095337161987080e-07
-5.897421072345446547e+00,5.833301981054223028e-07
-5.891387905008008907e+00,5.933558602274371124e-07
-5.885354737670571268e+00,6.035902854644434598e-07
-5.879321570333133629e+00,6.140373078187755938e-07
-5.873288402995695101e+00,6.247008312724060860e-07
-5.867255235658257462e+00,6.355848311635522475e-07
-5.861222068320819822e+00,6.466933555825214157e-07
-5.855188900983382183e+00,6.580305267886450330e-07
-5.849155733645944544e+00,6.696005426500041580e-07
-5.843122566308506904e+00,6.814076781074484117e-07
-5.837089398971068377e+00,6.934562866642610690e-07
-5.831056231633630738e+00,7.057508019026672596e-07
-5.825023064296193098e+00,7.182957390283322675e-07
-5.818989896958755459e+00,7.310956964437889695e-07
-5.812956729621317820e+00,7.441553573517645840e-07
-5.806923562283879292e+00,7.574295427125791258e-07
-5.800890394946441653e+00,7.665762300611710869e-07
-5.794857227609004013e+00,7.803928102892746069e-07
-5.788824060271566374e+00,7.945236320030013982e-07
-5.782790892934128735e+00,8.134530009863006204e-07
-5.776757725596691095e+00,8.281696914540926965e-07
-5.770724558259252568e+00,8.431812100279064060e-07
-5.764691390921814929e+00,8.584929763199121173e-07
-5.758658223584377289e+00,8.741105105354313707e-07
-5.752625056246939650e+00,8.900394354201726619e-07
-5.746591888909502011e+00,9.062854782448442492e-07
-5.740558721572064371e+00,9.228544728277586112e-07
-5.734525554234625844e+00,9.397523615960528192e-07
-5.728492386897188204e+00,9.569851976861245229e-07
-5.722459219559750565e+00,9.745591470839823529e-07
-5.716426052222312926e+00,9.924804908060790974e-07
-5.710392884884875286e+00,1.010755627121347633e-06
-5.704359717547436759e+00,1.029391073815087903e-06
-5.698326550209999120e+00,1.048393470495367546e-06
-5.692293382872561480e+00,1.067769580942706110e-06
-5.686260215535123841e+00,1.087526295503670095e-06
-5.680227048197686202e+00,1.107670633529183501e-06
-5.674193880860247674e+00,1.128209745858269836e-06
-5.668160713522810035e+00,1.149150917347996162e-06
-5.662127546185372395e+00,1.170501569450447390e-06
-5.656094378847934756e+00,1.192269262837481477e-06
-5.650061211510497117e+00,1.214461700074139056e-06
-5.644028044173059477e+00,1.237086728341558530e-06
-5.637994876835620950e+00,1.260152342210260831e-06
-5.631961709498183311e+00,1.283666686464694294e-06
-5.625928542160745671e+00,1.307638058980018997e-06
-5.619895374823308032e+00,1.332074913652008770e-06
-5.613862207485870393e+00,1.356985863381122638e-06
-5.607829040148432753e+00,1.382379683111688900e-06
-5.601795872810994226e+00,1.408265312927302539e-06
-5.595762705473556586e+00,1.434651861203458558e-06
-5.589729538136118947e+00,1.461548607818565372e-06
-5.583696370798681308e+00,1.488965007424446163e-06
-5.577663203461243668e+00,1.516910692777515753e-06
-5.571630036123805141e+00,1.545395478131871558e-06
-5.565596868786367502e+00,1.574429362695507765e-06
-5.559563701448929862e+00,1.603220931792385102e-06
-5.553530534111492223e+00,1.633353096562481340e-06
-5.547497366774054584e+00,1.664065585441641996e-06
-5.541464199436616944e+00,1.695369188939619934e-06
