cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,9,0,9095.73,-0.389638,18.9835,12.7352,93.1161,3.39905,-1537.75,5.34722,-4.39881,0.447375,-5.57293,-4.2478,5.07857,-232.405,997.481,32.9898,10044,178023,-2.93542,1.91076,-2.64615,-2.78441,6.54195,31.5073,1323.45,57.1357,10370,0.134677,0.929756,0.0100475,9826.85 
1,2.8,1,7706.92,-0.056748,17.8895,11.778,93.4816,-0.00155155,29.1726,489.524,-1.37965,1.52674,0.0233009,-3.81997,-1.31775,-293.722,4059.5,48.3111,5818.03,6860.51,0.469845,3.37623,3.72228,-1.97048,0.531742,0.392738,4471.48,78.8277,6230,0.466747,0.970073,0.0227771,9580.08 
2,1.35,2,9707.76,-0.326022,20.2767,12.2229,93.0677,-0.594065,1278.42,93.104,-3.79745,-1.32006,-6.77209,-3.67168,-2.1573,-228.568,38.6955,49.5875,11320.2,32791.1,-2.35822,0.119165,-3.89364,-2.23245,-0.718069,0.571337,359.284,73.3347,11640.8,0.036274,0.736812,0.0114718,9904.71 
3,1.2,3,9005.89,-0.321576,19.2221,12.074,93.0868,0.0640936,-17.5614,464.969,-7.21645,-4.4587,-8.5383,-8.98552,-1.43903,-164.939,-58.3692,30.8411,10745.8,7591.9,-6.17787,-3.42012,-6.46115,-7.94694,-0.400451,0.73527,172.974,47.9776,10977.1,0.0188544,0.673221,0.00798698,9174.2 
4,1.4,4,10173.9,-0.323615,21.0083,12.2662,92.7223,-0.563186,1425.85,95.5367,-2.94536,0.643291,2.10483,-7.82477,3.16899,-194.313,67.4518,34.5403,11763.9,34529.6,-1.72182,1.86683,4.55191,-6.60123,4.39253,-0.829393,339.995,54.7287,12036.5,0.0333005,0.780216,0.00830631,10209.9 
5,1.45,5,9762.26,-0.326141,20.2673,-12.2876,92.7741,0.116258,393.002,477.412,-5.42133,-2.95464,-6.01425,-2.68747,-4.08162,-202.412,139.674,23.0806,11167.1,9594.3,-4.14679,-1.68011,-3.46518,-1.41294,-2.80709,0.74355,423.576,44.1104,11451,0.043163,0.845851,0.00704595,9813.42 
6,8,6,7989.06,-0.452062,18.0973,12.4217,93.1935,0.824886,-142.332,398.945,-0.292604,-1.25023,0.231935,-4.673,-4.50447,-318.043,2060.21,36.8031,8150.18,11140,1.71003,0.752402,4.2372,-2.67037,-2.50183,-1.77408,2506.29,69.8466,8596.26,0.262295,0.953498,0.0147468,9555.23 
7,2,7,9337.1,-0.276557,20.1326,12.2504,93.0371,0.0848324,219.882,500,2.32477,3.29306,1.07157,-3.7941,-1.97654,-228.315,1355.94,50.7908,10006.5,8635.94,3.76241,4.7307,3.94685,-2.35646,-0.538903,0.586483,1676.17,74.5119,10326.8,0.165235,0.927821,0.0131172,10144.1 
8,1.3,8,9213.12,-0.032205,19.4134,11.803,92.6834,-0.00206363,4.95469,500,-1.61638,-1.27043,-2.05227,-2.21684,-1.88242,-256.366,27.5353,42.4154,10767.9,7459.51,-0.00211171,0.343838,1.17626,-0.602568,-0.268157,-0.817284,387.113,69.0508,11127.5,0.0406989,0.762106,0.0113019,9511.64 
9,1.75,9,8907.75,-0.335582,19.3107,11.9905,92.8992,-0.677499,117.602,165.525,1.42395,-2.0887,-6.39197,0.453441,1.02629,-237.687,453.083,24.4355,10127.1,10131.3,2.9206,-0.592047,-3.39867,1.95009,2.52294,1.99875,786.462,49.1302,10460.5,0.0839873,0.901451,0.00857768,9364.06 
