VVA,cyc,time,buffer,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,e_VVA,e_cyc,e_time,e_buffer,e_cyc.1,e_ROIsum,e_fBg,e_fA1,e_fWidth1,e_fCtr1,e_fA2,e_fWidth2,e_fCtr2,e_box1,e_box2,e_box3,e_box4,e_box5,e_box6,e_box7,e_box8,e_box9,e_Nfit,e_BZ-2,e_BZ-1,e_BZ0,e_BZ1,e_BZ2,e_Excited,e_c5,e_c7,e_c9,e_fraction95,e_fraction75,e_fraction97,e_sum95,e_ODmean,e_refmean,e_two2D_bg,e_two2D_a1,e_two2D_sh1,e_two2D_sv1,e_two2D_ch1,e_two2D_cv1,e_two2D_a2,e_two2D_sh2,e_two2D_sv2,e_two2D_ch2,e_two2D_cv2,e_two2D_chd,e_two2D_cvd,em_VVA,em_cyc,em_time,em_buffer,em_cyc.1,em_ROIsum,em_fBg,em_fA1,em_fWidth1,em_fCtr1,em_fA2,em_fWidth2,em_fCtr2,em_box1,em_box2,em_box3,em_box4,em_box5,em_box6,em_box7,em_box8,em_box9,em_Nfit,em_BZ-2,em_BZ-1,em_BZ0,em_BZ1,em_BZ2,em_Excited,em_c5,em_c7,em_c9,em_fraction95,em_fraction75,em_fraction97,em_sum95,em_ODmean,em_refmean,em_two2D_bg,em_two2D_a1,em_two2D_sh1,em_two2D_sv1,em_two2D_ch1,em_two2D_cv1,em_two2D_a2,em_two2D_sh2,em_two2D_sv2,em_two2D_ch2,em_two2D_cv2,em_two2D_chd,em_two2D_cvd,file,Vpp,OmegaR,sat_correction,alpha_b,em_alpha_b,Gamma_b,em_Gamma_b,scaled_Gamma_b,em_scaled_Gamma_b,spectral_weight,em_spectral_weight,Id,em_Id,Id2,em_Id2,scaledtime
3.5,45,0.02,21,45,24172.6545454545,-0.309772767272727,45.5901,12.9981545454546,83.5290272727273,0.528596078181818,-77.3746209090909,210.287464988152,0.365542727272727,0.631233545454545,-1.17385454545455,-1.479908,-1.19294563636364,6.78916,9983.02363636364,83.4879272727273,15828.4545454545,39719.9363636364,0.3227946,0.588482336363636,-1.25935272727273,-1.5226571,-1.23569518181818,0.566871109090909,9974.37909090909,83.3115636363636,14396.0428181818,0.409321545454546,0.985583454545455,0.00962395727272727,24370.4272727273,0.0247600363636364,962.029818181818,0.0269863818181818,-0.00554382772727273,-0.3274863,-7.42513727272727,104.434090909091,123.769454545454,-268149.018181818,125.145225454545,50.3878818181818,95.4583363636364,379.428545454545,8.97587909090909,-255.659090909091,3.5,26.5329983228432,0,0,26.5329983228432,646.419794504525,0.293338027640835,1.13015173406052,0.178049893926597,0.174810755337928,0.891182537237884,726.705998866452,235.782978051122,0.968727015389691,0.816610884081563,2.92707367990409,1.86790517235581,2.93058809745922,24.2806709487362,348.845978198767,5.75436089780453,548.016483992291,55178.5551114067,0.878693294572276,0.879984903157233,3.03552853219366,1.87242770973,2.97825568019627,0.619982503685685,337.673095773251,5.81158011185817,481.158131706369,0.0112884251901108,0.00104608234509873,0.000823372011002207,604.711542954009,0.000662095658153303,28.0966846044802,0.00314808236481137,0.054932853729826,0.434749119171218,17.9022203669322,0.303841884718173,8.26029630659381,176181.538562239,166.44684454083,54.3215082998589,10.5640815148571,203.685649954219,10.4105311357639,199.194956308866,3.5,8,0,0,8,194.902901402741,0.0884447431297773,0.340753568913479,0.0536840629197365,0.0527074258885933,0.268701645066817,219.110102830951,71.0912427407431,0.29208218493895,0.246217445656268,0.882545920906065,0.56319460006076,0.88360555766852,7.32089774500368,105.181019937255,1.73500509148275,165.233186939294,16636.9603434985,0.264935996717952,0.26532543135907,0.915246289245877,0.564558196385355,0.89797787463234,0.186931758300959,101.812269134329,1.75225733364775,145.074635245312,0.0034035882572358,0.000315405694409778,0.000248256002124972,182.327390397757,0.000199629352128902,8.47146915327419,0.000949182546655823,0.0165628785895734,0.131081791475312,5.39772253376115,0.0916117752004183,2.49057304601184,53120.7325816797,50.1856118982316,16.3785510069826,3.18519042177366,61.4135341888923,3.13889324051284,60.059539109795,2025-04-23_C_e.dat,1.76,276.164250630513,1.91832218998371,0.15504382669168,0.0100907363143177,7.75219133458398,0.504536815715885,0.00325266655583585,0.000211693694832552,0.010164582986987,0.000661542796351724,0.020329165973974,0.00132308559270345,0.020329165973974,0.0403629452572708,2.01061929829747
5,44,0.01,11,44,25906.825,-0.497877541666667,48.8720416666667,13.0193916666667,83.5848666666667,0.802077576666667,-410.549423333333,253.410236671233,0.8980375,0.492303358333333,-3.117095,-1.82634975,-1.94337541666667,-2.03875416666667,10829.475,88.179,16740.5416666667,74442.45,0.910874583333333,0.505141333333333,-3.09141841666667,-1.8135125,-1.93053683333333,-0.319513333333333,10832.0583333333,88.231925,15236.24375,0.415450916666667,0.985917333333333,0.00962994916666667,26068.3,0.026536375,977.123583333333,0.0281841333333333,-0.0712161066666667,-0.359006343333333,-15.8755230833333,104.603,118.199416666667,-733761.708333333,103.751858333333,38.5065666666667,95.7510666666667,334.104833333333,8.85193166666667,-215.905416666667,5,28.8444102037119,0,0,28.8444102037119,791.909797577982,0.285471836439618,1.03376107971051,0.178639532723066,0.13613900872626,1.24545238299318,1202.01330508461,208.723966268424,1.36588514010063,1.74276440627196,2.22825445739827,1.48275849386412,1.05189146764608,20.3041058688745,477.14837434111,8.2460143368561,509.837347428897,137582.161290696,1.40296309671938,1.73192716987986,2.26705737099509,1.47954838848539,1.02095708418851,1.63312205138709,470.569190078904,8.3887155492174,458.712630312888,0.00979356694661751,0.0015169865064021,0.00104655569858689,792.261620012894,0.000811151679712248,25.0116867137175,0.00303119230016937,0.13095937646013,0.640025445062488,9.71958398533775,0.592822831114748,5.22110158105518,734091.428827529,179.240006720313,48.6251199442565,18.4671014506305,179.020019986508,18.2065639254083,182.9443901018,5,8.32666399786453,0,0,8.32666399786453,228.604667402775,0.0824086208072352,0.298421118824311,0.0515687911527855,0.0392999466676574,0.359531134291988,346.991352630054,60.2534190557006,0.394297076659605,0.503092749547607,0.643241655400938,0.428035507787828,0.303654911001868,5.86129049452467,137.740871184616,2.38041929856269,147.177364890499,39716.5489284369,0.405000560777024,0.499964308873482,0.654443091706171,0.42710883018556,0.294724923693645,0.471441727993926,135.8416242822,2.42161359024793,132.418930295914,0.00282715925647812,0.000437916283914141,0.000302114607150539,228.706229791527,0.000234159320317742,7.22025202852568,0.000875029845234153,0.0378047156260808,0.184759431497519,2.80580221517296,0.171133210562928,1.5072022016443,211913.942021685,51.7421330647615,14.0368630445972,5.33099299683682,51.6786283647713,5.25578229167631,52.8114964360032,2025-04-23_C_e.dat,2.32,364.03469401295,1.35643158759733,0.0607386980207197,0.00895984460595881,6.07386980207197,0.895984460595881,0.00146666154507445,0.000216353987846755,0.00916663465671529,0.00135221242404222,0.0183332693134306,0.00270442484808443,0.0183332693134306,0.0358393784238352,1.00530964914873
5.6,47,0.007,8,47,26208.925,-0.283456358333333,49.6846916666667,12.831975,83.564875,0.435970910833333,-121.250991666667,189.402312632841,0.30711975,0.864405741666667,-3.26389091666667,-2.04189266666667,-2.62628625,-4.81842991666667,11058.6583333333,95.674025,16796.3416666667,28433.5916666667,0.337459633333334,0.894745416666667,-3.203211,-2.01155166666667,-2.59594616666667,0.62468735,11064.8,95.7992,15290.2598333333,0.419868,0.985087416666667,0.0103955966666667,26355.05,0.0268458,971.130583333333,0.02798805,-0.0937892,-0.543524086666667,-19.2701416666667,104.750333333333,121.545083333333,-656449.741666667,74.7278783333333,29.29585,90.9410083333333,299.701833333333,13.8093833333333,-178.15675,5.6,28.8444102037119,0,0,28.8444102037119,1029.31732815758,0.31902677843703,1.61354290331349,0.129442350277853,0.207734989064959,0.57114885349626,354.681991480364,221.676824631374,1.42741331631498,1.80078500351608,2.34592495699304,1.56207889296268,1.88325340799943,32.7935211206678,395.071117782686,8.93407246262867,642.179002881925,19145.8632848626,1.31013461388381,1.76682860358597,2.19489462968814,1.52219509535194,1.79497411114022,0.619889162610291,393.455916440227,9.38618044477188,569.797667228678,0.00706876877539505,0.00119398198999157,0.000958196076312466,888.507005651,0.00105431955221452,28.7704039579133,0.00284006415788607,0.180794725298359,0.588804967844128,1.58786254354619,0.350557045891596,2.2376002347618,749547.935660316,159.773438567427,40.8167516623996,22.9316543471111,150.856157736033,22.8691614598848,152.057246654688,5.6,8.32666399786453,0,0,8.32666399786453,297.138318246662,0.0920950982046592,0.465789714788527,0.0373667878887281,0.059967925928379,0.164876472156706,102.38787162895,63.9925871870126,0.412058731209656,0.519841853266326,0.677210202709297,0.450933334673718,0.543648431030376,9.46667412334663,114.04720810044,2.57904457062914,185.381110090903,5526.93466069161,0.378203286000233,0.510039484946144,0.633611502646655,0.439419874030287,0.518164393127606,0.178946587450392,113.580939635508,2.70955690322572,164.486418279049,0.00204057777765678,0.000344672911664599,0.000276607381297723,256.489879444737,0.000304355838641468,8.30530023489777,0.000819855903035664,0.052190941659536,0.169973353342498,0.458376433476258,0.101197102405916,0.645939548939246,216375.851212006,46.122618883128,11.7827812798662,6.61979840513402,43.5484216389056,6.60175826250274,43.8951461441586,2025-04-23_C_e.dat,2.72,426.799296428975,1.23257467060862,0.0431367041252264,0.00721929495143565,6.16238630360377,1.03132785020509,0.00108255883382066,0.000181175444024319,0.00966570387339874,0.00161763789307427,0.0193314077467975,0.00323527578614854,0.0193314077467975,0.0288771798057426,0.703716754404114
7,45,0.005,6,45,26560.7,-0.344979358333333,50.3773916666667,12.8575,83.4964416666667,0.255605416666667,89.2496583333333,217.388584570252,0.29999722275,0.53095275,-3.27758983333333,-1.51682216666667,-2.92571766666667,-4.90648833333333,11201.875,92.77685,17063.7,24254.0666666667,0.330891833333333,0.561847166666667,-3.2157991925,-1.485927,-2.89482266666667,0.680976333333333,11208.0916666667,92.9043083333333,15533.6393333333,0.419088166666667,0.985705333333333,0.00993440416666667,26741.7583333333,0.027206125,953.501416666667,0.0285255583333333,-0.0398432108333333,-0.0583947166666667,-18.5263841666667,105.896416666667,121.213083333333,-1200096.46666667,88.0608383333333,29.9851666666667,84.2224416666667,302.100083333333,21.6741875,-180.886916666667,7,28.8444102037119,0,0,28.8444102037119,516.477082128178,0.290976029435314,0.894795093311959,0.176855971189707,0.228416933213771,0.424645724947274,304.772297271006,247.584425538267,1.25785539566286,1.32572755882628,1.96492034010847,1.27276356606036,1.26532153326693,32.2060566201669,355.514234787249,8.90098918123966,416.431657603675,4783.46772660955,1.25991324511389,1.33154493154182,2.22876662472495,1.34757962725837,1.26370521647397,0.511935939948338,377.694305101441,9.41484458757053,367.316001117773,0.0102360950991473,0.00133507795709281,0.00106244520136299,516.354699193091,0.000529018953303703,32.0229993355865,0.00226270454965184,0.0505442231494148,2.0183000582905,5.1202534475719,4.03473399953079,5.07071213320958,2673482.24566344,180.933849129966,40.552426475486,46.3745272321005,149.015818871359,45.988585202531,151.70441245483,7,8.32666399786453,0,0,8.32666399786453,149.094091198488,0.0839975444611036,0.258305093996608,0.051053921287085,0.0659382889392199,0.122584661804266,87.9801839354779,71.4714673658385,0.363111575643787,0.382704581480228,0.567223643648897,0.36741519373985,0.365266863921545,9.29708772959485,102.628119577581,2.56949424992133,120.213464808282,1380.86818980896,0.363705625611041,0.384383912331874,0.643389505372902,0.389012730276039,0.36480027345379,0.147783176368508,109.030954360853,2.71783152850617,106.034996061502,0.00295490613047166,0.000385403808958335,0.000306701511503074,149.05876228823,0.000152714617548153,9.24424364333003,0.000653186540419041,0.0145908604206476,0.582633040979729,1.47808985313737,1.16472738036882,1.46378850754583,771767.847103737,52.2311032503504,11.7064771709572,13.3871728904974,43.0171615694457,13.2757610231657,43.793291684025,2025-04-23_C_e.dat,3.3,517.807969932213,1.17174880893608,0.033951823414418,0.00671248449871029,6.7903646828836,1.34249689974206,0.000810411539006787,0.000160223350208899,0.0101301442375848,0.00200279187761124,0.0202602884751697,0.00400558375522249,0.0202602884751697,0.0268499379948412,0.502654824574367
9,47,0.003,4,47,27531.0909090909,-0.393661363636364,51.9043818181818,12.9388909090909,83.4764181818182,-0.307302754545455,329.228545454545,320.459347272729,0.236906545454545,0.663665417272727,-3.62642072727273,-1.79059590909091,-1.61701071818182,-9.19741636363636,11733.8545454545,94.4631181818182,17522.0636363636,29440.0636363636,0.294819818181818,0.721578918181818,-3.51059218181818,-1.73268063636364,-1.55909609090909,1.04714127272727,11745.5545454545,94.7020909090909,15955.7166363636,0.423987454545455,0.986073727272727,0.00984496454545455,27701.3,0.0282000909090909,971.220727272727,0.0294897181818182,-0.0561042545454545,-0.563602618181818,-20.5804727272727,104.659636363636,119.708727272727,-284214.290909091,93.2801127272727,30.8069363636364,95.8364727272727,304.810909090909,8.82314272727273,-185.102181818182,9,26.5329983228432,0,0,26.5329983228432,723.520479951391,0.336330970794556,1.07426536555749,0.190231119717808,0.146812355189761,0.814011504347494,310.251365730484,215.028534073847,1.50074240366969,1.76252375806716,3.04577191036785,1.53094741952945,1.25215474357938,28.8376650087566,403.629432434347,11.4497999003317,501.925032794196,10794.1391041873,1.49109398294472,1.60597376094967,3.08920548421441,1.64227565980716,1.16475767124672,2.5906305950059,409.574416592727,11.3859827018536,444.521457584731,0.00994806981643813,0.00175365533049741,0.00107726554196599,653.150772792929,0.000741128840964302,28.5932250964836,0.00289207496404162,0.0440849624145096,0.67920818908176,3.70722802322461,0.458315234904377,4.8249258873253,184561.694571682,207.448177986727,43.5467348022391,14.3980216288274,160.237313609817,14.2638272141295,164.369504229841,9,8,0,0,8,218.149632739693,0.101407603227411,0.323903194802561,0.0573568406866497,0.0442655906138929,0.245433703177581,93.5443064384858,64.833542431191,0.452490859995313,0.531420908145083,0.918334783972194,0.461598014940183,0.377538860356043,8.69488315127333,121.69885288444,3.45224456309536,151.336091515016,3254.55539486293,0.449581751689477,0.484219308020544,0.931430499222487,0.495164742355792,0.351187651564864,0.78110451400452,123.491333051526,3.43300295377503,134.02826237004,0.00299945590630773,0.000528746976624236,0.000324807782025458,196.932367716801,0.000223458753344506,8.62118174465543,0.000871993411027877,0.013292116293259,0.204788974338269,1.11777130593882,0.138187242716492,1.45476989177551,55647.4446878584,62.5479790749852,13.1298345621944,4.34116686056748,48.3133678780248,4.30070572215709,49.5592702279197,2025-04-23_C_e.dat,3.96,621.369563918655,1.08683271144489,0.00694295309049899,0.0068665316849896,2.314317696833,2.28884389499653,0.000191810775475313,0.000189699505405848,0.00399605782240234,0.00395207302928849,0.00799211564480469,0.00790414605857698,0.00799211564480469,0.0274661267399584,0.30159289474462
10,46,0.001,2,46,27353.3416666667,-0.431988108333333,52.2551166666667,12.7826083333333,83.487525,-0.0672053666666667,-310.652234166667,198.393340774168,1.09720425,0.4250615,-2.61432083333333,-2.26538766666667,-2.46103325,-18.467925,11832.7916666667,98.6172666666667,17233.8083333333,33056.2666666667,1.21349083333333,0.541346333333333,-2.381745,-2.14910091666667,-2.34474325,0.489087866666667,11856.2666666667,99.097025,15704.1581666667,0.43018325,0.985561583333333,0.0104634366666667,27560.4583333333,0.0280180166666667,970.6295,0.0292302166666667,-0.06502427,-0.913106608333333,-18.350425,104.949666666667,120.880333333333,-519849.675,57.6515783333333,29.83255,100.804566666667,301.525,4.14520166666667,-180.6445,10,28.8444102037119,0,0,28.8444102037119,660.617578081068,0.305233086426921,1.1217307421475,0.18709868790334,0.172170159620178,0.387358301905079,1222.61447071793,219.584832241125,1.5288240131809,1.36606289423075,3.09121868819184,1.39891577800468,2.06499730328229,39.283529279148,422.804834534872,10.4591837740231,547.354961209457,23502.7537906957,1.36917139960607,1.49878060785083,3.25008805111352,1.30120306894151,2.040792383681,0.464669512331579,435.125267926236,10.3437256864532,482.62015104594,0.0123733679337005,0.00162566911865029,0.00099745205332326,615.529723761033,0.000676664099338316,37.8043110300207,0.00271651272166535,0.0604332939818432,0.653210974450386,2.8337708947379,0.535229489154518,5.46299122747924,593650.758555066,128.015111621554,42.8399073085853,2.21496059449181,157.510572039986,2.49266008365227,161.987205661716,10,8.32666399786453,0,0,8.32666399786453,190.703868268252,0.0881132023070817,0.32381577296857,0.0540107389130096,0.0497012440015654,0.111820709938867,352.938396892066,63.3886810021861,0.44133347777678,0.394348389857041,0.892357970875782,0.403832200502307,0.59611337446294,11.3401781020173,122.053242516692,3.019306283718,158.007767098278,6784.66061387783,0.39524573806465,0.432660693699433,0.93821960560019,0.375624971061875,0.589126016039182,0.134138534014425,125.60984528421,2.98597640474869,139.320437061356,0.00357188365365213,0.000469290251633005,0.000287939605744965,177.688125853824,0.000195336099951966,10.9131645748554,0.000784189675555267,0.0174455892742165,0.188565765968274,0.818039194449327,0.154507444820793,1.57702972788285,171372.212628197,36.9547795775221,12.3668160083352,0.63940404773713,45.469385583749,0.719568985147436,46.7616783970334,2025-04-23_C_e.dat,4.2,659.028325368271,1.01059309321031,0.00175390666618144,0.00647837876351982,1.75390666618144,6.47837876351982,0.000129225521860248,0.000477318373130348,0.00807659511626549,0.0298323983206467,0.016153190232531,0.0596647966412935,0.016153190232531,0.0259135150540793,0.100530964914873
2.2,90.5,0.02,21,90.5,26196.954,-0.522707778,48.920052,13.338314,84.056016,0.4862663434,-2.31886020000001,196.023906971459,0.12264571,0.41966448,0.138860368,-0.713291228,-0.86231945,79.8665996,12458.554,45.70063,16475.34,55215.788,-0.3802525114,-0.083234092,-0.866936144,-1.21619012,-1.365217554,-0.269283,12356.912,43.626164,14900.05972,0.45334164,0.9938138,0.0048718746,27256.962,0.026833536,953.46792,0.0267571048,0.0422069362,-0.2601851398,-26.718475,103.196622,103.738194,-1411140.18,73.7241296,33.072678,97.690982,316.98562,5.5056026,-213.24742,2.2,58.9556214972113,0,0,58.9556214972113,696.756726265286,0.353133622486532,1.06682304430166,0.1909698715526,0.547625705766558,1.48472505228212,802.736366371487,205.716343496615,1.71014001225026,1.92823406472734,2.47491561198168,1.5880548412299,2.75778636913889,47.3765853713959,484.880123712479,14.4112005264648,535.892653734431,167820.523112812,1.84025638518845,1.99366322292063,2.57296791694985,1.58861301811529,2.73222596633397,8.1941285917107,449.285400699413,15.4454902791848,488.270365105153,0.0115523792809719,0.00234187067211183,0.00170084399634022,697.508881924284,0.000713689069885107,61.800401316919,0.00761465440099985,0.116911038263815,2.94118229230002,8.09837708321361,3.80736596372755,7.75743956844825,6539977.16829004,150.213913388107,48.8676835666509,10.6161392721838,186.578317306197,10.765800633631,189.464334787239,2.2,8.33758394994911,0,0,8.33758394994911,98.5362811959045,0.0499406358250394,0.150871561790356,0.0270072182354334,0.0774459700199204,0.209971830533248,113.524065633265,29.0926842974715,0.24185031988812,0.27269347657672,0.350005922419339,0.224584869425958,0.390009888536387,6.70006095711549,68.5724047079331,2.03805152346048,75.7866658887341,23733.4059830686,0.26025155381772,0.281946556865881,0.363872612370133,0.22466380755811,0.386395101705743,1.15882477862264,63.5385507045341,2.18432218303249,69.051857243657,0.00163375314568284,0.000331190526582434,0.000240535664710519,98.6426520693016,0.000100930876194896,8.73989657024869,0.0010768747526678,0.0165337175903807,0.415945988718228,1.14528347042921,0.538442858282121,1.09706762469892,924892.440900616,21.2434553570598,6.91093408617145,1.5013488138764,26.3861586779174,1.52251412658858,26.794303184211,2025-04-24_B_e.dat,0.88,138.082125315257,1.19679050693341,0.017194478264361,0.00379206857649741,0.859723913218051,0.189603428824871,0.00144289277655025,0.000318215433646055,0.00450903992671954,0.000994423230143923,0.00901807985343908,0.00198884646028785,0.00901807985343908,0.0151682743059896,2.01061929829747
10,91.25,0.003,4,91.25,26569.9826923077,-0.358258029769231,49.4653115384615,13.2939384615385,84.0580596153846,0.0343964505769231,244.191765096154,220.610846189459,-0.0519520769230769,0.198018686538461,-0.370453820769231,-0.619166363653846,-0.186992596153846,82.0223242307692,12512.7346153846,44.6173673076923,16852.2173076923,47781.6846153846,-0.568424730961538,-0.318454646153846,-1.40339970769231,-1.1356393,-0.703463826923077,0.602879367307692,12408.3269230769,42.4869153846154,15240.51725,0.448819903846154,0.994025326923077,0.004624,27648.8596153846,0.0272156211538462,953.16775,0.0262287605769231,0.0628739781923077,-0.897870453269231,-26.640495,102.928084615385,103.072067307692,-1647315.32692308,107.0620375,38.8290980769231,94.6991923076923,338.805480769231,8.22892265384615,-235.733442307692,10,59.6157220347577,0,0,59.6157220347577,693.423998046736,0.392416881245489,1.18844426146512,0.230728909901324,0.490346171940917,0.91189350346802,1087.41404884235,226.417528174235,1.54089415481605,1.84179454748546,2.69117990750097,1.49735754263461,2.032124247811,43.9182283660163,428.266840441119,13.1140030801194,540.205660082128,126572.960249998,1.68287168442969,1.89251891655139,2.83814503892827,1.493179096267,2.0245306877071,0.806427366094677,400.011235192892,13.9211584989996,506.387725023915,0.0117661297771081,0.00201134994879445,0.00143627996771889,628.339342331368,0.000710260678005064,66.3325875761237,0.0102494143810401,0.15897195952853,4.50792537168298,11.3145665689993,6.31842230699742,7.82512211503341,4795626.59801853,196.461485523435,53.088496511622,20.9473561166554,202.752874413172,21.7311148217486,204.269984332003,10,8.2672131776972,0,0,8.2672131776972,96.1606069459519,0.0544184302572413,0.164807566259362,0.0319963428992745,0.0679987794484792,0.126456876327556,150.797196567731,31.3984618267699,0.213683572509693,0.255410949224186,0.373199505692045,0.207646130679687,0.281804929753702,6.09036247312342,59.3899251073619,1.81858502046012,74.9130464123839,17552.5114718705,0.233372313393757,0.262445153592754,0.393579902502293,0.207066684424679,0.280751892433782,0.111831354553528,55.4715776634484,1.9305173377694,70.2233426092032,0.00163166862404334,0.000278924052818471,0.000199176194982009,87.1349891218104,0.0000984954343651184,9.19867483615076,0.00142133804208916,0.0220454442861962,0.62513677206031,1.56904807400683,0.876207523381334,1.08514919317385,665033.753735951,27.2443061426373,7.36204985807479,2.90487563707712,28.116764805554,3.01356341395423,28.3271500979716,2025-04-24_B_e.dat,4.2,659.028325368271,1.09801030697423,0.0135566124622426,0.00321784226175844,4.51887082074755,1.07261408725281,0.000332944421325177,0.0000790287863388276,0.00693634211094118,0.00164643304872558,0.0138726842218824,0.00329286609745115,0.0138726842218824,0.0128713690470338,0.30159289474462
1.6,99,0.05,51,99,26797.8066666667,-0.356758733333333,50.02118,13.2701266666667,83.26498,0.0507032306666667,263.094477333333,214.574668968639,0.813301386666667,0.854326466666667,0.589090066666667,-0.194870626666667,-0.4078297,-13.1624773333333,11342.4066666667,95.4950066666667,17189.2533333333,24478.8133333333,0.8961818,0.937207,0.754851733333333,-0.1119904,-0.324948626666667,0.434512333333333,11359.1666666667,95.8369533333333,15657.46,0.420465066666667,0.985437066666667,0.010161172,27016.62,0.0274489933333333,917.679266666667,0.0292041266666667,-0.0448828193333333,-0.667547373333333,-19.1261973333333,104.7682,121.174266666667,-384715.18,110.956548,38.6318666666667,89.55848,333.459666666667,15.20976,-212.285466666667,1.6,4.47213595499958,0,0,4.47213595499958,504.923100887178,0.331639783843003,0.917016003287682,0.150654479174162,0.139770736769696,0.324116889050266,382.753670610367,226.835067213937,1.55352641042036,1.7262352123482,2.53069057095826,1.38686526099372,1.38265384270328,25.6193070495003,284.762975288639,5.62303496260397,416.792940827709,4884.53558179378,1.61978300290132,1.66875854801252,2.63298321712997,1.39130491476382,1.45607965605685,1.87676174406855,270.549706725999,5.78370958133602,363.132263830963,0.00757683983754504,0.00103142235125417,0.000651276562838597,482.20546628412,0.000517208556258176,36.7954255745129,0.0030242944458092,0.051335249246699,0.481727619838625,3.95913843172163,0.419435368765471,2.89839000793462,433874.618428964,196.455215707614,46.5895178238727,22.7586914426492,171.279602612915,22.4899997743788,173.538412998336,1.6,1.15470053837925,0,0,1.15470053837925,130.370584056763,0.0856290239842519,0.236772513929258,0.0388988192582055,0.0360886490530781,0.0836866209010825,98.8265727982474,58.5685625103612,0.401118794363429,0.44571201527076,0.653421495715033,0.358087070617485,0.356999687090633,6.61487663627261,73.5254840606249,1.45186138435382,107.615474576169,1261.18166414966,0.418226172980444,0.430871604352917,0.679833343385866,0.359233384291788,0.375958150577308,0.484577798638446,69.855633898073,1.49334739252098,93.7603473525279,0.00195633163384619,0.000266312105954234,0.000168158885443273,124.504916024572,0.000133542674993593,9.50053803111354,0.000780869468176442,0.0132547043603915,0.124381536602875,1.02224514742584,0.108297746535936,0.748361082102984,112025.944767832,50.724518580745,12.0293617759795,5.87626886259024,44.2242032309896,5.8068929721585,44.8074255646546,2025-04-24_C_e.dat,0.4,62.7646024160258,1.25838977867986,0.0124143430906718,0.00512155483516475,0.248286861813436,0.102431096703295,0.00201685257249235,0.00083205538698413,0.00252106571561544,0.00104006923373016,0.00504213143123087,0.00208013846746032,0.00504213143123087,0.020486219340659,5.02654824574367
2,47,0.03,31,47,25862.5391304348,-0.441833152608696,48.706052173913,13.2307391304348,83.3199826086957,-0.192476926086956,331.840185217391,196.03408753465,0.481689782608696,0.190626595652174,0.0116474782608696,-0.177187869565217,-1.65559526086956,-16.6297641304348,10857.7360869565,90.2913913043478,16804.6086956522,152458.895652174,0.586402956521739,0.295340417391304,0.221074918695652,-0.0724745,-1.55088204347826,1.56485334347826,10878.897826087,90.7233304347826,15311.4542608696,0.41524547826087,0.98559847826087,0.00984547434782609,26190.3565217391,0.0264909826086956,842.442695652174,0.0284559434782609,-0.0556452660869565,-0.565634283478261,-18.7260943478261,104.828869565217,124.665260869565,-302305.386956522,128.754426521739,42.0907217391304,83.8776473913044,346.209913043478,20.9513352173913,-221.544739130435,2,27.1293199325011,0,0,27.1293199325011,821.440665559949,0.373741348091568,1.36149113971329,0.210235635633254,0.158316448499871,2.4784320912359,1706.85089729402,196.985944401584,1.53951962661108,1.2559473675524,2.06735129072701,1.63495852857942,1.66543945860501,24.238244296538,518.942356623188,8.87139529022214,484.286829840862,501260.120077237,1.56774700059287,1.25534179937855,2.10293815815806,1.62704886476384,1.63936815394373,5.93127450388973,512.218216210422,9.18125250375285,428.952379819105,0.010165664231169,0.00148204385499966,0.00106017003772905,809.607174569633,0.000841410938220155,38.5719201250136,0.00307813003296513,0.25203559033217,0.671170514847016,4.65431201951561,0.449828786049638,14.8652598950383,277194.056895018,205.623818146091,47.6976502270191,30.4882090927538,175.510227182949,30.2249082969044,172.458120446206,2,5.65685424949238,0,0,5.65685424949238,171.282219061886,0.0779304582062144,0.283890527241215,0.0438371603779847,0.0330112614945477,0.516788815284305,355.903014732054,41.0744087743758,0.321012032872176,0.261883129431714,0.431072543036079,0.340912419594354,0.347268132858557,5.05402330726485,108.206961420682,1.84981379080936,100.980784559826,104519.960228084,0.32689784721836,0.261756859738772,0.438492917846591,0.33926314067846,0.341831890043404,1.23675622779024,106.804881222476,1.91442348613008,89.4427541363685,0.00211968752066318,0.000309027506032142,0.00022106073421794,168.814765621791,0.000175446308764189,8.04280132392351,0.000641834480215208,0.0525530534396415,0.139948726635711,0.970491143588099,0.0937957857491455,3.09962095682006,57798.9563535681,42.8755299569106,9.94564758898618,6.35723105462514,36.5964121820766,6.30232904345784,35.960003934225,2025-04-24_C_e.dat,0.72,112.976284348846,1.30504321724541,0.0399190516644982,0.00691774349734494,1.33063505548327,0.230591449911498,0.00333606393021948,0.0005781208119362,0.00695013318795726,0.00120441835820042,0.0139002663759145,0.00240883671640084,0.0139002663759145,0.0276709739893798,3.0159289474462
