Energy (MHz),Magnetic Field (G)
-7.990348526731606e-24,224.2000000000113
-0.0006829707334235682,224.0942459198856
-0.002705164018611626,223.9875161631937
-0.006027944680986879,223.8797971645143
-0.0106145002364226,223.7710751065579
-0.01642972275622736,223.6613359127186
-0.02344010032523508,223.5505652425525
-0.0316136173144236,223.4387484839617
-0.04091966244527753,223.325870748352
-0.05132894414639527,223.211916862426
-0.06281341202632633,223.0968713629965
-0.07534618473518512,222.9807184883632
-0.08890148264234282,222.8634421727579
-0.1034545658314013,222.7450260372765
-0.1189816761236688,222.6254533839293
-0.1354599835749576,222.5047071860992
-0.1528675363496941,222.3827700821679
-0.1711832142653583,222.2596243654683
-0.1903866851933753,222.1352519774551
-0.2104583646661354,222.0096344971171
-0.2313793777912987,221.882753133659
-0.2531315238456843,221.7545887153352
-0.2756972430950477,221.6251216816063
-0.2990595855252405,221.4943320713547
-0.3232021816106936,221.3621995144755
-0.348109214960817,221.2287032194306
-0.3737653963427814,221.0938219642302
-0.4001559396411137,220.9575340832785
-0.4272665387142054,220.8198174574519
-0.4550833459634205,220.6806495014204
-0.4835929521942407,220.5400071505418
-0.5127823670501008,220.3978668498656
-0.5426390014610127,220.2542045389708
-0.5731506498041695,220.1089956404204
-0.6043054744746781,219.9622150436901
-0.6360919898991335,219.8138370927681
-0.668499048538019,219.6638355691071
-0.7015158267489595,219.5121836782999
-0.7351318122238232,219.3588540319797
-0.7693367909441824,219.2038186334973
-0.8041208361258064,219.0470488586879
-0.8394742966236083,218.8885154404679
-0.8753877863805798,218.7281884483793
-0.911852174408414,218.5660372720172
-0.9488585754705908,218.4020305992547
-0.9863983401714034,218.2361363984024
-1.024463047109338,218.0683218950079
-1.063044494138319,217.8985535526411
-1.102134690446332,217.7267970481517
-1.141725848935118,217.5530172509618
-1.181810379630747,217.3771781966553
-1.222380881710639,217.1992430646488
-1.263430138014459,217.0191741499729
-1.304951108006223,216.8369328388525
-1.346936922187656,216.6524795801643
-1.389380876262204,216.4657738558147
-1.43227642523013,216.276774153384
-1.475617178965229,216.0854379326861
-1.519396896059428,215.8917215965482
-1.563609480151908,215.6955804549583
-1.608248974327131,215.4969686934614
-1.653309557318206,215.2958393346796
-1.698785538706966,215.0921442041062
-1.744671355321172,214.885833888762
-1.790961566898878,214.676857700144
-1.837650852691619,214.4651636297574
-1.884734007322211,214.2506983089499
-1.932205937971541,214.0334069610298
-1.980061660379425,213.8132333576885
-2.02829629602964,213.5901197673848
-2.076905068677582,213.3640069080242
-2.125883301813383,213.1348338912546
-2.175226415492615,212.9025381710347
-2.224929923715159,212.6670554834465
-2.274989431360414,212.4283197907436
-2.325400632242395,212.1862632162414
-2.376159306067488,211.9408159833891
-2.427261316520486,211.6919063452488
-2.478702608496123,211.4394605180821
-2.530479206348122,211.1834026048714
-2.582587211093782,210.923654522386
-2.635022798930119,210.6601359204709
-2.687782219211201,210.3927640977357
-2.74086179203787,210.1214539183345
-2.7942579069189,209.8461177177602
-2.847967020463907,209.566665212284
-2.901985655221064,209.2830033963151
-2.956310397274128,208.9950364431946
