ftimes,peaks,,
3.9888456915262,0.0198850865785684,,
2.99163426864465,0.0198667847871737,,
2.39330741491572,0.0198433165068935,,
1.9944228457631,0.0198147282697813,,
1.70950529636837,0.0197810764925878,,
1.49581713432232,0.0197424272096454,,
1.32961523050873,0.0196988557621708,,
1.19665370745786,0.0196504464476192,,
1.08786700677987,0.0195972921309922,,
0.957322965966288,0.0195088868514849,,
0.854752648184186,0.019410407235611,,
0.79776913830524,0.0193393574804969,,
0.683802118547349,0.0191438031089886,,
0.629817740767295,0.0190148568664206,,
0.59832685372893,0.0189243592183717,,
0.478661482983144,0.0184232261532504,,
0.39888456915262,0.0178555485007404,,
0.341901059273674,0.0172410318014963,,
0.299163426864465,0.0165981888218695,,
0.239330741491572,0.0152901759300988,,
0.159553827661048,0.0123338690597356,,
0.119665370745786,0.0101111058079224,,
0.0478661482983144,0.00467172584745073,,
0.0239330741491572,0.00244071143964692,,
0.0186977141790291,0.00192472367600519,,
0.0149581713432232,0.00155001798648359,,
