,x,y,yerr
0,55.2525029189,0.0640535795,0.0054109046000000004
1,146.8710200356,0.1593165105,0.0026754176
2,263.3856118311,0.25569931360000003,0.0024738628
3,400.8916539191,0.3420275721,0.0153729733
4,564.3997501166,0.4259440237,0.0028452153
5,892.7283487767,0.5439608578,0.0076922416
6,1254.3656458517,0.6502101307,0.0100088063
7,1701.3139970298,0.707284212,0.0085373744
8,2216.2392837484,0.7555833561,0.009591419300000001
9,2776.0559014141,0.7799070897,0.0048761913
10,3398.8467770202,0.7969647029,0.0024616917
